frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,pre_empty,1785927809.309486,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,108.4328,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
1,pre_empty,1785927809.417982,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,101.6425,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
2,pre_empty,1785927809.519702,2676,50000,2256,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,158.7180,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
3,pre_empty,1785927809.678451,2723,50000,2349,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,123.1738,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
4,pre_empty,1785927809.801689,2670,50000,2270,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,126.6645,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
5,pre_empty,1785927809.928384,2740,50000,2366,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,136.4418,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
6,pre_empty,1785927810.064858,2661,50000,2262,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.6325,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
7,pre_empty,1785927810.193528,2598,50000,2227,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,137.9224,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
8,pre_empty,1785927810.331483,2754,50000,2350,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,126.0604,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
9,pre_empty,1785927810.457577,2679,50000,2284,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,138.8533,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
10,pre_empty,1785927810.596462,2700,50000,2276,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,141.8926,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
11,pre_empty,1785927810.738388,2779,50000,2333,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.5336,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
12,pre_empty,1785927810.871954,2740,50000,2356,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,122.0794,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
13,pre_empty,1785927810.994068,2743,50000,2354,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.1343,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
14,pre_empty,1785927811.127254,2687,50000,2323,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.6309,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
15,pre_empty,1785927811.259917,2765,50000,2346,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,135.2130,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
16,pre_empty,1785927811.395163,2660,50000,2309,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,135.7227,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
17,pre_empty,1785927811.530932,2767,50000,2355,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,124.4260,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
18,pre_empty,1785927811.655404,2756,50000,2338,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.7173,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
19,pre_empty,1785927811.788152,2709,50000,2311,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,124.4928,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
20,pre_empty,1785927811.912678,2751,50000,2359,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.7699,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
21,pre_empty,1785927812.045498,2733,50000,2353,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.7629,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
22,pre_empty,1785927812.179306,2715,50000,2298,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.5021,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
23,dynamic,1785927813.356574,2728,50000,2327,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,141.9539,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
24,dynamic,1785927813.498559,2803,50000,2394,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,137.5247,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
25,dynamic,1785927813.636116,2747,50000,2360,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.9224,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
26,dynamic,1785927813.770073,2713,50000,2307,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,136.5370,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
27,dynamic,1785927813.906672,2798,50000,2366,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.5459,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
28,dynamic,1785927814.039249,2681,50000,2256,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.7685,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
29,dynamic,1785927814.173050,2689,50000,2304,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,120.9948,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
30,dynamic,1785927814.294084,2761,50000,2326,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,140.7778,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
31,dynamic,1785927814.434895,2674,50000,2304,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.0649,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
32,dynamic,1785927814.568994,2705,50000,2256,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.6179,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
33,dynamic,1785927814.702645,2699,50000,2289,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,124.3431,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
34,dynamic,1785927814.827051,2753,50000,2385,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,119.4644,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
35,dynamic,1785927814.946579,2676,50000,2276,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.3257,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
36,dynamic,1785927815.073935,2780,50000,2358,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,135.4789,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
37,dynamic,1785927815.209448,2705,50000,2349,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.5538,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
38,dynamic,1785927815.342035,2726,50000,2284,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.8893,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
39,dynamic,1785927815.476957,2709,50000,2296,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,123.4726,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
