frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,pre_empty,1785928496.399571,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,361.7115,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
1,pre_empty,1785928496.761317,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,112.9557,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
2,pre_empty,1785928496.874356,2550,50000,2138,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,329.7526,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
3,pre_empty,1785928497.204148,2628,50000,2228,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,154.5565,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
4,pre_empty,1785928497.358735,2612,50000,2146,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,154.6649,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
5,pre_empty,1785928497.513434,2624,50000,2214,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,146.4598,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
6,pre_empty,1785928497.659923,2619,50000,2241,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.6215,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
7,pre_empty,1785928497.787575,2669,50000,2330,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.9187,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
8,pre_empty,1785928497.922537,2665,50000,2312,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.4326,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
9,pre_empty,1785928498.056000,2745,50000,2317,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,135.0592,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
10,pre_empty,1785928498.191090,2639,50000,2252,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,141.8455,0.01483717,0.00528563,1.58143365,0.00542868,1.57113743,-0.00782024
