frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,pre_empty,1785920128.046435,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,100.7905,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
1,pre_empty,1785920128.147320,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,93.2194,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
2,pre_empty,1785920128.240615,2686,50000,2267,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,157.2930,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
3,pre_empty,1785920128.397953,2608,50000,2197,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.5548,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
4,pre_empty,1785920128.531540,2685,50000,2312,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.3215,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
5,pre_empty,1785920128.660909,2706,50000,2313,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,116.8413,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
6,pre_empty,1785920128.777797,2619,50000,2215,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.1035,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
7,pre_empty,1785920128.908946,2733,50000,2331,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.6379,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
8,pre_empty,1785920129.038621,2610,50000,2235,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.4687,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
9,pre_empty,1785920129.169120,2684,50000,2259,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.4517,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
10,pre_empty,1785920129.296605,2659,50000,2257,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.9890,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
11,pre_empty,1785920129.431642,2692,50000,2313,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.5256,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
12,pre_empty,1785920129.561201,2725,50000,2332,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.7713,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
13,pre_empty,1785920129.693009,2708,50000,2310,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,139.7930,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
14,pre_empty,1785920129.832834,2698,50000,2278,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.6465,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
15,pre_empty,1785920129.962513,2714,50000,2332,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.9205,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
16,pre_empty,1785920130.090464,2637,50000,2254,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.5084,0.01449971,0.00617329,1.57995903,0.00561942,1.57079637,-0.00811735
17,pre_empty,1785920130.221007,2724,50000,2327,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.1827,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
18,pre_empty,1785920130.349226,2684,50000,2252,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.9887,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
19,pre_empty,1785920130.477248,2758,50000,2351,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.4475,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
20,pre_empty,1785920130.608728,2676,50000,2273,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,135.8879,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
21,pre_empty,1785920130.744664,2657,50000,2273,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.4645,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
22,pre_empty,1785920130.876189,2708,50000,2272,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.2430,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
23,pre_empty,1785920131.004462,2695,50000,2309,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.4501,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
24,obstacle,1785920137.773996,2688,50000,2338,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.7752,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
25,obstacle,1785920137.908817,2609,50000,2305,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,135.7540,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
26,obstacle,1785920138.044604,3058,50000,2340,2,0,0,0.057709,upperArm_Link,1,294,0.021773,-0.403888,0.486793,,,,,SLOW,SAFE,,,134.6368,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
27,obstacle,1785920138.179316,2981,50000,2309,1,0,0,0.054911,upperArm_Link,0,282,0.027664,-0.403060,0.489582,,,,,SLOW,SAFE,,,132.0874,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
28,obstacle,1785920138.311442,3040,50000,2329,2,1,1,0.054717,upperArm_Link,0,308,0.027276,-0.403055,0.489304,-0.106399,upperArm_Link,2,0.000,SLOW,STOP,0.000000,0.000000,134.9821,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
