frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,pre_empty,1785919386.713443,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,88.4773,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
1,pre_empty,1785919386.801979,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,94.0885,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
2,pre_empty,1785919386.896141,2596,50000,2271,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,147.7563,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
3,pre_empty,1785919387.043928,2649,50000,2251,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,139.4648,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
4,pre_empty,1785919387.183427,2573,50000,2207,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.7804,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
5,pre_empty,1785919387.318238,2750,50000,2333,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.0555,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
6,pre_empty,1785919387.448327,2695,50000,2330,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,125.4212,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
7,pre_empty,1785919387.573780,2696,50000,2254,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.4218,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
8,pre_empty,1785919387.704246,2736,50000,2338,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.8025,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
9,pre_empty,1785919387.837082,2711,50000,2348,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,120.2566,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
