frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,empty,1785918432.986786,2703,50000,2276,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,209.3060,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
1,empty,1785918433.196097,2728,50000,2332,1,0,0,0.047134,shoulder_Link,0,24,0.134079,-0.039386,0.259055,,,,,STOP,SAFE,,,130.5215,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
2,empty,1785918433.326672,2772,50000,2298,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.6360,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
3,empty,1785918433.456352,2744,50000,2319,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.2363,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
4,empty,1785918433.583619,2777,50000,2363,1,0,0,0.051006,shoulder_Link,0,32,0.138187,-0.050563,0.269577,,,,,SLOW,SAFE,,,117.9212,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
5,empty,1785918433.701579,2749,50000,2321,1,0,0,0.049537,shoulder_Link,0,39,0.140387,-0.047484,0.263015,,,,,STOP,SAFE,,,133.5366,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
6,empty,1785918433.835172,2838,50000,2406,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.8705,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
7,empty,1785918433.964087,2772,50000,2326,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.3520,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
8,empty,1785918434.098486,2746,50000,2310,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.5269,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
9,empty,1785918434.228051,2726,50000,2295,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.2903,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
10,empty,1785918434.356373,2734,50000,2316,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,120.2231,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
11,empty,1785918434.476628,2743,50000,2292,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.0928,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
12,empty,1785918434.605752,2785,50000,2311,1,0,0,0.052680,shoulder_Link,0,38,0.142570,-0.046056,0.269741,,,,,SLOW,SAFE,,,130.5567,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
13,empty,1785918434.736346,2725,50000,2332,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.3503,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
14,empty,1785918434.864742,2754,50000,2292,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.8414,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
15,empty,1785918434.992613,2789,50000,2364,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.0580,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
16,empty,1785918435.122701,2769,50000,2309,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.5288,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
17,empty,1785918435.253276,2840,50000,2425,1,0,0,0.051542,shoulder_Link,0,40,0.140308,-0.042083,0.262160,,,,,SLOW,SAFE,,,120.2925,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
18,empty,1785918435.373606,2769,50000,2359,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,111.7066,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
19,empty,1785918435.485374,2761,50000,2315,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.1181,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
20,empty,1785918435.617522,2803,50000,2373,1,0,0,0.052380,shoulder_Link,0,31,0.135314,-0.033121,0.261826,,,,,SLOW,SAFE,,,133.1752,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
21,empty,1785918435.750747,2794,50000,2356,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.8724,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
22,empty,1785918435.880650,2772,50000,2346,1,0,0,0.051527,shoulder_Link,0,29,0.140606,-0.047107,0.265667,,,,,SLOW,SAFE,,,129.2897,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
23,empty,1785918436.009979,2839,50000,2376,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.5921,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
24,empty,1785918436.140602,2793,50000,2358,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.5447,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
25,empty,1785918436.268177,2833,50000,2332,2,0,0,0.048222,shoulder_Link,0,37,0.136639,-0.044659,0.256100,,,,,STOP,SAFE,,,123.2217,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
26,empty,1785918436.391454,2791,50000,2366,1,0,0,0.050345,shoulder_Link,0,27,0.136999,-0.048354,0.271969,,,,,SLOW,SAFE,,,125.9595,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
27,empty,1785918436.517449,2742,50000,2350,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.3182,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
28,empty,1785918436.647799,2729,50000,2300,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,120.8415,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
29,empty,1785918436.768685,2739,50000,2308,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,119.9248,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
30,empty,1785918436.888637,2833,50000,2388,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,115.1995,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
31,empty,1785918437.003900,2772,50000,2349,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.6959,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
32,empty,1785918437.133626,2873,50000,2429,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,120.2402,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
