frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,empty,1785918585.764105,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,124.6810,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
1,empty,1785918585.888859,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,86.0837,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
2,empty,1785918585.975016,2729,50000,2314,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,148.5760,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
3,empty,1785918586.123624,2557,50000,2168,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.8913,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
4,empty,1785918586.257559,2567,50000,2198,1,0,0,0.051768,shoulder_Link,0,35,0.136758,-0.039639,0.264234,,,,,SLOW,SAFE,,,133.1823,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
5,empty,1785918586.390780,2666,50000,2292,1,0,0,0.050905,shoulder_Link,0,36,0.138085,-0.048817,0.264406,,,,,SLOW,SAFE,,,120.3064,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
6,empty,1785918586.511139,2690,50000,2235,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,125.7715,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
7,empty,1785918586.636944,2731,50000,2279,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.6436,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
8,empty,1785918586.767640,2708,50000,2305,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.8635,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
9,empty,1785918586.901536,2605,50000,2191,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.8922,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
10,empty,1785918587.033476,2692,50000,2288,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.7466,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
11,empty,1785918587.165270,2709,50000,2287,1,0,0,0.045659,shoulder_Link,0,34,0.135943,-0.049875,0.264403,,,,,STOP,SAFE,,,121.8090,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
12,empty,1785918587.287117,2710,50000,2275,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,121.3940,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
13,empty,1785918587.408544,2753,50000,2314,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.4713,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
14,empty,1785918587.538047,2737,50000,2352,1,0,0,0.048440,shoulder_Link,0,30,0.139491,-0.047622,0.268343,,,,,STOP,SAFE,,,136.0713,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
15,empty,1785918587.674174,2665,50000,2259,1,0,0,0.050056,shoulder_Link,0,44,0.141675,-0.046618,0.261038,,,,,SLOW,SAFE,,,134.2171,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
16,empty,1785918587.808429,2692,50000,2324,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.6458,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
17,empty,1785918587.939121,2656,50000,2299,1,0,0,0.047596,shoulder_Link,0,34,0.141315,-0.048215,0.272109,,,,,STOP,SAFE,,,132.5003,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
18,empty,1785918588.071660,2752,50000,2307,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.5772,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
19,empty,1785918588.203270,2651,50000,2235,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,123.5939,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
20,empty,1785918588.326902,2761,50000,2341,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,132.0973,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
21,empty,1785918588.459032,2703,50000,2290,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.9750,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
22,empty,1785918588.589038,2687,50000,2270,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,116.9177,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
23,empty,1785918588.706020,2648,50000,2204,2,0,0,0.051893,shoulder_Link,0,33,0.138113,-0.053392,0.262755,,,,,SLOW,SAFE,,,130.0759,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
24,empty,1785918588.836133,2744,50000,2341,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.1763,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
25,empty,1785918588.966343,2691,50000,2288,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.5282,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
26,empty,1785918589.094904,2763,50000,2356,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,117.1544,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
27,empty,1785918589.212096,2749,50000,2303,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.9276,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
28,empty,1785918589.342058,2755,50000,2325,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.4453,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
29,empty,1785918589.472534,2678,50000,2311,1,0,0,0.051300,shoulder_Link,0,31,0.134968,-0.044012,0.266248,,,,,SLOW,SAFE,,,132.0232,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
30,empty,1785918589.604610,2767,50000,2324,1,0,0,0.050940,shoulder_Link,0,37,0.143284,-0.047937,0.265348,,,,,SLOW,SAFE,,,135.1635,0.01449971,0.00617329,1.57995903,0.00561942,1.57079637,-0.00811735
31,empty,1785918589.739813,2708,50000,2315,1,1,1,0.049967,shoulder_Link,0,33,0.138245,-0.044406,0.265274,-0.010503,shoulder_Link,7,0.000,STOP,STOP,0.000000,0.000000,129.9548,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
32,empty,1785918589.869825,2778,50000,2363,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.2506,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
33,empty,1785918590.004108,2714,50000,2343,1,0,0,0.040014,shoulder_Link,0,39,0.138229,-0.050996,0.261737,,,,,STOP,SAFE,,,132.4390,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
34,empty,1785918590.136585,2691,50000,2251,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.8947,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
35,empty,1785918590.266527,2718,50000,2279,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.9095,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
36,empty,1785918590.398481,2678,50000,2299,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,118.8072,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
37,empty,1785918590.517326,2641,50000,2241,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.7494,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
38,empty,1785918590.648106,2706,50000,2321,1,0,0,0.051966,shoulder_Link,0,39,0.143488,-0.046605,0.266946,,,,,SLOW,SAFE,,,133.6739,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
39,empty,1785918590.781817,2716,50000,2288,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,123.5350,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
40,empty,1785918590.905385,2771,50000,2329,1,0,0,0.051932,shoulder_Link,0,36,0.137836,-0.046858,0.266549,,,,,SLOW,SAFE,,,129.3734,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
41,empty,1785918591.034795,2738,50000,2303,1,0,0,0.049808,shoulder_Link,0,31,0.140195,-0.044620,0.274747,,,,,STOP,SAFE,,,133.6972,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
42,empty,1785918591.168543,2685,50000,2297,1,1,1,0.044163,shoulder_Link,0,30,0.135558,-0.051982,0.267746,-0.022649,shoulder_Link,10,0.000,STOP,STOP,0.016277,0.016277,126.0787,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
43,empty,1785918591.294677,2841,50000,2423,1,1,1,0.051520,shoulder_Link,0,31,0.136342,-0.049207,0.266173,0.004439,shoulder_Link,10,0.000,SLOW,STOP,0.000000,0.000000,128.4355,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
44,empty,1785918591.423192,2692,50000,2316,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.6010,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
45,empty,1785918591.552831,2773,50000,2375,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.3598,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
46,empty,1785918591.681223,2703,50000,2257,1,0,0,0.428399,shoulder_Link,0,58,0.378128,0.478142,0.237527,,,,,SAFE,SAFE,,,137.5548,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
47,empty,1785918591.818813,2791,50000,2379,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.5618,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
48,empty,1785918591.948421,2670,50000,2227,1,0,0,0.052027,shoulder_Link,0,31,0.134679,-0.044384,0.262533,,,,,SLOW,SAFE,,,122.7508,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
49,empty,1785918592.071225,2649,50000,2282,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.6819,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
50,empty,1785918592.200940,2742,50000,2337,1,0,0,0.049105,shoulder_Link,0,30,0.131602,-0.053167,0.259145,,,,,STOP,SAFE,,,132.5612,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
51,empty,1785918592.333537,2816,50000,2360,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,122.6096,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
52,empty,1785918592.456180,2709,50000,2315,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,118.1019,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
53,empty,1785918592.574313,2650,50000,2253,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,125.4906,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
54,empty,1785918592.699835,2661,50000,2324,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,134.6035,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
55,empty,1785918592.834471,2743,50000,2342,1,0,0,0.043875,shoulder_Link,0,29,0.131440,-0.046177,0.267797,,,,,STOP,SAFE,,,129.1208,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
56,empty,1785918592.963628,2756,50000,2357,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,116.1159,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
57,empty,1785918593.079796,2724,50000,2297,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.9744,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
