frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,empty,1785918682.035296,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,96.7768,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
1,empty,1785918682.132171,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,91.3574,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
2,empty,1785918682.223604,2574,50000,2229,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,155.3408,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
3,empty,1785918682.378974,2659,50000,2268,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.5107,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
4,empty,1785918682.508528,2590,50000,2207,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.5061,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
5,empty,1785918682.640064,2660,50000,2296,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.8256,0.01449971,0.00617329,1.57995534,0.00561942,1.57080007,-0.00811735
6,empty,1785918682.767924,2614,50000,2238,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.6067,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
7,empty,1785918682.896562,2651,50000,2270,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,124.6089,0.01449971,0.00617329,1.57995903,0.00561942,1.57079637,-0.00811735
8,empty,1785918683.021202,2769,50000,2326,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,137.0225,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
9,empty,1785918683.158257,2690,50000,2281,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.5298,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
10,empty,1785918683.291820,2588,50000,2216,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,133.9465,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
