condition,trial,direction,t_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_act_1,q_act_2,q_act_3,q_act_4,q_act_5,q_act_6,qd_ref_1,qd_ref_2,qd_ref_3,qd_ref_4,qd_ref_5,qd_ref_6,qd_act_1,qd_act_2,qd_act_3,qd_act_4,qd_act_5,qd_act_6,qdd_act_1,qdd_act_2,qdd_act_3,qdd_act_4,qdd_act_5,qdd_act_6,control_period_ms,status_delay_ms,rgbd_delay_ms,online_min_clearance_m,risk_state,speed_scale,hold,completed
B1_no_obstacle_nubs,0,forward,0.000000,0.00000000,-0.60000000,1.40000000,0.00000000,1.00000000,0.00000000,0.00228253,-0.59998243,1.40208798,-0.00171002,1.00207982,0.00160702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04691691,0.15288024,0.01736004,0.09377457,-0.06130930,-0.02035794,-2.72608516,-7.86419124,-3.99753276,-2.78551414,0.01413048,-0.92503609,17.5440,7.7058,18.9697,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.020000,0.00000016,-0.59999989,1.39999986,0.00000012,0.99999989,-0.00000011,0.00134419,-0.59692482,1.40243518,0.00016547,1.00085364,0.00119986,0.00002332,0.00001632,-0.00002099,0.00001866,-0.00001632,-0.00001632,-0.10143862,-0.00440358,-0.06259062,0.03806429,-0.06102669,-0.03885866,0.95117819,-7.65697861,-2.06673159,-2.35960906,0.53598533,-0.47725824,19.9862,6.5045,18.3299,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.040000,0.00000124,-0.59999913,1.39999888,0.00000099,0.99999913,-0.00000087,-0.00177502,-0.60015857,1.39958435,-0.00018745,0.99963876,0.00005267,0.00009281,0.00006497,-0.00008353,0.00007425,-0.00006497,-0.00006497,-0.00886978,-0.15339890,-0.06530923,-0.00060979,-0.03986989,-0.03944827,3.23322290,0.98265863,2.62070473,0.22675167,2.16933476,1.41668995,20.0904,11.5630,14.2224,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.060000,0.00000417,-0.59999708,1.39999625,0.00000334,0.99999708,-0.00000292,0.00098940,-0.60306078,1.39982281,0.00014108,0.99925884,-0.00037807,0.00020779,0.00014545,-0.00018701,0.00016623,-0.00014545,-0.00014545,0.02789030,0.03490276,0.04223757,0.04713436,0.02574670,0.01780894,-1.31625604,4.07684571,4.19144457,1.01024214,2.21929730,0.93471193,19.1895,11.4415,15.7198,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.080000,0.00000985,-0.59999310,1.39999113,0.00000788,0.99999310,-0.00000690,-0.00065940,-0.59876246,1.40127385,0.00169793,1.00066862,0.00076503,0.00036754,0.00025728,-0.00033078,0.00029403,-0.00025728,-0.00025728,-0.06152003,0.00967493,0.10234855,0.03979989,0.04890200,-0.00205979,1.84968813,-1.79147288,-2.05284142,-0.62648419,-1.80160563,-0.10113755,18.5684,12.1033,12.0915,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.100000,0.00001917,-0.59998658,1.39998275,0.00001533,0.99998658,-0.00001342,-0.00147140,-0.60267378,1.40391675,0.00173308,1.00121492,-0.00046046,0.00057138,0.00039997,-0.00051424,0.00045710,-0.00039997,-0.00039997,0.10187783,-0.03675615,-0.03987609,0.02207499,-0.04631753,0.01376344,2.79454294,2.75710405,-4.19685911,-3.80850006,-3.26771983,-0.74476821,18.9440,8.6223,20.4777,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.120000,0.00003300,-0.59997690,1.39997030,0.00002640,0.99997690,-0.00002310,0.00341571,-0.60023270,1.39967881,0.00258093,0.99881592,0.00131557,0.00081863,0.00057304,-0.00073676,0.00065490,-0.00057304,-0.00057304,0.05026169,0.11995909,-0.06552581,-0.11254011,-0.08180679,-0.03185052,-5.13579410,0.33453410,0.72068870,-1.13565295,3.14840405,-3.30223195,20.3249,15.1612,16.0447,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.140000,0.00005220,-0.59996346,1.39995302,0.00004176,0.99996346,-0.00003654,0.00053907,-0.59787542,1.40129572,-0.00276853,0.99794265,-0.00173448,0.00110859,0.00077602,-0.00099773,0.00088688,-0.00077602,-0.00077602,-0.10355394,-0.02337479,-0.01104854,-0.02335113,0.07961863,-0.11832584,-1.01291429,-3.43764954,1.17379534,3.77892819,5.80323244,2.64330375,18.3509,10.2577,21.0412,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.160000,0.00007762,-0.59994567,1.39993014,0.00006210,0.99994567,-0.00005433,-0.00072645,-0.60116770,1.39923687,0.00164688,1.00200067,-0.00341747,0.00144060,0.00100842,-0.00129654,0.00115248,-0.00100842,-0.00100842,0.00974512,-0.01754689,-0.01857400,0.03861702,0.15032251,0.07388163,4.85832379,1.91570413,0.81197720,1.95103019,-5.05270260,4.22399400,18.5359,9.1825,13.3354,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.180000,0.00011010,-0.59992293,1.39990091,0.00008808,0.99992293,-0.00007707,0.00092887,-0.59857729,1.40055276,-0.00122385,1.00395555,0.00122078,0.00181397,0.00126978,-0.00163257,0.00145118,-0.00126978,-0.00126978,0.09077901,0.05325338,0.02143055,0.05469008,-0.12248947,0.05063392,-1.18262166,-1.39682417,1.08513187,-1.40142101,-4.79878858,-3.35095900,19.4575,8.3211,15.9827,,SAFE,1.000,0,1
