trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428997904,1.023959398,-0.117831729,1.570781607,0.869832516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869832530,-0.429000104,1.023955868,-0.117831968,1.570779974,0.869830759,0.000000581,-0.000164340,-0.000263707,-0.000017742,-0.000122085,-0.000131344,-0.000019780,-0.008149749,-0.013078354,-0.000873830,-0.006061894,-0.006529574
ccro_nubs_candidate,0.080000,0.869832474,-0.429015291,1.023931497,-0.117833594,1.570768675,0.869818586,-0.000005419,-0.000646642,-0.001037774,-0.000068862,-0.000481583,-0.000519373,-0.000327326,-0.015899137,-0.025519665,-0.001669355,-0.011871136,-0.012834709
ccro_nubs_candidate,0.120000,0.869831858,-0.429055863,1.023866378,-0.117837881,1.570738416,0.869785906,-0.000029307,-0.001431016,-0.002296916,-0.000150278,-0.001068443,-0.001155166,-0.000912493,-0.023254391,-0.037333671,-0.002388966,-0.017430420,-0.018918237
ccro_nubs_candidate,0.160000,0.869829746,-0.429133591,1.023741608,-0.117845980,1.570680301,0.869722986,-0.000081985,-0.002501821,-0.004016234,-0.000258999,-0.001872720,-0.002029915,-0.001765136,-0.030221739,-0.048530111,-0.003035056,-0.022742436,-0.024782987
ccro_nubs_candidate,0.200000,0.869824775,-0.429259623,1.023539271,-0.117858926,1.570585831,0.869620443,-0.000173949,-0.003843666,-0.006171220,-0.000392134,-0.002884577,-0.003134926,-0.002875108,-0.036807407,-0.059118723,-0.003610014,-0.027809878,-0.030431792
ccro_nubs_candidate,0.240000,0.869815171,-0.429444496,1.023242424,-0.117877639,1.570446897,0.869469237,-0.000315290,-0.005441408,-0.008737757,-0.000546884,-0.004094285,-0.004461617,-0.004232265,-0.043017623,-0.069109244,-0.004116232,-0.032635437,-0.035867481
ccro_nubs_candidate,0.280000,0.869798764,-0.429698148,1.022835080,-0.117902929,1.570255778,0.869260671,-0.000515691,-0.007280153,-0.011692115,-0.000720548,-0.005492222,-0.006001521,-0.005826460,-0.048858613,-0.078511412,-0.004556101,-0.037221806,-0.041092887
ccro_nubs_candidate,0.320000,0.869773005,-0.430029926,1.022302195,-0.117935500,1.570005136,0.868986384,-0.000784432,-0.009345257,-0.015010955,-0.000910519,-0.007068876,-0.007746282,-0.007647548,-0.054336606,-0.087334966,-0.004932012,-0.041571678,-0.046110840
ccro_nubs_candidate,0.360000,0.869734980,-0.430448595,1.021629650,-0.117975954,1.569688011,0.868638347,-0.001130385,-0.011622324,-0.018671327,-0.001114288,-0.008814839,-0.009687660,-0.009685383,-0.059457828,-0.095589643,-0.005246356,-0.045687743,-0.050924170
ccro_nubs_candidate,0.400000,0.869681431,-0.430962350,1.020804236,-0.118024795,1.569297816,0.868208858,-0.001562017,-0.014097209,-0.022650672,-0.001329439,-0.010720814,-0.011817525,-0.011929820,-0.064228506,-0.103285182,-0.005501524,-0.049572695,-0.055535710
ccro_nubs_candidate,0.440000,0.869608769,-0.431578824,1.019813639,-0.118082430,1.568828335,0.867690538,-0.002087390,-0.016756014,-0.026926817,-0.001553653,-0.012777609,-0.014127864,-0.014370712,-0.068654868,-0.110431321,-0.005699907,-0.053229226,-0.059948290
ccro_nubs_candidate,0.480000,0.869513088,-0.432305101,1.018646424,-0.118149178,1.568273717,0.867076328,-0.002714158,-0.019585090,-0.031477982,-0.001784706,-0.014976142,-0.016610773,-0.016997916,-0.072743140,-0.117037797,-0.005843897,-0.056660028,-0.064164741
ccro_nubs_candidate,0.520000,0.869390187,-0.433147723,1.017292019,-0.118225269,1.567628473,0.866359479,-0.003449572,-0.022571040,-0.036282775,-0.002020471,-0.017307438,-0.019258466,-0.019801284,-0.076499550,-0.123114349,-0.005935884,-0.059867793,-0.068187894
ccro_nubs_candidate,0.560000,0.869235582,-0.434112700,1.015740700,-0.118310851,1.566887470,0.865533556,-0.004300474,-0.025700713,-0.041320194,-0.002258915,-0.019762628,-0.022063265,-0.022770671,-0.079930326,-0.128670714,-0.005978259,-0.062855214,-0.072020580
ccro_nubs_candidate,0.600000,0.869044523,-0.435205524,1.013983577,-0.118405992,1.566045928,0.864592424,-0.005273304,-0.028961207,-0.046569626,-0.002498102,-0.022332953,-0.025017610,-0.025895931,-0.083041694,-0.133716632,-0.005973414,-0.065624983,-0.075665630
ccro_nubs_candidate,0.640000,0.868812012,-0.436431172,1.012012573,-0.118510685,1.565099414,0.863530252,-0.006374092,-0.032339872,-0.052010848,-0.002736191,-0.025009760,-0.028114052,-0.029166920,-0.085839881,-0.138261839,-0.005923740,-0.068179791,-0.079125875
ccro_nubs_candidate,0.680000,0.868532815,-0.437794124,1.009820416,-0.118624850,1.564043841,0.862341503,-0.007608465,-0.035824305,-0.057624027,-0.002971435,-0.027784506,-0.031345254,-0.032573491,-0.088331114,-0.142316073,-0.005831627,-0.070522332,-0.082404146
ccro_nubs_candidate,0.720000,0.868201483,-0.439298365,1.007400618,-0.118748340,1.562875460,0.861020932,-0.008981644,-0.039402352,-0.063389718,-0.003202187,-0.030648752,-0.034703995,-0.036105499,-0.090521622,-0.145889073,-0.005699467,-0.072655297,-0.085503274
ccro_nubs_candidate,0.760000,0.867812368,-0.440947401,1.004747459,-0.118880944,1.561590859,0.859563578,-0.010498442,-0.043062108,-0.069288866,-0.003426891,-0.033594171,-0.038183165,-0.039752797,-0.092417630,-0.148990578,-0.005529651,-0.074581379,-0.088426091
ccro_nubs_candidate,0.800000,0.867359634,-0.442744267,1.001855978,-0.119022391,1.560186954,0.857964766,-0.012163269,-0.046791919,-0.075302807,-0.003644089,-0.036612540,-0.041775769,-0.043505242,-0.094025367,-0.151630324,-0.005324570,-0.076303271,-0.091175426
ccro_nubs_candidate,0.840000,0.866837279,-0.444691537,0.998721948,-0.119172353,1.558660991,0.856220096,-0.013980128,-0.050580377,-0.081413265,-0.003852418,-0.039695746,-0.045474924,-0.047352686,-0.095351059,-0.153818049,-0.005086615,-0.077823663,-0.093754111
ccro_nubs_candidate,0.880000,0.866239149,-0.446791331,0.995341868,-0.119330449,1.557010537,0.854325442,-0.015952616,-0.054416326,-0.087602354,-0.004050611,-0.042835783,-0.049273860,-0.051284984,-0.096400933,-0.155563493,-0.004818177,-0.079145249,-0.096164977
ccro_nubs_candidate,0.920000,0.865558952,-0.449045330,0.991712945,-0.119496251,1.555233476,0.852276946,-0.018083923,-0.058288857,-0.093852577,-0.004237498,-0.046024751,-0.053165922,-0.055291991,-0.097181217,-0.156876392,-0.004521647,-0.080270720,-0.098410855
ccro_nubs_candidate,0.960000,0.864790280,-0.451454785,0.987833075,-0.119669284,1.553328008,0.850071014,-0.020376836,-0.062187312,-0.100146828,-0.004412001,-0.049254861,-0.057144566,-0.059363561,-0.097698138,-0.157766486,-0.004199416,-0.081202769,-0.100494576
ccro_nubs_candidate,1.000000,0.863926619,-0.454020522,0.983700835,-0.119849033,1.551292641,0.847704312,-0.022833733,-0.066101280,-0.106468388,-0.004573140,-0.052518430,-0.061203364,-0.063489548,-0.097957922,-0.158243511,-0.003853876,-0.081944089,-0.102418970
ccro_nubs_candidate,1.040000,0.862961368,-0.456742958,0.979315458,-0.120034945,1.549126189,0.845173760,-0.025456590,-0.070020600,-0.112800931,-0.004720032,-0.055807881,-0.065335997,-0.067659807,-0.097966798,-0.158317206,-0.003487417,-0.082497371,-0.104186870
ccro_nubs_candidate,1.080000,0.861887858,-0.459622109,0.974676826,-0.120226435,1.546827765,0.842476530,-0.028246973,-0.073935361,-0.119128517,-0.004851886,-0.059115748,-0.069536264,-0.071864192,-0.097730993,-0.157997309,-0.003102431,-0.082865308,-0.105801106
ccro_nubs_candidate,1.120000,0.860699361,-0.462657598,0.969785450,-0.120422886,1.544396782,0.839610038,-0.031206045,-0.077835900,-0.125435598,-0.004968011,-0.062434670,-0.073798075,-0.076092558,-0.097256733,-0.157293558,-0.002701308,-0.083050592,-0.107264509
ccro_nubs_candidate,1.160000,0.859389115,-0.465848666,0.964642454,-0.120623658,1.541832941,0.836571943,-0.034334562,-0.081712803,-0.131707013,-0.005067808,-0.065757396,-0.078115452,-0.080334758,-0.096550245,-0.156215691,-0.002286439,-0.083055915,-0.108579909
