frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786019498.254781,0,50000,0,,,,0,,,,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
1,1786019498.356158,1973,50000,1,0.258735,upperArm_Link,0,155,0.689753,-0.125868,0.390062,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
2,1786019498.518219,1931,50000,1,0.256602,upperArm_Link,0,164,0.687136,-0.124410,0.395829,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
3,1786019498.655762,2062,50000,1,0.254317,upperArm_Link,0,162,0.688049,-0.126841,0.398638,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
4,1786019498.796865,2224,50000,1,0.252214,upperArm_Link,0,157,0.690214,-0.123747,0.394559,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
5,1786019498.932344,2158,50000,1,0.251708,upperArm_Link,0,174,0.682834,-0.123021,0.395627,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
6,1786019499.053101,2221,50000,1,0.251151,upperArm_Link,0,167,0.685289,-0.125407,0.397984,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
7,1786019499.188007,2135,50000,1,0.252390,upperArm_Link,0,163,0.681681,-0.124407,0.403463,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
8,1786019499.323197,2268,50000,1,0.255893,upperArm_Link,0,168,0.684596,-0.127317,0.400547,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
9,1786019499.462727,2285,50000,1,0.250479,upperArm_Link,0,169,0.683229,-0.124293,0.397432,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
10,1786019499.591678,2247,50000,1,0.255825,upperArm_Link,0,157,0.690662,-0.122739,0.391631,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
11,1786019499.727787,2323,50000,1,0.258742,upperArm_Link,0,156,0.691238,-0.124931,0.382458,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
12,1786019499.859819,2248,50000,1,0.254404,upperArm_Link,0,177,0.684311,-0.123250,0.396983,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
13,1786019499.985245,2292,50000,1,0.255369,upperArm_Link,0,171,0.689195,-0.128685,0.395435,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
14,1786019500.118509,2320,50000,1,0.253548,upperArm_Link,0,176,0.684489,-0.125228,0.396945,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
15,1786019500.250362,2344,50000,1,0.256032,upperArm_Link,0,160,0.689794,-0.124357,0.390327,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
16,1786019500.380471,2253,50000,1,0.259202,upperArm_Link,0,160,0.688384,-0.127171,0.389691,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
17,1786019500.511622,2260,50000,1,0.257752,upperArm_Link,0,151,0.691453,-0.126915,0.386791,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
18,1786019500.637770,2311,50000,1,0.255966,upperArm_Link,0,166,0.684150,-0.126350,0.396747,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
19,1786019500.768183,2337,50000,1,0.252791,upperArm_Link,0,163,0.689826,-0.126115,0.388548,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
