trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428997904,1.023959398,-0.117831729,1.570781607,0.869832516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869832287,-0.429000022,1.023956077,-0.117831716,1.570779765,0.869830858,-0.000017530,-0.000158215,-0.000248148,0.000001005,-0.000137670,-0.000124011,-0.000913661,-0.007848380,-0.012312012,0.000049839,-0.006834327,-0.006167680
ccro_nubs_candidate,0.080000,0.869830567,-0.429014648,1.023933132,-0.117831623,1.570767027,0.869819358,-0.000076009,-0.000622918,-0.000977383,0.000003955,-0.000542833,-0.000490797,-0.002046036,-0.015325305,-0.024055652,0.000097241,-0.013375190,-0.012139075
ccro_nubs_candidate,0.120000,0.869825546,-0.429053745,1.023871773,-0.117831375,1.570732928,0.869788461,-0.000184018,-0.001379357,-0.002165124,0.000008751,-0.001203818,-0.001092548,-0.003388782,-0.022436087,-0.035238594,0.000142144,-0.019625973,-0.017916246
ccro_nubs_candidate,0.160000,0.869815075,-0.429128692,1.023754106,-0.117830900,1.570667465,0.869728924,-0.000349805,-0.002412994,-0.003789097,0.000015292,-0.002109088,-0.001921535,-0.004933559,-0.029186037,-0.045868509,0.000184488,-0.025590059,-0.023501253
ccro_nubs_candidate,0.200000,0.869796685,-0.429250289,1.023563122,-0.117830130,1.570561095,0.869631811,-0.000581285,-0.003709500,-0.005827333,0.000023475,-0.003247245,-0.002970113,-0.006672024,-0.035580464,-0.055953070,0.000224213,-0.031270830,-0.028896158
ccro_nubs_candidate,0.240000,0.869767595,-0.429428769,1.023282685,-0.117829001,1.570404730,0.869488488,-0.000886039,-0.005254761,-0.008258173,0.000033193,-0.004607022,-0.004230720,-0.008595835,-0.041624680,-0.065499948,0.000261258,-0.036671669,-0.034103021
ccro_nubs_candidate,0.280000,0.869724728,-0.429673802,1.022897518,-0.117827455,1.570189727,0.869290626,-0.001271312,-0.007034876,-0.011060262,0.000044339,-0.006177291,-0.005695875,-0.010696649,-0.047323996,-0.074516815,0.000295561,-0.041795960,-0.039123904
ccro_nubs_candidate,0.320000,0.869664724,-0.429994507,1.022393194,-0.117825437,1.569907887,0.869030190,-0.001744019,-0.009036153,-0.014212554,0.000056801,-0.007947057,-0.007358180,-0.012966125,-0.052683722,-0.083011343,0.000327064,-0.046647085,-0.043960867
ccro_nubs_candidate,0.360000,0.869583953,-0.430399463,1.021756121,-0.117822895,1.569551448,0.868699440,-0.002310740,-0.011245116,-0.017694307,0.000070466,-0.009905461,-0.009210320,-0.015395921,-0.057709169,-0.090991205,0.000355704,-0.051228427,-0.048615971
ccro_nubs_candidate,0.400000,0.869478528,-0.430896709,1.020973530,-0.117819785,1.569113078,0.868290929,-0.002977719,-0.013648500,-0.021485090,0.000085218,-0.012041779,-0.011245061,-0.017977694,-0.062405648,-0.098464073,0.000381422,-0.055543368,-0.053091278
ccro_nubs_candidate,0.440000,0.869344320,-0.431493761,1.020033462,-0.117816065,1.568585874,0.867797496,-0.003750870,-0.016233253,-0.025564776,0.000100940,-0.014345423,-0.013455252,-0.020703103,-0.066778469,-0.105437618,0.000404156,-0.059595293,-0.057388847
ccro_nubs_candidate,0.480000,0.869176968,-0.432197616,1.018924760,-0.117811698,1.567963353,0.867212264,-0.004635772,-0.018986533,-0.029913544,0.000117510,-0.016805941,-0.015833826,-0.023563805,-0.070832943,-0.111919514,0.000423846,-0.063387583,-0.061510741
ccro_nubs_candidate,0.520000,0.868971898,-0.433014762,1.017637051,-0.117806654,1.567239445,0.866528638,-0.005637668,-0.021895714,-0.034511884,0.000134806,-0.019413013,-0.018373797,-0.026551459,-0.074574381,-0.117917430,0.000440432,-0.066923622,-0.065459020
ccro_nubs_candidate,0.560000,0.868724329,-0.433951186,1.016160738,-0.117800906,1.566408493,0.865740300,-0.006761470,-0.024948381,-0.039340588,0.000152703,-0.022156459,-0.021068260,-0.029657722,-0.078008094,-0.123439041,0.000453853,-0.070206792,-0.069235744
ccro_nubs_candidate,0.600000,0.868429294,-0.435012383,1.014486985,-0.117794432,1.565465244,0.864841208,-0.008011756,-0.028132330,-0.044380758,0.000171071,-0.025026230,-0.023910396,-0.032874252,-0.081139392,-0.128492018,0.000464048,-0.073240476,-0.072842976
ccro_nubs_candidate,0.640000,0.868081646,-0.436203363,1.012607706,-0.117787216,1.564404843,0.863825590,-0.009392769,-0.031435571,-0.049613803,0.000189782,-0.028012416,-0.026893466,-0.036192708,-0.083973586,-0.133084032,0.000470956,-0.076028058,-0.076282775
ccro_nubs_candidate,0.680000,0.867676077,-0.437528662,1.010515553,-0.117779246,1.563222829,0.862687941,-0.010908420,-0.034846326,-0.055021437,0.000208703,-0.031105239,-0.030010813,-0.039604747,-0.086515987,-0.137222756,0.000474517,-0.078572919,-0.079557203
ccro_nubs_candidate,0.720000,0.867207129,-0.438992348,1.008203903,-0.117770518,1.561915130,0.861423022,-0.012562285,-0.038353030,-0.060585682,0.000227698,-0.034295058,-0.033255865,-0.043102027,-0.088771905,-0.140915863,0.000474671,-0.080878444,-0.082668320
ccro_nubs_candidate,0.760000,0.866669208,-0.440598032,1.005666846,-0.117761031,1.560478058,0.860025855,-0.014357607,-0.041944329,-0.066288867,0.000246631,-0.037572368,-0.036622129,-0.046676205,-0.090746651,-0.144171024,0.000471356,-0.082948014,-0.085618188
ccro_nubs_candidate,0.800000,0.866056596,-0.442348874,1.002899172,-0.117750791,1.558908299,0.858491721,-0.016297296,-0.045609084,-0.072113627,0.000265360,-0.040927798,-0.040103197,-0.050318941,-0.092445537,-0.146995911,0.000464513,-0.084785013,-0.088408867
ccro_nubs_candidate,0.840000,0.865363465,-0.444247593,0.999896362,-0.117739807,1.557202916,0.856816153,-0.018383926,-0.049336365,-0.078042905,0.000283744,-0.044352113,-0.043692743,-0.054021892,-0.093873872,-0.149398196,0.000454080,-0.086392824,-0.091042419
ccro_nubs_candidate,0.880000,0.864583892,-0.446296474,0.996654570,-0.117728098,1.555359333,0.854994938,-0.020619739,-0.053115457,-0.084059950,0.000301638,-0.047836213,-0.047384523,-0.057776715,-0.095036967,-0.151385551,0.000439996,-0.087774829,-0.093520904
ccro_nubs_candidate,0.920000,0.863711871,-0.448497380,0.993170615,-0.117715685,1.553375341,0.853024111,-0.023006643,-0.056935857,-0.090148319,0.000318894,-0.051371134,-0.051172375,-0.061575070,-0.095940133,-0.152965649,0.000422202,-0.088934412,-0.095846383
ccro_nubs_candidate,0.960000,0.862741325,-0.450851756,0.989441969,-0.117702597,1.551249083,0.850899949,-0.025546213,-0.060787273,-0.096291874,0.000335364,-0.054948046,-0.055050221,-0.065408613,-0.096588682,-0.154146161,0.000400637,-0.089874955,-0.098020917
ccro_nubs_candidate,1.000000,0.861666122,-0.453360641,0.985466741,-0.117688868,1.548979053,0.848618973,-0.028239690,-0.064659627,-0.102474786,0.000350894,-0.058558255,-0.059012064,-0.069269002,-0.096987922,-0.154934760,0.000375239,-0.090599840,-0.100046567
ccro_nubs_candidate,1.040000,0.860480086,-0.456024674,0.981243668,-0.117674540,1.546564093,0.846177942,-0.031087980,-0.068543053,-0.108681532,0.000365331,-0.062193203,-0.063051989,-0.073147896,-0.097143166,-0.155339117,0.000345949,-0.091112452,-0.101925394
ccro_nubs_candidate,1.080000,0.859177011,-0.458844104,0.976772103,-0.117659658,1.544003380,0.843573851,-0.034091657,-0.072427898,-0.114896895,0.000378517,-0.065844466,-0.067164165,-0.077036953,-0.097059725,-0.155366905,0.000312705,-0.091416173,-0.103659460
ccro_nubs_candidate,1.120000,0.857750678,-0.461818798,0.972052001,-0.117644277,1.541296428,0.840803923,-0.037250961,-0.076304720,-0.121105966,0.000390294,-0.069503757,-0.071342843,-0.080927830,-0.096742907,-0.155025796,0.000275448,-0.091514386,-0.105250824
ccro_nubs_candidate,1.160000,0.856194861,-0.464948251,0.967083905,-0.117628456,1.538443081,0.837865612,-0.040565797,-0.080164290,-0.127294142,0.000400499,-0.073162922,-0.075582356,-0.084812186,-0.096198025,-0.154323461,0.000234116,-0.091410473,-0.106701547
ccro_nubs_candidate,1.200000,0.854503346,-0.468231591,0.961868939,-0.117612260,1.535443503,0.834756597,-0.044035738,-0.083997592,-0.133447129,0.000408968,-0.076813944,-0.079877119,-0.088681678,-0.095430390,-0.153267573,0.000188648,-0.091107818,-0.108013692
ccro_nubs_candidate,1.240000,0.852669944,-0.471667591,0.956408790,-0.117595764,1.532298179,0.831474779,-0.047660022,-0.087795821,-0.139550936,0.000415535,-0.080448942,-0.084221631,-0.092527964,-0.094445311,-0.151865804,0.000138985,-0.090609803,-0.109189318
ccro_nubs_candidate,1.280000,0.850688501,-0.475254675,0.950705702,-0.117579045,1.529007905,0.828018276,-0.051437554,-0.091550388,-0.145591883,0.000420030,-0.084060169,-0.088610472,-0.096342702,-0.093248100,-0.150125826,0.000085066,-0.089919812,-0.110230486
ccro_nubs_candidate,1.320000,0.848552915,-0.478990928,0.944762456,-0.117562191,1.525573784,0.824385422,-0.055366906,-0.095252912,-0.151556595,0.000422282,-0.087640013,-0.093038304,-0.100117551,-0.091844067,-0.148055311,0.000026829,-0.089041226,-0.111139258
ccro_nubs_candidate,1.360000,0.846257147,-0.482874105,0.938582365,-0.117545295,1.521997222,0.820574762,-0.059446315,-0.098895227,-0.157432003,0.000422118,-0.091180998,-0.097499874,-0.103844167,-0.090238523,-0.145661931,-0.000035785,-0.087977430,-0.111917695
ccro_nubs_candidate,1.400000,0.843795237,-0.486901637,0.932169257,-0.117528456,1.518279920,0.816585051,-0.063673685,-0.102469378,-0.163205347,0.000419360,-0.094675783,-0.101990010,-0.107514210,-0.088436779,-0.142953358,-0.000102838,-0.086731806,-0.112567856
ccro_nubs_candidate,1.440000,0.841161312,-0.491070643,0.925527464,-0.117511783,1.514423871,0.812415248,-0.068046586,-0.105967624,-0.168864172,0.000413831,-0.098117163,-0.106503620,-0.111119336,-0.086444146,-0.139937264,-0.000174390,-0.085307736,-0.113091804
ccro_nubs_candidate,1.480000,0.838349606,-0.495377934,0.918661812,-0.117495389,1.510431354,0.808064515,-0.072562255,-0.109382435,-0.174396330,0.000405348,-0.101498068,-0.111035699,-0.114651205,-0.084265934,-0.136621321,-0.000250501,-0.083708605,-0.113491599
ccro_nubs_candidate,1.520000,0.835354469,-0.499820028,0.911577605,-0.117479397,1.506304925,0.803532212,-0.077217595,-0.112706495,-0.179789982,0.000393729,-0.104811562,-0.115581320,-0.118101473,-0.081907453,-0.133013202,-0.000331232,-0.081937794,-0.113769302
ccro_nubs_candidate,1.560000,0.832170382,-0.504393149,0.904280614,-0.117463935,1.502047418,0.798817893,-0.082009174,-0.115932699,-0.185033593,0.000378787,-0.108050847,-0.120135642,-0.121461799,-0.079374016,-0.129120578,-0.000416644,-0.079998686,-0.113926975
ccro_nubs_candidate,1.600000,0.828791969,-0.509093247,0.896777068,-0.117449141,1.497661935,0.793921308,-0.086933228,-0.119054154,-0.190115937,0.000360334,-0.111209258,-0.124693905,-0.124723841,-0.076670931,-0.124951121,-0.000506798,-0.077894665,-0.113966677
