trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.429001570,1.023959204,-0.117831729,1.570781607,0.869821489,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869830666,-0.429001012,1.023958671,-0.117831485,1.570781480,0.869820039,-0.000138343,0.000041697,-0.000039838,0.000018274,-0.000009520,-0.000108491,-0.006879567,0.002070283,-0.001977736,0.000907306,-0.000472644,-0.005397468
ccro_nubs_candidate,0.080000,0.869817839,-0.428997153,1.023954985,-0.117829794,1.570780599,0.869809974,-0.000547373,0.000164463,-0.000157093,0.000072077,-0.000037545,-0.000429640,-0.013534699,0.004053604,-0.003871063,0.001776568,-0.000925295,-0.010633152
ccro_nubs_candidate,0.120000,0.869783386,-0.428986820,1.023945116,-0.117825265,1.570778240,0.869782918,-0.001218159,0.000364840,-0.000348411,0.000159898,-0.000083280,-0.000957008,-0.019967777,0.005951007,-0.005680998,0.002608239,-0.001358195,-0.015708677
ccro_nubs_candidate,0.160000,0.869717014,-0.428966977,1.023926168,-0.117816568,1.570773711,0.869730749,-0.002141866,0.000639412,-0.000610475,0.000280241,-0.000145940,-0.001684221,-0.026181182,0.007763532,-0.007408559,0.003402777,-0.001771583,-0.020625674
ccro_nubs_candidate,0.200000,0.869608781,-0.428934723,1.023895378,-0.117802432,1.570766350,0.869645600,-0.003309756,0.000984805,-0.000940011,0.000431631,-0.000224750,-0.002604970,-0.032177296,0.009492222,-0.009054764,0.004160637,-0.002165701,-0.025385769
ccro_nubs_candidate,0.240000,0.869449093,-0.428887292,1.023850111,-0.117781643,1.570755526,0.869519854,-0.004713184,0.001397686,-0.001333785,0.000612609,-0.000318943,-0.003713012,-0.037958500,0.011138118,-0.010620631,0.004882273,-0.002540789,-0.029990589
ccro_nubs_candidate,0.280000,0.869228700,-0.428822052,1.023787861,-0.117753048,1.570740639,0.869346144,-0.006343602,0.001874764,-0.001788604,0.000821736,-0.000427763,-0.005002168,-0.043527176,0.012702263,-0.012107177,0.005568142,-0.002897090,-0.034441764
ccro_nubs_candidate,0.320000,0.868938691,-0.428736499,1.023706251,-0.117715548,1.570721120,0.869117347,-0.008192556,0.002412791,-0.002301315,0.001057590,-0.000550463,-0.006466326,-0.048885705,0.014185697,-0.013515420,0.006218699,-0.003234843,-0.038740920
ccro_nubs_candidate,0.360000,0.868570493,-0.428628259,1.023603026,-0.117668103,1.570696427,0.868826585,-0.010251688,0.003008558,-0.002868807,0.001318767,-0.000686306,-0.008099437,-0.054036469,0.015589464,-0.014846379,0.006834401,-0.003554289,-0.042889686
ccro_nubs_candidate,0.400000,0.868115864,-0.428495086,1.023476057,-0.117609728,1.570666050,0.868467219,-0.012512735,0.003658899,-0.003488008,0.001603883,-0.000834565,-0.009895518,-0.058981848,0.016914605,-0.016101070,0.007415701,-0.003855670,-0.046889689
ccro_nubs_candidate,0.440000,0.867566891,-0.428334861,1.023323336,-0.117539491,1.570629506,0.868032850,-0.014967530,0.004360692,-0.004155889,0.001911571,-0.000994522,-0.011848650,-0.063724226,0.018162162,-0.017280511,0.007963056,-0.004139227,-0.050742557
ccro_nubs_candidate,0.480000,0.866915986,-0.428145586,1.023142977,-0.117456519,1.570586342,0.867517311,-0.017607999,0.005110852,-0.004869460,0.002240481,-0.001165469,-0.013952982,-0.068265982,0.019333176,-0.018385722,0.008476921,-0.004405200,-0.054449918
ccro_nubs_candidate,0.520000,0.866155882,-0.427925388,1.022933209,-0.117359988,1.570536131,0.866914672,-0.020426165,0.005906339,-0.005625771,0.002589284,-0.001346707,-0.016202725,-0.072609498,0.020428690,-0.019417718,0.008957753,-0.004653830,-0.058013399
