trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
reference_nubs,0.000000,0.869832516,-0.428994209,1.023981333,-0.117813393,1.570796468,0.869850970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
reference_nubs,0.040000,0.869831044,-0.428994197,1.023981351,-0.117813387,1.570796468,0.869849498,-0.000110075,0.000000892,0.000001373,0.000000482,-0.000000000,-0.000110077,-0.005476085,0.000044391,0.000068306,0.000023966,-0.000000000,-0.005476187
reference_nubs,0.080000,0.869820833,-0.428994114,1.023981479,-0.117813342,1.570796468,0.869839287,-0.000435885,0.000003533,0.000005437,0.000001908,-0.000000000,-0.000435893,-0.010787061,0.000087444,0.000134553,0.000047209,-0.000000001,-0.010787262
reference_nubs,0.120000,0.869793385,-0.428993891,1.023981821,-0.117813222,1.570796468,0.869811838,-0.000970861,0.000007870,0.000012110,0.000004249,-0.000000000,-0.000970879,-0.015934597,0.000129172,0.000198761,0.000069736,-0.000000001,-0.015934895
reference_nubs,0.160000,0.869740462,-0.428993462,1.023982481,-0.117812991,1.570796468,0.869758915,-0.001708496,0.000013850,0.000021311,0.000007477,-0.000000000,-0.001708528,-0.020920361,0.000169589,0.000260951,0.000091556,-0.000000002,-0.020920751
reference_nubs,0.200000,0.869654089,-0.428992762,1.023983558,-0.117812613,1.570796468,0.869672539,-0.002642355,0.000021420,0.000032960,0.000011564,-0.000000000,-0.002642404,-0.025746020,0.000208707,0.000321144,0.000112675,-0.000000002,-0.025746500
reference_nubs,0.240000,0.869526543,-0.428991728,1.023985149,-0.117812054,1.570796468,0.869544991,-0.003766065,0.000030529,0.000046976,0.000016482,-0.000000000,-0.003766136,-0.030413242,0.000246542,0.000379361,0.000133101,-0.000000002,-0.030413809
reference_nubs,0.280000,0.869350356,-0.428990300,1.023987347,-0.117811283,1.570796468,0.869368801,-0.005073324,0.000041126,0.000063282,0.000022203,-0.000000000,-0.005073418,-0.034923694,0.000283105,0.000435623,0.000152841,-0.000000003,-0.034924346
reference_nubs,0.320000,0.869118313,-0.428988419,1.023990241,-0.117810268,1.570796468,0.869136753,-0.006557893,0.000053161,0.000081800,0.000028700,-0.000000001,-0.006558015,-0.039279045,0.000318411,0.000489949,0.000171901,-0.000000003,-0.039279778
reference_nubs,0.360000,0.868823443,-0.428986029,1.023993920,-0.117808977,1.570796468,0.868841878,-0.008213602,0.000066583,0.000102453,0.000035946,-0.000000001,-0.008213755,-0.043480963,0.000352474,0.000542362,0.000190291,-0.000000004,-0.043481774
reference_nubs,0.400000,0.868459024,-0.428983075,1.023998465,-0.117807383,1.570796468,0.868477452,-0.010034346,0.000081342,0.000125164,0.000043914,-0.000000001,-0.010034533,-0.047531114,0.000385306,0.000592882,0.000208016,-0.000000004,-0.047532000
reference_nubs,0.440000,0.868018575,-0.428979504,1.024003959,-0.117805455,1.570796468,0.868036995,-0.012014089,0.000097391,0.000149858,0.000052579,-0.000000001,-0.012014313,-0.051431167,0.000416921,0.000641530,0.000225084,-0.000000004,-0.051432126
reference_nubs,0.480000,0.867495857,-0.428975267,1.024010479,-0.117803167,1.570796468,0.867514267,-0.014146861,0.000114680,0.000176462,0.000061913,-0.000000001,-0.014147124,-0.055182789,0.000447333,0.000688326,0.000241503,-0.000000005,-0.055183819
reference_nubs,0.520000,0.866884865,-0.428970314,1.024018100,-0.117800493,1.570796468,0.866903264,-0.016426756,0.000133162,0.000204900,0.000071890,-0.000000001,-0.016427062,-0.058787649,0.000476556,0.000733291,0.000257279,-0.000000005,-0.058788745
reference_nubs,0.560000,0.866179832,-0.428964598,1.024026895,-0.117797408,1.570796467,0.866198218,-0.018847938,0.000152789,0.000235101,0.000082486,-0.000000002,-0.018848289,-0.062247414,0.000504602,0.000776447,0.000272421,-0.000000005,-0.062248575
reference_nubs,0.600000,0.865375223,-0.428958076,1.024036931,-0.117793887,1.570796467,0.865393594,-0.021404636,0.000173514,0.000266992,0.000093676,-0.000000002,-0.021405036,-0.065563751,0.000531486,0.000817813,0.000286934,-0.000000005,-0.065564974
reference_nubs,0.640000,0.864465731,-0.428950703,1.024048276,-0.117789906,1.570796467,0.864484084,-0.024091148,0.000195292,0.000300502,0.000105433,-0.000000002,-0.024091597,-0.068738329,0.000557220,0.000857411,0.000300828,-0.000000006,-0.068739611
reference_nubs,0.680000,0.863446276,-0.428942439,1.024060992,-0.117785445,1.570796467,0.863464610,-0.026901835,0.000218077,0.000335562,0.000117734,-0.000000002,-0.026902337,-0.071772816,0.000581819,0.000895262,0.000314108,-0.000000006,-0.071774154
reference_nubs,0.720000,0.862312002,-0.428933244,1.024075140,-0.117780481,1.570796467,0.862330316,-0.029831127,0.000241823,0.000372100,0.000130553,-0.000000002,-0.029831684,-0.074668878,0.000605295,0.000931386,0.000326782,-0.000000006,-0.074670271
reference_nubs,0.760000,0.861058277,-0.428923081,1.024090779,-0.117774994,1.570796467,0.861076568,-0.032873522,0.000266486,0.000410050,0.000143868,-0.000000003,-0.032874135,-0.077428184,0.000627663,0.000965805,0.000338858,-0.000000006,-0.077429629
reference_nubs,0.800000,0.859680685,-0.428911914,1.024107962,-0.117768965,1.570796467,0.859698950,-0.036023581,0.000292021,0.000449342,0.000157654,-0.000000003,-0.036024253,-0.080052402,0.000648936,0.000998538,0.000350343,-0.000000007,-0.080053895
reference_nubs,0.840000,0.858175027,-0.428899708,1.024126743,-0.117762375,1.570796467,0.858193263,-0.039275935,0.000318386,0.000489911,0.000171888,-0.000000003,-0.039276668,-0.082543199,0.000669128,0.001029607,0.000361243,-0.000000007,-0.082544739
reference_nubs,0.880000,0.856537317,-0.428886432,1.024147171,-0.117755208,1.570796467,0.856555523,-0.042625280,0.000345537,0.000531689,0.000186546,-0.000000003,-0.042626075,-0.084902244,0.000688251,0.001059033,0.000371568,-0.000000007,-0.084903827
reference_nubs,0.920000,0.854763781,-0.428872055,1.024169293,-0.117747446,1.570796467,0.854781954,-0.046066380,0.000373432,0.000574612,0.000201606,-0.000000004,-0.046067239,-0.087131203,0.000706320,0.001086836,0.000381322,-0.000000007,-0.087132828
reference_nubs,0.960000,0.852850852,-0.428856549,1.024193155,-0.117739075,1.570796466,0.852868990,-0.049594064,0.000402029,0.000618614,0.000217044,-0.000000004,-0.049594989,-0.089231744,0.000723348,0.001113037,0.000390515,-0.000000007,-0.089233409
reference_nubs,1.000000,0.850795170,-0.428839884,1.024218796,-0.117730078,1.570796466,0.850813268,-0.053203230,0.000431286,0.000663633,0.000232839,-0.000000004,-0.053204222,-0.091205536,0.000739348,0.001137657,0.000399153,-0.000000007,-0.091207238
reference_nubs,1.040000,0.848593575,-0.428822037,1.024246258,-0.117720443,1.570796466,0.848611633,-0.056888839,0.000461163,0.000709606,0.000248969,-0.000000005,-0.056889900,-0.093054247,0.000754334,0.001160717,0.000407244,-0.000000008,-0.093055982
reference_nubs,1.080000,0.846243110,-0.428802984,1.024275577,-0.117710156,1.570796466,0.846261123,-0.060645924,0.000491620,0.000756470,0.000265412,-0.000000005,-0.060647055,-0.094779543,0.000768320,0.001182238,0.000414795,-0.000000008,-0.094781310
reference_nubs,1.120000,0.843741013,-0.428782701,1.024306787,-0.117699206,1.570796466,0.843758981,-0.064469580,0.000522616,0.000804165,0.000282146,-0.000000005,-0.064470782,-0.096383092,0.000781319,0.001202240,0.000421812,-0.000000008,-0.096384890
reference_nubs,1.160000,0.841084720,-0.428761168,1.024339920,-0.117687581,1.570796465,0.841102638,-0.068354970,0.000554112,0.000852630,0.000299150,-0.000000006,-0.068356245,-0.097866563,0.000793345,0.001220744,0.000428305,-0.000000008,-0.097868389
