trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428994209,1.023981333,-0.117813393,1.570796468,0.869850970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869832004,-0.428990882,1.023985112,-0.117816165,1.570797304,0.869849542,-0.000038631,0.000248418,0.000282076,-0.000206914,0.000062369,-0.000106805,-0.001955336,0.012316708,0.013969825,-0.010250516,0.003086447,-0.005314833
ccro_nubs_candidate,0.080000,0.869828345,-0.428967932,1.024011136,-0.117835262,1.570803052,0.869839631,-0.000158286,0.000977067,0.001106974,-0.000812499,0.000244381,-0.000423162,-0.004050091,0.024013221,0.027143722,-0.019935327,0.005982780,-0.010477804
ccro_nubs_candidate,0.120000,0.869818188,-0.428906642,1.024080487,-0.117886181,1.570818349,0.869812976,-0.000364405,0.002161340,0.002443172,-0.001794341,0.000538511,-0.000943022,-0.006277415,0.035099559,0.039537503,-0.029065183,0.008693053,-0.015490214
ccro_nubs_candidate,0.160000,0.869797971,-0.428789273,1.024212995,-0.117983533,1.570847530,0.869761556,-0.000662155,0.003777030,0.004259783,-0.003130457,0.000937398,-0.001660389,-0.008630456,0.045585739,0.051166981,-0.037650835,0.011221322,-0.020353366
ccro_nubs_candidate,0.200000,0.869763928,-0.428599045,1.024427271,-0.118141054,1.570894642,0.869677591,-0.001056427,0.005800331,0.006526551,-0.004799295,0.001433844,-0.002569318,-0.011102365,0.055481782,0.062047965,-0.045703032,0.013571643,-0.025068563
ccro_nubs_candidate,0.240000,0.869712108,-0.428320124,1.024740726,-0.118371631,1.570963444,0.869553535,-0.001551838,0.008207838,0.009213851,-0.006779730,0.002020811,-0.003663918,-0.013686291,0.064797706,0.072196267,-0.053232526,0.015748071,-0.029637107
ccro_nubs_candidate,0.280000,0.869638375,-0.427937602,1.025169599,-0.118687311,1.571057422,0.869382079,-0.002152732,0.010976546,0.012292694,-0.009051071,0.002691425,-0.004938349,-0.016375384,0.073543530,0.081627699,-0.060250066,0.017754662,-0.034060301
ccro_nubs_candidate,0.320000,0.869538428,-0.427437486,1.025728984,-0.119099325,1.571179784,0.869156147,-0.002863180,0.014083852,0.015734720,-0.011593053,0.003438974,-0.006386822,-0.019162793,0.081729274,0.090358072,-0.066766402,0.019595470,-0.038339447
ccro_nubs_candidate,0.360000,0.869407809,-0.426806676,1.026432850,-0.119618099,1.571333478,0.868868890,-0.003686975,0.017507554,0.019512203,-0.014385844,0.004256907,-0.008003601,-0.022041669,0.089364955,0.098403198,-0.072792286,0.021274553,-0.042475847
ccro_nubs_candidate,0.400000,0.869241912,-0.426032954,1.027294071,-0.120253277,1.571521190,0.868513690,-0.004627641,0.021225848,0.023598050,-0.017410040,0.005138836,-0.009783004,-0.025005160,0.096460594,0.105778887,-0.078338466,0.022795964,-0.046470805
ccro_nubs_candidate,0.440000,0.869035996,-0.425104966,1.028324452,-0.121013735,1.571745355,0.868084156,-0.005688425,0.025217334,0.027965799,-0.020646668,0.006078536,-0.011719397,-0.028046416,0.103026209,0.112500952,-0.083415694,0.024163761,-0.050325623
ccro_nubs_candidate,0.480000,0.868785197,-0.424012205,1.029534749,-0.121907596,1.572008162,0.867574120,-0.006872300,0.029461011,0.032589622,-0.024077186,0.007069942,-0.013807202,-0.031158587,0.109071819,0.118585203,-0.088034719,0.025381997,-0.054041603
ccro_nubs_candidate,0.520000,0.868484535,-0.422744997,1.030934700,-0.122942253,1.572311561,0.866977635,-0.008181966,0.033936280,0.037444322,-0.027683480,0.008107155,-0.016040892,-0.034334823,0.114607443,0.124047452,-0.092206292,0.026454729,-0.057620047
ccro_nubs_candidate,0.560000,0.868128930,-0.421294484,1.032533045,-0.124124382,1.572657269,0.866288976,-0.009619849,0.038622941,0.042505335,-0.031447866,0.009184435,-0.018414990,-0.037568272,0.119643100,0.128903511,-0.095941164,0.027386012,-0.061062259
ccro_nubs_candidate,0.600000,0.867713208,-0.419652607,1.034337558,-0.125459960,1.573046776,0.865502636,-0.011188099,0.043501195,0.047748731,-0.035353093,0.010296204,-0.020924073,-0.040852086,0.124188809,0.133169190,-0.099250083,0.028179902,-0.064369540
ccro_nubs_candidate,0.640000,0.867232118,-0.417812092,1.036355065,-0.126954283,1.573481353,0.864613322,-0.012888596,0.048551646,0.053151210,-0.039382337,0.011437049,-0.023562771,-0.044179413,0.128254589,0.136860301,-0.102143802,0.028840454,-0.067543193
ccro_nubs_candidate,0.680000,0.866680336,-0.415766433,1.038591473,-0.128611982,1.573962057,0.863615957,-0.014722941,0.053755297,0.058690105,-0.043519205,0.012601717,-0.026325764,-0.047543402,0.131850459,0.139992656,-0.104633069,0.029371723,-0.070584521
ccro_nubs_candidate,0.720000,0.866052480,-0.413509874,1.041051798,-0.130437041,1.574489740,0.862505674,-0.016692466,0.059093551,0.064343383,-0.047747733,0.013785117,-0.029207786,-0.050937205,0.134986438,0.142582066,-0.106728635,0.029777766,-0.073494827
ccro_nubs_candidate,0.760000,0.865343122,-0.411037397,1.043740184,-0.132432815,1.575065051,0.861277817,-0.018798224,0.064548214,0.070089642,-0.052052390,0.014982322,-0.032203621,-0.054353969,0.137672545,0.144644342,-0.108441250,0.030062637,-0.076275412
ccro_nubs_candidate,0.800000,0.864546795,-0.408344702,1.046659932,-0.134602046,1.575688446,0.859927936,-0.021040998,0.070101490,0.075908113,-0.056418071,0.016188567,-0.035308107,-0.057786845,0.139918799,0.146195296,-0.109781666,0.030230393,-0.078927579
ccro_nubs_candidate,0.840000,0.863658009,-0.405428195,1.049813527,-0.136946879,1.576360195,0.858451787,-0.023421295,0.075735986,0.081778659,-0.060830103,0.017399246,-0.038516132,-0.061228983,0.141735219,0.147250739,-0.110760631,0.030285088,-0.081452631
ccro_nubs_candidate,0.880000,0.862671255,-0.402284967,1.053202659,-0.139468882,1.577080386,0.856845332,-0.025939349,0.081434710,0.087681776,-0.065274245,0.018609920,-0.041822640,-0.064673532,0.143131823,0.147826482,-0.111388896,0.030230778,-0.083851870
ccro_nubs_candidate,0.920000,0.861581024,-0.398912783,1.056828251,-0.142169062,1.577848931,0.855104730,-0.028595118,0.087181068,0.093598592,-0.069736682,0.019816309,-0.045222622,-0.068113642,0.144118632,0.147938336,-0.111677211,0.030071519,-0.086126599
ccro_nubs_candidate,0.960000,0.860381813,-0.395310063,1.060690485,-0.145047882,1.578665578,0.853226342,-0.031388289,0.092958870,0.099510868,-0.074204033,0.021014297,-0.048711125,-0.071542461,0.144705664,0.147602114,-0.111636327,0.029811366,-0.088278120
ccro_nubs_candidate,1.000000,0.859068137,-0.391475865,1.064788825,-0.148105277,1.579529910,0.851206725,-0.034318273,0.098752325,0.105400998,-0.078663343,0.022199927,-0.052283246,-0.074953141,0.144902937,0.146833627,-0.111276994,0.029454375,-0.090307736
ccro_nubs_candidate,1.040000,0.857634539,-0.387409873,1.069122043,-0.151340675,1.580441357,0.849042632,-0.037384208,0.104546042,0.111252006,-0.083102090,0.023369409,-0.055934136,-0.078338830,0.144720471,0.145648685,-0.110609962,0.029004600,-0.092216749
ccro_nubs_candidate,1.080000,0.856075603,-0.383112378,1.073688246,-0.154753009,1.581399199,0.846731008,-0.040584955,0.110325033,0.117047550,-0.087508180,0.024519112,-0.059658995,-0.081692678,0.144168285,0.144063101,-0.109645982,0.028466099,-0.094006462
ccro_nubs_candidate,1.120000,0.854385964,-0.378584262,1.078484898,-0.158340738,1.582402576,0.844268989,-0.043919106,0.116074709,0.122771923,-0.091869952,0.025645568,-0.063453079,-0.085007835,0.143256398,0.142092686,-0.108395803,0.027842926,-0.095678176
ccro_nubs_candidate,1.160000,0.852560318,-0.373826982,1.083508849,-0.162101864,1.583450491,0.841653901,-0.047384975,0.121780882,0.128410045,-0.096176172,0.026745472,-0.067311694,-0.088277451,0.141994829,0.139753250,-0.106870176,0.027139136,-0.097233196
ccro_nubs_candidate,1.200000,0.850593435,-0.368842555,1.088756358,-0.166033947,1.584541818,0.838883255,-0.050980603,0.127429766,0.133947473,-0.100416037,0.027815678,-0.071230196,-0.091494674,0.140393596,0.137060606,-0.105079851,0.026358786,-0.098672823
ccro_nubs_candidate,1.240000,0.848480169,-0.363633543,1.094223120,-0.170134124,1.585675309,0.835954748,-0.054703759,0.133007975,0.139370395,-0.104579174,0.028853208,-0.075203998,-0.094652655,0.138462719,0.134030565,-0.103035578,0.025505930,-0.099998359
ccro_nubs_candidate,1.280000,0.846215467,-0.358203033,1.099904287,-0.174399125,1.586849601,0.832866259,-0.058551935,0.138502522,0.144665631,-0.108655641,0.029855240,-0.079228561,-0.097744543,0.136212217,0.130678937,-0.100748108,0.024584624,-0.101211108
ccro_nubs_candidate,1.320000,0.843794384,-0.352554625,1.105794500,-0.178825293,1.588063219,0.829615846,-0.062522350,0.143900824,0.149820633,-0.112635923,0.030819119,-0.083299400,-0.100763488,0.133652109,0.127021536,-0.098228191,0.023598924,-0.102312372
ccro_nubs_candidate,1.360000,0.841212090,-0.346692413,1.111887909,-0.183408595,1.589314588,0.826201749,-0.066611950,0.149190696,0.154823487,-0.116510940,0.031742350,-0.087412082,-0.103702640,0.130792413,0.123074171,-0.095486578,0.022552885,-0.103303452
ccro_nubs_candidate,1.400000,0.838463883,-0.340620972,1.118178200,-0.188144649,1.590602034,0.822622380,-0.070817406,0.154360356,0.159662911,-0.120272037,0.032622599,-0.091562225,-0.106555147,0.127643149,0.118852655,-0.092534017,0.021450563,-0.104185653
ccro_nubs_candidate,1.440000,0.835545201,-0.334345339,1.124658621,-0.193028730,1.591923794,0.818876329,-0.075135115,0.159398421,0.164328255,-0.123910992,0.033457698,-0.095745500,-0.109314161,0.124214335,0.114372798,-0.089381260,0.020296013,-0.104960275
ccro_nubs_candidate,1.480000,0.832451629,-0.327871000,1.131322005,-0.198055795,1.593278021,0.814962356,-0.079561201,0.164293909,0.168809501,-0.127420012,0.034245638,-0.099957630,-0.111972829,0.120515992,0.109650413,-0.086039057,0.019093291,-0.105628622
ccro_nubs_candidate,1.520000,0.829178915,-0.321203869,1.138160801,-0.203220500,1.594662792,0.810879390,-0.084091512,0.169036240,0.173097265,-0.130791734,0.034984573,-0.104194390,-0.114524302,0.116558137,0.104701310,-0.082518158,0.017846451,-0.106191997
ccro_nubs_candidate,1.560000,0.825722977,-0.314350278,1.145167090,-0.208517211,1.596076111,0.806626532,-0.088721624,0.173615233,0.177182794,-0.134019225,0.035672820,-0.108451607,-0.116961730,0.112350789,0.099541301,-0.078829314,0.016559551,-0.106651701
ccro_nubs_candidate,1.600000,0.822079917,-0.307316959,1.152332619,-0.213940028,1.597515921,0.802203044,-0.093446839,0.178021110,0.181057968,-0.137095983,0.036308857,-0.112725161,-0.119278262,0.107903968,0.094186197,-0.074983274,0.015236644,-0.107009038
ccro_nubs_candidate,1.640000,0.818246028,-0.300111023,1.159648822,-0.219482798,1.598980106,0.797608355,-0.098262182,0.182244491,0.184715299,-0.140015935,0.036891326,-0.117010983,-0.121467048,0.103227693,0.088651809,-0.070990789,0.013881788,-0.107265309
ccro_nubs_candidate,1.680000,0.814217811,-0.292739952,1.167106847,-0.225139136,1.600466497,0.792842055,-0.103162408,0.186276400,0.188147933,-0.142773437,0.037419028,-0.121305056,-0.123521238,0.098331982,0.082953950,-0.066862610,0.012499036,-0.107421817
ccro_nubs_candidate,1.720000,0.809991978,-0.285211579,1.174697578,-0.230902438,1.601972884,0.787903894,-0.108141995,0.190108258,0.191349647,-0.145363277,0.037890931,-0.125603415,-0.125433980,0.093226855,0.077108430,-0.062609485,0.011092445,-0.107479865
ccro_nubs_candidate,1.760000,0.805565470,-0.277534068,1.182411665,-0.236765899,1.603497016,0.782793777,-0.113195149,0.193731889,0.194314850,-0.147780673,0.038306160,-0.129902149,-0.127198425,0.087922330,0.071131061,-0.058242167,0.009666071,-0.107440756
ccro_nubs_candidate,1.800000,0.800935466,-0.269715908,1.190239546,-0.242722534,1.605036611,0.777511768,-0.118315800,0.197139519,0.197038584,-0.150021272,0.038664007,-0.134197398,-0.128807722,0.082428426,0.065037654,-0.053771404,0.008223968,-0.107305791
ccro_nubs_candidate,1.840000,0.796099390,-0.261765885,1.198171474,-0.248765191,1.606589364,0.772058083,-0.123497607,0.200323772,0.199516526,-0.152081150,0.038963922,-0.138485352,-0.130255020,0.076755164,0.058844020,-0.049207947,0.006770192,-0.107076273
ccro_nubs_candidate,1.880000,0.791054930,-0.253693077,1.206197541,-0.254886570,1.608152947,0.766433087,-0.128733951,0.203277674,0.201744980,-0.153956815,0.039205520,-0.142762256,-0.131533471,0.070912560,0.052565971,-0.044562547,0.005308799,-0.106753505
ccro_nubs_candidate,1.920000,0.785800039,-0.245506831,1.214307705,-0.261079239,1.609725025,0.760637299,-0.134017942,0.205994653,0.203720888,-0.155645204,0.039388578,-0.147024406,-0.132636222,0.064910635,0.046219319,-0.039845954,0.003843844,-0.106338789
ccro_nubs_candidate,1.960000,0.780332955,-0.237216747,1.222491812,-0.267335654,1.611303252,0.754671380,-0.139342414,0.208468534,0.205441822,-0.157143685,0.039513035,-0.151268151,-0.133556424,0.058759408,0.039819874,-0.035068917,0.002379383,-0.105833428
ccro_nubs_candidate,2.000000,0.774652205,-0.228832666,1.230739627,-0.273648172,1.612885287,0.748536140,-0.144699930,0.210693548,0.206905985,-0.158450055,0.039578990,-0.155489890,-0.134287227,0.052468897,0.033383448,-0.030242188,0.000919471,-0.105238725
ccro_nubs_candidate,2.040000,0.768756622,-0.220364653,1.239040852,-0.280009073,1.614468795,0.742232530,-0.150082794,0.212664323,0.208112199,-0.159562532,0.039586702,-0.159686076,-0.134823539,0.046049181,0.026924246,-0.025375623,-0.000532311,-0.104556059
