trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428994209,1.023981333,-0.117813393,1.570796468,0.869850970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869831089,-0.428992472,1.023979663,-0.117812614,1.570796418,0.869849474,-0.000106788,0.000129697,-0.000124643,0.000058163,-0.000003743,-0.000111879,-0.005321275,0.006428654,-0.006176387,0.002881847,-0.000187869,-0.005565240
ccro_nubs_candidate,0.080000,0.869821164,-0.428980494,1.023968156,-0.117807245,1.570796067,0.869839097,-0.000424250,0.000509836,-0.000489692,0.000228463,-0.000015083,-0.000442935,-0.010533629,0.012523086,-0.012021320,0.005607342,-0.000379727,-0.010959179
ccro_nubs_candidate,0.120000,0.869794399,-0.428948522,1.023937458,-0.117792925,1.570795108,0.869811208,-0.000948019,0.001127166,-0.001082010,0.000504704,-0.000034169,-0.000986353,-0.015636522,0.018289165,-0.017540847,0.008179397,-0.000575155,-0.016183634
ccro_nubs_candidate,0.160000,0.869742630,-0.428887332,1.023878737,-0.117765538,1.570793228,0.869757447,-0.001673705,0.001968669,-0.001888701,0.000880808,-0.000061137,-0.001735390,-0.020629412,0.023732759,-0.022741015,0.010600925,-0.000773734,-0.021240422
ccro_nubs_candidate,0.200000,0.869657869,-0.428788210,1.023783672,-0.117721208,1.570790110,0.869669724,-0.002596898,0.003021565,-0.002897113,0.001350810,-0.000096104,-0.002683376,-0.025511760,0.028859736,-0.027627871,0.012874841,-0.000975045,-0.026131359
ccro_nubs_candidate,0.240000,0.869532304,-0.428642955,1.023644444,-0.117656299,1.570785432,0.869540212,-0.003713164,0.004273305,-0.004094834,0.001908866,-0.000139172,-0.003823712,-0.030283023,0.033675964,-0.032207463,0.015004056,-0.001178668,-0.030858262
ccro_nubs_candidate,0.280000,0.869358301,-0.428443859,1.023453724,-0.117567402,1.570778868,0.869361349,-0.005018051,0.005711577,-0.005469694,0.002549244,-0.000190423,-0.005149874,-0.034942663,0.038187311,-0.036485836,0.016991485,-0.001384185,-0.035422949
ccro_nubs_candidate,0.320000,0.869128404,-0.428183703,1.023204666,-0.117451336,1.570770088,0.869125831,-0.006507082,0.007324303,-0.007009765,0.003266333,-0.000249926,-0.006655409,-0.039490136,0.042399645,-0.040469038,0.018840041,-0.001591176,-0.039827235
ccro_nubs_candidate,0.360000,0.868835339,-0.427855747,1.022890896,-0.117305145,1.570758763,0.868826610,-0.008175759,0.009099640,-0.008703362,0.004054635,-0.000317731,-0.008333938,-0.043924904,0.046318834,-0.044163117,0.020552636,-0.001799222,-0.044072938
