trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428994209,1.023981333,-0.117813393,1.570796468,0.869850970,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869829671,-0.429002141,1.023974769,-0.117805150,1.570793787,0.869849307,-0.000212025,-0.000589931,-0.000488080,0.000613188,-0.000199120,-0.000124225,-0.010465528,-0.028994983,-0.023986630,0.030154588,-0.009763295,-0.006165614
ccro_nubs_candidate,0.080000,0.869810187,-0.429056071,1.023930156,-0.117749057,1.570775637,0.869837816,-0.000826550,-0.002280104,-0.001886067,0.002372604,-0.000765911,-0.000489639,-0.020129145,-0.055027879,-0.045508530,0.057326976,-0.018390146,-0.012060482
ccro_nubs_candidate,0.120000,0.869758601,-0.429197663,1.023813047,-0.117601626,1.570728208,0.869807063,-0.001811995,-0.004953928,-0.004096952,0.005160825,-0.001655706,-0.001085531,-0.029015657,-0.078193300,-0.064644684,0.081610338,-0.025920090,-0.017690457
ccro_nubs_candidate,0.160000,0.869660691,-0.429463995,1.023592814,-0.117323991,1.570639449,0.869748040,-0.003137772,-0.008498597,-0.007026885,0.008864153,-0.002825420,-0.001901422,-0.037149869,-0.098585861,-0.081474074,0.103097851,-0.032392666,-0.023061390
ccro_nubs_candidate,0.200000,0.869503437,-0.429887707,1.023242519,-0.116881760,1.570498996,0.869652153,-0.004774285,-0.012805087,-0.010585175,0.013372618,-0.004233548,-0.002927067,-0.044556588,-0.116300173,-0.096075681,0.121882692,-0.037847411,-0.028179134
ccro_nubs_candidate,0.240000,0.869274986,-0.430497155,1.022738790,-0.116244865,1.570298119,0.869511212,-0.006692930,-0.017768162,-0.014684289,0.018579976,-0.005840169,-0.004152455,-0.051260618,-0.131430850,-0.108528487,0.138058036,-0.042323864,-0.033049542
ccro_nubs_candidate,0.280000,0.868964609,-0.431316560,1.022061691,-0.115387412,1.570029648,0.869317424,-0.008866096,-0.023286368,-0.019239856,0.024383710,-0.007606941,-0.005567810,-0.057286766,-0.144072505,-0.118911474,0.151717060,-0.045861563,-0.037678465
ccro_nubs_candidate,0.320000,0.868562661,-0.432366162,1.021194600,-0.114287535,1.569687919,0.869063381,-0.011267163,-0.029262037,-0.024170662,0.030685032,-0.009497105,-0.007163590,-0.062659836,-0.154319751,-0.127303625,0.162952939,-0.048500046,-0.042071755
ccro_nubs_candidate,0.360000,0.868060540,-0.433662369,1.020124077,-0.112927244,1.569268704,0.868742055,-0.013870506,-0.035601284,-0.029398655,0.037388879,-0.011475482,-0.008930487,-0.067404634,-0.162267200,-0.133783921,0.171858850,-0.050278850,-0.046235265
ccro_nubs_candidate,0.400000,0.867450652,-0.435217910,1.018839745,-0.111292277,1.568769153,0.868346782,-0.016651488,-0.042214011,-0.034848938,0.044403916,-0.013508477,-0.010859426,-0.071545965,-0.168009466,-0.138431345,0.178527969,-0.051237515,-0.050174847
ccro_nubs_candidate,0.440000,0.866726368,-0.437041984,1.017334156,-0.109371952,1.568187726,0.867871258,-0.019586467,-0.049013901,-0.040449777,0.051642535,-0.015564075,-0.012941567,-0.075108636,-0.171641162,-0.141324879,0.183053471,-0.051415578,-0.053896353
ccro_nubs_candidate,0.480000,0.865881984,-0.439140415,1.015602671,-0.107159014,1.567524132,0.867309529,-0.022652794,-0.055918424,-0.046132596,0.059020854,-0.017611843,-0.015168304,-0.078117451,-0.173256900,-0.142543503,0.185528534,-0.050852576,-0.057405635
