trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
reference_nubs,0.000000,0.869840087,-0.428997904,1.023977657,-0.117828064,1.570788980,0.869847178,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
reference_nubs,0.040000,0.869838616,-0.428997892,1.023977675,-0.117828057,1.570788980,0.869845707,-0.000110076,0.000000893,0.000001373,0.000000483,0.000000001,-0.000110077,-0.005476120,0.000044408,0.000068323,0.000024033,0.000000034,-0.005476169
reference_nubs,0.080000,0.869828405,-0.428997809,1.023977802,-0.117828012,1.570788980,0.869835496,-0.000435888,0.000003535,0.000005438,0.000001913,0.000000003,-0.000435892,-0.010787130,0.000087478,0.000134586,0.000047342,0.000000067,-0.010787228
reference_nubs,0.120000,0.869800956,-0.428997587,1.023978145,-0.117827892,1.570788980,0.869808047,-0.000970867,0.000007873,0.000012113,0.000004261,0.000000006,-0.000970876,-0.015934699,0.000129222,0.000198810,0.000069934,0.000000099,-0.015934844
reference_nubs,0.160000,0.869748033,-0.428997158,1.023978805,-0.117827660,1.570788980,0.869755124,-0.001708507,0.000013855,0.000021316,0.000007498,0.000000011,-0.001708523,-0.020920495,0.000169654,0.000261016,0.000091815,0.000000130,-0.020920684
reference_nubs,0.200000,0.869661659,-0.428996457,1.023979883,-0.117827281,1.570788981,0.869668749,-0.002642372,0.000021428,0.000032968,0.000011597,0.000000016,-0.002642396,-0.025746184,0.000208788,0.000321224,0.000112994,0.000000160,-0.025746418
reference_nubs,0.240000,0.869534112,-0.428995423,1.023981474,-0.117826721,1.570788981,0.869541201,-0.003766089,0.000030541,0.000046988,0.000016528,0.000000023,-0.003766123,-0.030413436,0.000246636,0.000379456,0.000133477,0.000000190,-0.030413712
reference_nubs,0.280000,0.869357925,-0.428993994,1.023983672,-0.117825948,1.570788983,0.869365012,-0.005073356,0.000041142,0.000063298,0.000022266,0.000000032,-0.005073402,-0.034923917,0.000283214,0.000435731,0.000153273,0.000000218,-0.034924234
reference_nubs,0.320000,0.869125879,-0.428992112,1.023986567,-0.117824929,1.570788984,0.869132964,-0.006557935,0.000053181,0.000081821,0.000028781,0.000000041,-0.006557994,-0.039279296,0.000318534,0.000490071,0.000172387,0.000000245,-0.039279652
reference_nubs,0.360000,0.868831008,-0.428989721,1.023990246,-0.117823635,1.570788986,0.868838090,-0.008213654,0.000066608,0.000102478,0.000036048,0.000000051,-0.008213729,-0.043481240,0.000352609,0.000542497,0.000190829,0.000000271,-0.043481635
reference_nubs,0.400000,0.868466587,-0.428986766,1.023994793,-0.117822036,1.570788988,0.868473666,-0.010034410,0.000081374,0.000125195,0.000044039,0.000000063,-0.010034501,-0.047531417,0.000385454,0.000593029,0.000208604,0.000000296,-0.047531848
reference_nubs,0.440000,0.868026135,-0.428983194,1.024000289,-0.117820103,1.570788991,0.868033210,-0.012014166,0.000097428,0.000149896,0.000052727,0.000000075,-0.012014275,-0.051431495,0.000417082,0.000641689,0.000225720,0.000000321,-0.051431962
reference_nubs,0.480000,0.867503413,-0.428978955,1.024006810,-0.117817809,1.570788994,0.867510483,-0.014146951,0.000114724,0.000176506,0.000062088,0.000000088,-0.014147079,-0.055183142,0.000447505,0.000688497,0.000242185,0.000000344,-0.055183642
reference_nubs,0.520000,0.866892417,-0.428974000,1.024014433,-0.117815127,1.570788998,0.866899482,-0.016426861,0.000133213,0.000204951,0.000072094,0.000000102,-0.016427010,-0.058788024,0.000476739,0.000733473,0.000258006,0.000000366,-0.058788558
reference_nubs,0.560000,0.866187380,-0.428968283,1.024023230,-0.117812033,1.570789002,0.866194439,-0.018848058,0.000152848,0.000235159,0.000082720,0.000000117,-0.018848229,-0.062247811,0.000504796,0.000776640,0.000273191,0.000000388,-0.062248376
reference_nubs,0.600000,0.865382766,-0.428961758,1.024033269,-0.117808502,1.570789007,0.865389817,-0.021404773,0.000173581,0.000267058,0.000093940,0.000000133,-0.021404967,-0.065564170,0.000531690,0.000818016,0.000287745,0.000000409,-0.065564765
reference_nubs,0.640000,0.864473268,-0.428954382,1.024044616,-0.117804510,1.570789013,0.864480310,-0.024091302,0.000195367,0.000300577,0.000105731,0.000000150,-0.024091520,-0.068738768,0.000557434,0.000857624,0.000301678,0.000000428,-0.068739392
reference_nubs,0.680000,0.863453806,-0.428946115,1.024057336,-0.117800036,1.570789019,0.863460840,-0.026902007,0.000218161,0.000335645,0.000118066,0.000000168,-0.026902251,-0.071773274,0.000582042,0.000895485,0.000314996,0.000000447,-0.071773925
reference_nubs,0.720000,0.862319526,-0.428936916,1.024071487,-0.117795058,1.570789026,0.862326549,-0.029831318,0.000241916,0.000372193,0.000130922,0.000000186,-0.029831588,-0.074669355,0.000605528,0.000931618,0.000327706,0.000000465,-0.074670032
reference_nubs,0.760000,0.861065793,-0.428926749,1.024087130,-0.117789555,1.570789034,0.861072804,-0.032873732,0.000266588,0.000410152,0.000144275,0.000000205,-0.032874030,-0.077428679,0.000627905,0.000966045,0.000339816,0.000000483,-0.077429381
reference_nubs,0.800000,0.859688192,-0.428915578,1.024104318,-0.117783509,1.570789043,0.859695191,-0.036023811,0.000292134,0.000449454,0.000158100,0.000000225,-0.036024138,-0.080052913,0.000649186,0.000998786,0.000351333,0.000000499,-0.080053639
reference_nubs,0.840000,0.858182524,-0.428903368,1.024123103,-0.117776901,1.570789052,0.858189510,-0.039276186,0.000318509,0.000490032,0.000172374,0.000000245,-0.039276542,-0.082543726,0.000669385,0.001029863,0.000362264,0.000000514,-0.082544475
