trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428997904,1.023973872,-0.117820725,1.570788790,0.869854510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869832593,-0.428993860,1.023973263,-0.117820898,1.570789239,0.869852959,0.000005331,0.000301795,-0.000045340,-0.000012887,0.000033476,-0.000115990,0.000218146,0.014939268,-0.002240885,-0.000633890,0.001652427,-0.005770191
ccro_nubs_candidate,0.080000,0.869832982,-0.428966032,1.023969091,-0.117822077,1.570792315,0.869842200,0.000013650,0.001183231,-0.000177203,-0.000049886,0.000130508,-0.000459282,0.000151163,0.028985245,-0.004326658,-0.001205915,0.003178375,-0.011365354
ccro_nubs_candidate,0.120000,0.869833576,-0.428891945,1.023958016,-0.117825178,1.570800461,0.869813279,0.000013760,0.002608961,-0.000389449,-0.000108558,0.000286104,-0.001022908,-0.000190598,0.042157201,-0.006260612,-0.001717808,0.004581170,-0.016787262
ccro_nubs_candidate,0.160000,0.869833829,-0.428750519,1.023936943,-0.117831019,1.570815920,0.869757521,-0.000005124,0.004544410,-0.000676071,-0.000186532,0.000495404,-0.001799976,-0.000796784,0.054474403,-0.008046039,-0.002171299,0.005864138,-0.022037691
ccro_nubs_candidate,0.200000,0.869832774,-0.428522047,1.023903017,-0.117840327,1.570840746,0.869666526,-0.000053370,0.006955774,-0.001031195,-0.000281507,0.000753681,-0.002783661,-0.001657041,0.065956120,-0.009686232,-0.002568119,0.007030605,-0.027118413
ccro_nubs_candidate,0.240000,0.869829035,-0.428188153,1.023853611,-0.117853737,1.570876806,0.869532164,-0.000140936,0.009810017,-0.001449077,-0.000391249,0.001056343,-0.003967210,-0.002761017,0.076621622,-0.011184483,-0.002909999,0.008083897,-0.032031205
ccro_nubs_candidate,0.280000,0.869820847,-0.427731771,1.023786328,-0.117871795,1.570925786,0.869346574,-0.000277363,0.013074877,-0.001924105,-0.000513597,0.001398928,-0.005343942,-0.004098360,0.086490176,-0.012544084,-0.003198671,0.009027341,-0.036777839
ccro_nubs_candidate,0.320000,0.869806073,-0.427137108,1.023698994,-0.117894965,1.570989195,0.869102161,-0.000471779,0.016718862,-0.002450799,-0.000646457,0.001777110,-0.006907245,-0.005658717,0.095581052,-0.013768328,-0.003435864,0.009864262,-0.041360090
ccro_nubs_candidate,0.360000,0.869782216,-0.426389617,1.023589647,-0.117923625,1.571068373,0.868791594,-0.000732896,0.020711249,-0.003023811,-0.000787803,0.002186693,-0.008650581,-0.007431735,0.103913517,-0.014860506,-0.003623311,0.010597987,-0.045779733
ccro_nubs_candidate,0.400000,0.869746441,-0.425475962,1.023456541,-0.117958076,1.571164495,0.868407800,-0.001069015,0.025022088,-0.003637923,-0.000935681,0.002623617,-0.010567480,-0.009407060,0.111506841,-0.015823912,-0.003762742,0.011231841,-0.050038543
ccro_nubs_candidate,0.440000,0.869695589,-0.424383993,1.023298133,-0.117998541,1.571278575,0.867943966,-0.001488020,0.029622198,-0.004288051,-0.001088205,0.003083953,-0.012651544,-0.011574342,0.118380292,-0.016661837,-0.003855889,0.011769152,-0.054138292
ccro_nubs_candidate,0.480000,0.869626194,-0.423102709,1.023113083,-0.118045170,1.571411473,0.867393532,-0.001997384,0.034483170,-0.004969241,-0.001243558,0.003563907,-0.014896446,-0.013923226,0.124553139,-0.017377575,-0.003904482,0.012213245,-0.058080756
ccro_nubs_candidate,0.520000,0.869534499,-0.421622230,1.022900244,-0.118098040,1.571563900,0.866750190,-0.002604162,0.039577365,-0.005676671,-0.001399993,0.004059814,-0.017295931,-0.016443361,0.130044650,-0.017974417,-0.003910253,0.012567446,-0.061867709
ccro_nubs_candidate,0.560000,0.869416474,-0.419933768,1.022658662,-0.118157161,1.571736423,0.866007879,-0.003314998,0.044877915,-0.006405653,-0.001555831,0.004568148,-0.019843813,-0.019124392,0.134874095,-0.018455655,-0.003874932,0.012835081,-0.065500925
