trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
reference_nubs,0.000000,0.869832516,-0.428997904,1.023973872,-0.117820725,1.570788790,0.869854510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
reference_nubs,0.040000,0.869830988,-0.428997649,1.023974233,-0.117820619,1.570788790,0.869852982,-0.000114318,0.000019101,0.000027047,0.000007950,-0.000000001,-0.000114319,-0.005687185,0.000950241,0.001345548,0.000395509,-0.000000067,-0.005687202
reference_nubs,0.080000,0.869820383,-0.428995877,1.023976742,-0.117819881,1.570788790,0.869842377,-0.000452689,0.000075637,0.000107103,0.000031482,-0.000000005,-0.000452690,-0.011202898,0.001871832,0.002650526,0.000779093,-0.000000132,-0.011202931
reference_nubs,0.120000,0.869791876,-0.428991114,1.023983487,-0.117817899,1.570788790,0.869813870,-0.001008287,0.000168469,0.000238553,0.000070120,-0.000000012,-0.001008290,-0.016548869,0.002765061,0.003915345,0.001150872,-0.000000194,-0.016548918
reference_nubs,0.160000,0.869736914,-0.428981930,1.023996490,-0.117814076,1.570788789,0.869758908,-0.001774358,0.000296468,0.000419800,0.000123396,-0.000000021,-0.001774363,-0.021726832,0.003630219,0.005140414,0.001510968,-0.000000255,-0.021726896
reference_nubs,0.200000,0.869647210,-0.428966942,1.024017713,-0.117807838,1.570788788,0.869669204,-0.002744216,0.000458516,0.000649262,0.000190843,-0.000000032,-0.002744224,-0.026738517,0.004467594,0.006326144,0.001859500,-0.000000314,-0.026738597
reference_nubs,0.240000,0.869514748,-0.428944810,1.024049053,-0.117798626,1.570788786,0.869536741,-0.003911245,0.000653509,0.000925373,0.000272003,-0.000000046,-0.003911257,-0.031585659,0.005277477,0.007472943,0.002196589,-0.000000371,-0.031585753
reference_nubs,0.280000,0.869331769,-0.428914237,1.024092345,-0.117785901,1.570788784,0.869353762,-0.005268898,0.000880352,0.001246584,0.000366420,-0.000000062,-0.005268914,-0.036269987,0.006060156,0.008581222,0.002522355,-0.000000426,-0.036270095
reference_nubs,0.320000,0.869090780,-0.428873972,1.024149361,-0.117769142,1.570788781,0.869112772,-0.006810697,0.001137962,0.001611362,0.000473642,-0.000000080,-0.006810717,-0.040793235,0.006815921,0.009651390,0.002836920,-0.000000479,-0.040793356
reference_nubs,0.360000,0.868784544,-0.428822804,1.024221814,-0.117747845,1.570788778,0.868806535,-0.008530232,0.001425270,0.002018192,0.000593225,-0.000000100,-0.008530258,-0.045157134,0.007545062,0.010683858,0.003140402,-0.000000531,-0.045157269
