trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428997904,1.023973872,-0.117820725,1.570788790,0.869854510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869830983,-0.428995485,1.023972305,-0.117819873,1.570788690,0.869852933,-0.000114729,0.000180635,-0.000116843,0.000063611,-0.000007452,-0.000117965,-0.005711881,0.008950899,-0.005780792,0.003151952,-0.000370471,-0.005867662
ccro_nubs_candidate,0.080000,0.869820330,-0.428978808,1.023961539,-0.117814000,1.570788000,0.869841992,-0.000454988,0.000709666,-0.000457605,0.000249890,-0.000029466,-0.000466980,-0.011276586,0.017421353,-0.011197196,0.006133929,-0.000728075,-0.011552839
ccro_nubs_candidate,0.120000,0.869791655,-0.428934320,1.023932904,-0.117798336,1.570786146,0.869812591,-0.001014902,0.001568058,-0.001007861,0.000552103,-0.000065528,-0.001039785,-0.016694755,0.025420473,-0.016256771,0.008949197,-0.001072871,-0.017057497
ccro_nubs_candidate,0.160000,0.869736287,-0.428849221,1.023878305,-0.117768375,1.570782577,0.869755921,-0.001788623,0.002737141,-0.001753490,0.000963646,-0.000115126,-0.001829199,-0.021967025,0.032957373,-0.020967078,0.011601019,-0.001404914,-0.022383604
ccro_nubs_candidate,0.200000,0.869645792,-0.428711451,1.023790204,-0.117719873,1.570776762,0.869663461,-0.002770328,0.004198607,-0.002680671,0.001478048,-0.000177752,-0.002828119,-0.027094037,0.040041165,-0.025335675,0.014092661,-0.001724263,-0.027533125
ccro_nubs_candidate,0.240000,0.869511965,-0.428509674,1.023661611,-0.117648844,1.570768190,0.869526972,-0.003954218,0.005934514,-0.003775888,0.002088967,-0.000252898,-0.004029521,-0.032076431,0.046680961,-0.029370123,0.016427387,-0.002030976,-0.032508029
ccro_nubs_candidate,0.280000,0.869326836,-0.428233265,1.023486069,-0.117551552,1.570756370,0.869338493,-0.005334522,0.007927285,-0.005025926,0.002790191,-0.000340062,-0.005426459,-0.036914844,0.052885874,-0.033077981,0.018608462,-0.002325109,-0.037310281
ccro_nubs_candidate,0.320000,0.869082661,-0.427872296,1.023257645,-0.117424506,1.570740831,0.869090340,-0.006905494,0.010159707,-0.006417873,0.003575639,-0.000438740,-0.007012067,-0.041609917,0.058665016,-0.036466808,0.020639150,-0.002606721,-0.041941850
ccro_nubs_candidate,0.360000,0.868771930,-0.427417518,1.022970915,-0.117264457,1.570721124,0.868775102,-0.008661413,0.012614931,-0.007939118,0.004439361,-0.000548433,-0.008779558,-0.046162288,0.064027500,-0.039544164,0.022522715,-0.002875868,-0.046404700
ccro_nubs_candidate,0.400000,0.868387358,-0.426860350,1.022620956,-0.117068391,1.570696817,0.868385639,-0.010596583,0.015276473,-0.009577354,0.005375538,-0.000668644,-0.010722220,-0.050572597,0.068982438,-0.042317609,0.024262424,-0.003132609,-0.050700801
ccro_nubs_candidate,0.440000,0.867921889,-0.426192864,1.022203327,-0.116833524,1.570667499,0.867915077,-0.012705335,0.018128214,-0.011320575,0.006378480,-0.000798877,-0.012833425,-0.054841483,0.073538943,-0.044794703,0.025861539,-0.003377000,-0.054832118
ccro_nubs_candidate,0.480000,0.867368692,-0.425407767,1.021714066,-0.116557296,1.570632779,0.867356806,-0.014982025,0.021154398,-0.013157080,0.007442630,-0.000938640,-0.015106619,-0.058969586,0.077706127,-0.046983004,0.027323326,-0.003609100,-0.058800618
ccro_nubs_candidate,0.520000,0.866721163,-0.424498392,1.021149669,-0.116237370,1.570592287,0.866704474,-0.017421033,0.024339634,-0.015075466,0.008562559,-0.001087442,-0.017535329,-0.062957545,0.081493102,-0.048890073,0.028651050,-0.003828964,-0.062608269
ccro_nubs_candidate,0.560000,0.865972920,-0.423458676,1.020507085,-0.115871619,1.570545670,0.865951991,-0.020016768,0.027668898,-0.017064636,0.009732970,-0.001244795,-0.020113162,-0.066805998,0.084908981,-0.050523468,0.029847975,-0.004036653,-0.066257036
