trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428997904,1.023973872,-0.117820725,1.570788790,0.869854510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869830982,-0.428995484,1.023972305,-0.117819873,1.570788690,0.869852933,-0.000114768,0.000180679,-0.000116865,0.000063632,-0.000007488,-0.000117944,-0.005713808,0.008953093,-0.005781845,0.003152988,-0.000372233,-0.005866609
ccro_nubs_candidate,0.080000,0.869820326,-0.428978803,1.023961536,-0.117813998,1.570787996,0.869841994,-0.000455141,0.000709839,-0.000457688,0.000249972,-0.000029606,-0.000466896,-0.011280333,0.017425573,-0.011199185,0.006135916,-0.000731495,-0.011550790
ccro_nubs_candidate,0.120000,0.869791641,-0.428934305,1.023932897,-0.117798329,1.570786133,0.869812598,-0.001015240,0.001568438,-0.001008040,0.000552281,-0.000065835,-0.001039601,-0.016700215,0.025426556,-0.016259585,0.008952051,-0.001077843,-0.017054508
ccro_nubs_candidate,0.160000,0.869736255,-0.428849185,1.023878288,-0.117768358,1.570782548,0.869755939,-0.001789211,0.002737799,-0.001753796,0.000963955,-0.000115662,-0.001828877,-0.021974098,0.032965159,-0.020970606,0.011604660,-0.001411340,-0.022379730
ccro_nubs_candidate,0.200000,0.869645730,-0.428711382,1.023790172,-0.117719840,1.570776706,0.869663495,-0.002771229,0.004199607,-0.002681131,0.001478517,-0.000178572,-0.002827625,-0.027102621,0.040050499,-0.025339813,0.014097010,-0.001732042,-0.027528421
ccro_nubs_candidate,0.240000,0.869511860,-0.428509557,1.023661557,-0.117648789,1.570768094,0.869527029,-0.003955492,0.005935917,-0.003776524,0.002089623,-0.000254055,-0.004028823,-0.032086426,0.046691692,-0.029374768,0.016432368,-0.002040012,-0.032502547
ccro_nubs_candidate,0.280000,0.869326672,-0.428233083,1.023485986,-0.117551466,1.570756221,0.869338582,-0.005336222,0.007929143,-0.005026757,0.002791057,-0.000341604,-0.005425528,-0.036926153,0.052897857,-0.033083035,0.018614001,-0.002335307,-0.037304073
ccro_nubs_candidate,0.320000,0.869082420,-0.427872029,1.023257524,-0.117424381,1.570740612,0.869090472,-0.006907671,0.010162066,-0.006418912,0.003576737,-0.000440712,-0.007010874,-0.041622446,0.058678108,-0.036472177,0.020645176,-0.002617989,-0.041934967
ccro_nubs_candidate,0.360000,0.868771591,-0.427417147,1.022970749,-0.117264284,1.570720816,0.868775288,-0.008664114,0.012617834,-0.007940377,0.004440709,-0.000550876,-0.008778076,-0.046175943,0.064041564,-0.039549758,0.022529159,-0.002888115,-0.046397193
