trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.428997904,1.023973872,-0.117820725,1.570788790,0.869854510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869830983,-0.428995485,1.023972305,-0.117819873,1.570788691,0.869852933,-0.000114704,0.000180638,-0.000116847,0.000063590,-0.000007435,-0.000117940,-0.005710640,0.008951073,-0.005780969,0.003150927,-0.000369596,-0.005866434
ccro_nubs_candidate,0.080000,0.869820333,-0.428978808,1.023961538,-0.117814003,1.570788002,0.869841995,-0.000454890,0.000709680,-0.000457619,0.000249808,-0.000029397,-0.000466883,-0.011274211,0.017421700,-0.011197533,0.006131929,-0.000726373,-0.011550453
ccro_nubs_candidate,0.120000,0.869791664,-0.428934319,1.023932903,-0.117798343,1.570786152,0.869812599,-0.001014689,0.001568090,-0.001007891,0.000551923,-0.000065374,-0.001039570,-0.016691349,0.025420995,-0.016257251,0.008946271,-0.001070386,-0.017054022
ccro_nubs_candidate,0.160000,0.869736308,-0.428849218,1.023878302,-0.117768392,1.570782592,0.869755941,-0.001788254,0.002737197,-0.001753542,0.000963331,-0.000114858,-0.001828824,-0.021962691,0.032958069,-0.020967684,0.011597216,-0.001401694,-0.022379107
ccro_nubs_candidate,0.200000,0.869645831,-0.428711445,1.023790199,-0.117719906,1.570776790,0.869663501,-0.002769768,0.004198694,-0.002680750,0.001477565,-0.000177341,-0.002827545,-0.027088872,0.040042035,-0.025336392,0.014088028,-0.001720351,-0.027527672
ccro_nubs_candidate,0.240000,0.869512031,-0.428509663,1.023661602,-0.117648900,1.570768238,0.869527039,-0.003953437,0.005934639,-0.003775998,0.002088282,-0.000252318,-0.004028711,-0.032070530,0.046682005,-0.029370935,0.016421972,-0.002026416,-0.032501684
ccro_nubs_candidate,0.280000,0.869326937,-0.428233249,1.023486055,-0.117551640,1.570756445,0.869338597,-0.005333492,0.007927456,-0.005026070,0.002789274,-0.000339287,-0.005425379,-0.036908299,0.052887091,-0.033078873,0.018602310,-0.002319944,-0.037303109
ccro_nubs_candidate,0.320000,0.869082810,-0.427872272,1.023257624,-0.117424636,1.570740941,0.869090493,-0.006904191,0.010159930,-0.006418054,0.003574462,-0.000437748,-0.007010685,-0.041602816,0.058666405,-0.036467766,0.020632307,-0.002600991,-0.041933911
ccro_nubs_candidate,0.360000,0.868772136,-0.427417484,1.022970887,-0.117264639,1.570721278,0.868775318,-0.008659816,0.012615213,-0.007939338,0.004437898,-0.000547201,-0.008777843,-0.046154718,0.064029059,-0.039545175,0.022515227,-0.002869616,-0.046396056
