frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786072307.167892,0,50000,0,,,,0,,,,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
1,1786072307.269772,2249,50000,1,0.224596,upperArm_Link,0,298,0.676615,-0.059736,0.423297,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
2,1786072307.423159,2101,50000,1,0.213639,upperArm_Link,0,264,0.677689,-0.068781,0.410251,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
3,1786072307.555348,2181,50000,1,0.230752,upperArm_Link,0,263,0.679110,-0.060865,0.414031,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
4,1786072307.683938,2314,50000,1,0.232201,upperArm_Link,0,259,0.681293,-0.063073,0.412483,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
5,1786072307.816072,2261,50000,1,0.244005,upperArm_Link,0,261,0.681931,-0.063843,0.413743,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
6,1786072307.947969,2296,50000,1,0.213516,upperArm_Link,0,263,0.673787,-0.061865,0.423684,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
7,1786072308.077632,2294,50000,1,0.212638,upperArm_Link,0,289,0.677134,-0.056760,0.414048,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
8,1786072308.209696,2326,50000,1,0.231287,upperArm_Link,0,254,0.681152,-0.061793,0.409534,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
9,1786072308.338712,2251,50000,1,0.217428,upperArm_Link,0,282,0.678971,-0.060086,0.412623,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
10,1786072308.464744,2347,50000,1,0.218000,upperArm_Link,0,284,0.677086,-0.062146,0.418276,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
11,1786072308.594365,2456,50000,1,0.216064,upperArm_Link,0,273,0.679761,-0.059016,0.414221,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
