trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.429001946,1.023966789,-0.117824398,1.570785101,0.869843578,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869832153,-0.428998995,1.023971104,-0.117825350,1.570784835,0.869842050,-0.000027305,0.000220534,0.000322278,-0.000071096,-0.000019814,-0.000114320,-0.001378644,0.010949632,0.015977629,-0.003522627,-0.000982320,-0.005687267
ccro_nubs_candidate,0.080000,0.869829575,-0.428978586,1.024000876,-0.117831913,1.570783005,0.869831445,-0.000111342,0.000869839,0.001267399,-0.000279257,-0.000077919,-0.000452695,-0.002836077,0.021439419,0.031144429,-0.006853791,-0.001914641,-0.011203056
ccro_nubs_candidate,0.120000,0.869822448,-0.428923935,1.024080372,-0.117849417,1.570778118,0.869802938,-0.000255198,0.001929627,0.002803207,-0.000616892,-0.000172330,-0.001008301,-0.004369024,0.031474625,0.045514263,-0.009996846,-0.002797789,-0.016549097
ccro_nubs_candidate,0.160000,0.869808322,-0.428818984,1.024232587,-0.117882891,1.570768760,0.869747974,-0.000461827,0.003381818,0.004898099,-0.001076542,-0.000301098,-0.001774383,-0.005974213,0.041060515,0.059100997,-0.012955146,-0.003632593,-0.021727123
ccro_nubs_candidate,0.200000,0.869784628,-0.428648396,1.024479260,-0.117937070,1.570753597,0.869658270,-0.000734054,0.005208547,0.007521030,-0.001650885,-0.000462304,-0.002744254,-0.007648370,0.050202354,0.071918494,-0.015732046,-0.004419879,-0.026738867
ccro_nubs_candidate,0.240000,0.869748687,-0.428397542,1.024840903,-0.118016395,1.570731369,0.869525805,-0.001074573,0.007392156,0.010641507,-0.002332731,-0.000654065,-0.003911298,-0.009388221,0.058905405,0.083980619,-0.018330901,-0.005160474,-0.031586061
ccro_nubs_candidate,0.280000,0.869697717,-0.428052497,1.025336815,-0.118125027,1.570700890,0.869342824,-0.001485944,0.009915199,0.014229593,-0.003115027,-0.000874530,-0.005268968,-0.011190492,0.067174935,0.095301236,-0.020755065,-0.005855206,-0.036270436
ccro_nubs_candidate,0.320000,0.869628834,-0.427600030,1.025985113,-0.118266845,1.570661048,0.869101832,-0.001970601,0.012760441,0.018255904,-0.003990852,-0.001121881,-0.006810785,-0.013051910,0.075016207,0.105894210,-0.023007893,-0.006504902,-0.040793725
ccro_nubs_candidate,0.360000,0.869539061,-0.427027593,1.026802746,-0.118445452,1.570610804,0.868795592,-0.002530842,0.015910856,0.022691612,-0.004953419,-0.001394333,-0.008530341,-0.014969202,0.082434487,0.115773406,-0.025092739,-0.007110389,-0.045157661
ccro_nubs_candidate,0.400000,0.869425330,-0.426323317,1.027805523,-0.118664186,1.570549190,0.868417120,-0.003168838,0.019349630,0.027508444,-0.005996076,-0.001690134,-0.010421296,-0.016939093,0.089435039,0.124952687,-0.027012958,-0.007672495,-0.049363975
ccro_nubs_candidate,0.440000,0.869284490,-0.425476000,1.029008133,-0.118926119,1.570475305,0.867959686,-0.003886627,0.023060160,0.032678680,-0.007112305,-0.002007565,-0.012477380,-0.018958310,0.096023127,0.133445918,-0.028771905,-0.008192047,-0.053414400
ccro_nubs_candidate,0.480000,0.869113311,-0.424475099,1.030424167,-0.119234066,1.570388319,0.867416810,-0.004686117,0.027026051,0.038175155,-0.008295723,-0.002344941,-0.014692393,-0.021023579,0.102204017,0.141266964,-0.030372933,-0.008669872,-0.057310668
ccro_nubs_candidate,0.520000,0.868908488,-0.423310726,1.032066141,-0.119590589,1.570287466,0.866782258,-0.005569084,0.031231122,0.043971259,-0.009540079,-0.002700610,-0.017060202,-0.023131628,0.107982974,0.148429688,-0.031819398,-0.009106797,-0.061054510
ccro_nubs_candidate,0.560000,0.868666649,-0.421973634,1.033945515,-0.119998003,1.570172048,0.866050038,-0.006537174,0.035659400,0.050040937,-0.010839259,-0.003072951,-0.019574744,-0.025279181,0.113365261,0.154947956,-0.033114654,-0.009503650,-0.064647660
ccro_nubs_candidate,0.600000,0.868384358,-0.420455209,1.036072723,-0.120458381,1.570041429,0.865214402,-0.007591902,0.040295124,0.056358688,-0.012187280,-0.003460378,-0.022230028,-0.027462967,0.118356144,0.160835632,-0.034262056,-0.009861258,-0.068091849
ccro_nubs_candidate,0.640000,0.868058123,-0.418747465,1.038457185,-0.120973559,1.569895037,0.864269838,-0.008734651,0.045122743,0.062899565,-0.013578296,-0.003861339,-0.025020129,-0.029679710,0.122960887,0.166106580,-0.035264958,-0.010180448,-0.071388810
ccro_nubs_candidate,0.680000,0.867684396,-0.416843035,1.041107338,-0.121545142,1.569732362,0.863211072,-0.009966674,0.050126917,0.069639176,-0.015006595,-0.004274313,-0.027939193,-0.031926137,0.127184755,0.170774664,-0.036126715,-0.010462047,-0.074540275
ccro_nubs_candidate,0.720000,0.867259584,-0.414735160,1.044030651,-0.122174509,1.569552952,0.862033060,-0.011289094,0.055292515,0.076553685,-0.016466596,-0.004697813,-0.030981434,-0.034198975,0.131033013,0.174853749,-0.036850681,-0.010706884,-0.077547976
ccro_nubs_candidate,0.760000,0.866780050,-0.412417681,1.047233654,-0.122862820,1.569356416,0.860730991,-0.012702901,0.060604620,0.083619808,-0.017952857,-0.005130385,-0.034141137,-0.036494951,0.134510926,0.178357700,-0.037440211,-0.010915784,-0.080413645
ccro_nubs_candidate,0.800000,0.866242122,-0.409885033,1.050721954,-0.123611017,1.569142419,0.859300278,-0.014208955,0.066048522,0.090814817,-0.019460066,-0.005570607,-0.037412655,-0.038810790,0.137623757,0.181300380,-0.037898660,-0.011089575,-0.083139014
ccro_nubs_candidate,0.840000,0.865642094,-0.407132235,1.054500262,-0.124419835,1.568910683,0.857736562,-0.015807985,0.071609723,0.098116539,-0.020983047,-0.006017094,-0.040790411,-0.041143218,0.140376773,0.183695655,-0.038229381,-0.011229085,-0.085725816
ccro_nubs_candidate,0.880000,0.864976235,-0.404154882,1.058572411,-0.125289804,1.568660986,0.856035703,-0.017500590,0.077273936,0.105503356,-0.022516758,-0.006468488,-0.044268896,-0.043488963,0.142775237,0.185557388,-0.038435731,-0.011335140,-0.088175783
ccro_nubs_candidate,0.920000,0.864240793,-0.400949134,1.062941384,-0.126221253,1.568393157,0.854193780,-0.019287236,0.083027085,0.112954201,-0.024056291,-0.006923470,-0.047842672,-0.045844751,0.144824414,0.186899445,-0.038521062,-0.011408569,-0.090490647
ccro_nubs_candidate,0.960000,0.863431998,-0.397511714,1.067609327,-0.127214321,1.568107078,0.852207090,-0.021168260,0.088855302,0.120448567,-0.025596874,-0.007380750,-0.051506370,-0.048207308,0.146529569,0.187735688,-0.038488730,-0.011450197,-0.092672140
ccro_nubs_candidate,1.000000,0.862546071,-0.393839892,1.072577583,-0.128268955,1.567802683,0.850072142,-0.023143867,0.094744933,0.127966497,-0.027133866,-0.007839073,-0.055254688,-0.050573360,0.147895967,0.188079984,-0.038342090,-0.011460854,-0.094721994
ccro_nubs_candidate,1.040000,0.861579226,-0.389931480,1.077846703,-0.129384922,1.567479954,0.847785656,-0.025214132,0.100682533,0.135488591,-0.028662762,-0.008297216,-0.059082397,-0.052939634,0.148928873,0.187946196,-0.038084495,-0.011441365,-0.096641942
ccro_nubs_candidate,1.080000,0.860527679,-0.385784826,1.083416474,-0.130561810,1.567138924,0.845344561,-0.027378997,0.106654867,0.142996003,-0.030179191,-0.008753991,-0.062984335,-0.055302856,0.149633550,0.187348189,-0.037719301,-0.011392558,-0.098433716
