trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
reference_nubs,0.000000,0.869832898,-0.429002052,1.023959398,-0.117828160,1.570785190,0.869843580,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
reference_nubs,0.040000,0.869831370,-0.429001797,1.023959760,-0.117828054,1.570785190,0.869842052,-0.000114318,0.000019101,0.000027048,0.000007951,-0.000000001,-0.000114317,-0.005687187,0.000950260,0.001345615,0.000395543,-0.000000050,-0.005687152
reference_nubs,0.080000,0.869820766,-0.429000025,1.023962269,-0.117827316,1.570785190,0.869831448,-0.000452689,0.000075639,0.000107108,0.000031484,-0.000000004,-0.000452686,-0.011202901,0.001871869,0.002650658,0.000779161,-0.000000099,-0.011202831
reference_nubs,0.120000,0.869792259,-0.428995262,1.023969014,-0.117825334,1.570785190,0.869802941,-0.001008287,0.000168473,0.000238565,0.000070126,-0.000000009,-0.001008281,-0.016548874,0.002765117,0.003915539,0.001150972,-0.000000146,-0.016548771
reference_nubs,0.160000,0.869737296,-0.428986078,1.023982018,-0.117821511,1.570785189,0.869747979,-0.001774358,0.000296474,0.000419821,0.000123406,-0.000000016,-0.001774347,-0.021726838,0.003630292,0.005140670,0.001511099,-0.000000192,-0.021726703
reference_nubs,0.200000,0.869647593,-0.428971090,1.024003242,-0.117815272,1.570785188,0.869658276,-0.002744217,0.000458526,0.000649294,0.000190860,-0.000000024,-0.002744200,-0.026738526,0.004467684,0.006326458,0.001859662,-0.000000236,-0.026738360
reference_nubs,0.240000,0.869515130,-0.428948957,1.024034584,-0.117806059,1.570785187,0.869525814,-0.003911247,0.000653522,0.000925419,0.000272027,-0.000000035,-0.003911222,-0.031585668,0.005277583,0.007473314,0.002196780,-0.000000279,-0.031585472
reference_nubs,0.280000,0.869332152,-0.428918383,1.024077877,-0.117793333,1.570785186,0.869342837,-0.005268900,0.000880369,0.001246646,0.000366451,-0.000000047,-0.005268867,-0.036269998,0.006060278,0.008581648,0.002522574,-0.000000320,-0.036269773
reference_nubs,0.320000,0.869091163,-0.428878117,1.024134896,-0.117776573,1.570785183,0.869101849,-0.006810699,0.001137985,0.001611443,0.000473683,-0.000000060,-0.006810656,-0.040793248,0.006816059,0.009651869,0.002837166,-0.000000360,-0.040792994
reference_nubs,0.360000,0.868784926,-0.428826949,1.024207353,-0.117755274,1.570785181,0.868795614,-0.008530235,0.001425299,0.002018293,0.000593277,-0.000000075,-0.008530182,-0.045157148,0.007545214,0.010684388,0.003140675,-0.000000399,-0.045156868
reference_nubs,0.400000,0.868406459,-0.428763711,1.024296900,-0.117728951,1.570785177,0.868417149,-0.010421169,0.001741251,0.002465696,0.000724791,-0.000000092,-0.010421104,-0.049363432,0.008248033,0.011679614,0.003433221,-0.000000436,-0.049363126
reference_nubs,0.440000,0.867949031,-0.428687281,1.024405130,-0.117697137,1.570785173,0.867959724,-0.012477231,0.002084794,0.002952170,0.000867790,-0.000000110,-0.012477154,-0.053413832,0.008924806,0.012637957,0.003714926,-0.000000472,-0.053413500
reference_nubs,0.480000,0.867406161,-0.428596574,1.024533575,-0.117659381,1.570785169,0.867416858,-0.014692220,0.002454892,0.003476247,0.001021842,-0.000000130,-0.014692129,-0.057310079,0.009575821,0.013559827,0.003985910,-0.000000506,-0.057309723
reference_nubs,0.520000,0.866771616,-0.428490549,1.024683712,-0.117615248,1.570785163,0.866782317,-0.017060005,0.002850521,0.004036475,0.001186521,-0.000000151,-0.017059899,-0.061053905,0.010201370,0.014445634,0.004246292,-0.000000539,-0.061053526
