trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832898,-0.429002052,1.023959398,-0.117828160,1.570785190,0.869843580,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869828007,-0.428996532,1.023959760,-0.117828054,1.570785190,0.869842052,-0.000365067,0.000411525,0.000027036,0.000007930,0.000000008,-0.000114320,-0.018071310,0.020329214,0.001345005,0.000394508,0.000000411,-0.005687298
ccro_nubs_candidate,0.080000,0.869794345,-0.428958680,1.023962268,-0.117827319,1.570785191,0.869831447,-0.001431307,0.001606823,0.000107060,0.000031403,0.000000033,-0.000452697,-0.035062770,0.039194839,0.002649500,0.000777158,0.000000797,-0.011203116
ccro_nubs_candidate,0.120000,0.869704723,-0.428858307,1.023969009,-0.117825341,1.570785193,0.869802940,-0.003156025,0.003528097,0.000238461,0.000069946,0.000000072,-0.001008306,-0.050999440,0.056634301,0.003913894,0.001148068,0.000001160,-0.016549185
ccro_nubs_candidate,0.160000,0.869533639,-0.428667504,1.023982008,-0.117821528,1.570785197,0.869747976,-0.005497532,0.006119050,0.000419643,0.000123093,0.000000125,-0.001774392,-0.065906375,0.072685028,0.005138593,0.001507359,0.000001499,-0.021727238
ccro_nubs_candidate,0.200000,0.869257239,-0.428360585,1.024003224,-0.117815305,1.570785203,0.869658271,-0.008415140,0.009324882,0.000649025,0.000190381,0.000000191,-0.002744268,-0.079808633,0.087384445,0.006324007,0.001855147,0.000001815,-0.026739007
ccro_nubs_candidate,0.240000,0.868853276,-0.427914027,1.024034552,-0.117806115,1.570785212,0.869525806,-0.011869161,0.013092287,0.000925045,0.000271353,0.000000270,-0.003911319,-0.092731270,0.100769978,0.007470542,0.002191554,0.000002109,-0.031586224
ccro_nubs_candidate,0.280000,0.868301070,-0.427306406,1.024077828,-0.117793420,1.570785225,0.869342824,-0.015820914,0.017369460,0.001246155,0.000365555,0.000000360,-0.005268995,-0.104699345,0.112879053,0.008578607,0.002516696,0.000002381,-0.036270621
ccro_nubs_candidate,0.320000,0.867581470,-0.426518344,1.024134825,-0.117776700,1.570785241,0.869101831,-0.020232715,0.022106091,0.001610826,0.000472540,0.000000460,-0.006810820,-0.115737914,0.123749096,0.009648610,0.002830694,0.000002631,-0.040793931
ccro_nubs_candidate,0.360000,0.866676809,-0.425532444,1.024207255,-0.117755453,1.570785262,0.868795589,-0.025067887,0.027253367,0.002017542,0.000591864,0.000000570,-0.008530385,-0.125872033,0.133417535,0.010680958,0.003133665,0.000002860,-0.045157886
ccro_nubs_candidate,0.400000,0.865570870,-0.424333231,1.024296769,-0.117729193,1.570785287,0.868417115,-0.030290753,0.032763972,0.002464806,0.000723088,0.000000689,-0.010421350,-0.135126762,0.141921794,0.011676059,0.003425730,0.000003068,-0.049364218
ccro_nubs_candidate,0.440000,0.864248842,-0.422907094,1.024404960,-0.117697453,1.570785317,0.867959679,-0.035866637,0.038592087,0.002951136,0.000865778,0.000000815,-0.012477444,-0.143527155,0.149299300,0.012634322,0.003707007,0.000003257,-0.053414659
ccro_nubs_candidate,0.480000,0.862697281,-0.421242223,1.024533361,-0.117659783,1.570785352,0.867416800,-0.041761868,0.044693391,0.003475066,0.001019506,0.000000949,-0.014692467,-0.151098271,0.155587479,0.013556154,0.003977614,0.000003425,-0.057310941
ccro_nubs_candidate,0.520000,0.860904071,-0.419328552,1.024683448,-0.117615751,1.570785393,0.866782244,-0.047943776,0.051025060,0.004035148,0.001183847,0.000001089,-0.017060287,-0.157865166,0.160823758,0.014441962,0.004237671,0.000003575,-0.061054798
ccro_nubs_candidate,0.560000,0.858858380,-0.417157698,1.024856636,-0.117564939,1.570785439,0.866050021,-0.054380693,0.057545765,0.004629948,0.001358381,0.000001235,-0.019574842,-0.163852899,0.165045562,0.015292156,0.004487296,0.000003706,-0.064647960
ccro_nubs_candidate,0.600000,0.856550624,-0.414722902,1.025054287,-0.117506950,1.570785492,0.865214381,-0.061041953,0.064215678,0.005258051,0.001542693,0.000001385,-0.022230138,-0.169086525,0.168290318,0.016107142,0.004726609,0.000003818,-0.068092160
ccro_nubs_candidate,0.640000,0.853972428,-0.412018966,1.025277706,-0.117441399,1.570785550,0.864269812,-0.067897894,0.070996463,0.005918055,0.001736374,0.000001540,-0.025020251,-0.173591102,0.170595451,0.016887329,0.004955729,0.000003913,-0.071389131
ccro_nubs_candidate,0.680000,0.851116580,-0.409042198,1.025528139,-0.117367920,1.570785615,0.863211041,-0.074919855,0.077851284,0.006608578,0.001939017,0.000001698,-0.027939328,-0.177391687,0.171998389,0.017633125,0.005174773,0.000003990,-0.074540605
ccro_nubs_candidate,0.720000,0.847976995,-0.405790348,1.025806781,-0.117286164,1.570785686,0.862033024,-0.082080176,0.084744803,0.007328252,0.002150223,0.000001859,-0.030981583,-0.180513337,0.172536556,0.018344937,0.005383862,0.000004051,-0.077548313
