trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.869832516,-0.429005235,1.023951910,-0.117831729,1.570777705,0.869850874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,0.869830195,-0.429035980,1.023912881,-0.117809250,1.570756585,0.869849254,-0.000174359,-0.002287939,-0.002904724,0.001672155,-0.001573040,-0.000121191,-0.008749793,-0.112611117,-0.142997962,0.082233310,-0.077560433,-0.006027412
ccro_nubs_candidate,0.080000,0.869813851,-0.429245496,1.023646819,-0.117656280,1.570612229,0.869838015,-0.000702360,-0.008868212,-0.011263504,0.006470458,-0.006118737,-0.000479635,-0.017677822,-0.214671432,-0.272770952,0.156351104,-0.148663569,-0.011863010
ccro_nubs_candidate,0.120000,0.869769202,-0.429797123,1.022946032,-0.117254195,1.570230849,0.869807821,-0.001590623,-0.019325356,-0.024555516,0.014075530,-0.013382486,-0.001067703,-0.026758685,-0.306509416,-0.389727682,0.222615453,-0.213493698,-0.017508955
ccro_nubs_candidate,0.160000,0.869681723,-0.430837846,1.021623335,-0.116496937,1.569508690,0.869749638,-0.002844754,-0.033257047,-0.042276285,0.024178476,-0.023117050,-0.001877852,-0.035966979,-0.388453538,-0.494276860,0.281288429,-0.272235110,-0.022967411
ccro_nubs_candidate,0.200000,0.869536682,-0.432498819,1.019511394,-0.115290595,1.568351742,0.869654732,-0.004469342,-0.050274100,-0.063937681,0.036480881,-0.035082569,-0.002902625,-0.045277303,-0.460832268,-0.586827197,0.332632104,-0.325072093,-0.028240541
ccro_nubs_candidate,0.240000,0.869319188,-0.434895892,1.016462076,-0.113552984,1.566675441,0.869514665,-0.006467960,-0.070000470,-0.089067925,0.050694815,-0.049046549,-0.004134653,-0.054664255,-0.523974076,-0.667787402,0.376908550,-0.372188939,-0.033330508
ccro_nubs_candidate,0.280000,0.869014224,-0.438130136,1.012345789,-0.111213227,1.564404377,0.869321293,-0.008843165,-0.092073247,-0.117211587,0.066542829,-0.064783872,-0.005566652,-0.064102432,-0.578207431,-0.737566187,0.414379838,-0.413769936,-0.038239475
ccro_nubs_candidate,0.320000,0.868606693,-0.442288368,1.007050832,-0.108211334,1.561471994,0.869066762,-0.011596499,-0.116142664,-0.147929584,0.083757960,-0.082076790,-0.007191427,-0.073566432,-0.623860805,-0.796572261,0.445308041,-0.449999375,-0.042969606
ccro_nubs_candidate,0.360000,0.868081455,-0.447443677,1.000482741,-0.104497786,1.557820300,0.868743503,-0.014728485,-0.141872091,-0.180799181,0.102083726,-0.100714925,-0.009001865,-0.083030853,-0.661262665,-0.845214334,0.469955229,-0.481061545,-0.047523062
ccro_nubs_candidate,0.400000,0.867423371,-0.453655950,0.992563635,-0.100033112,1.553399573,0.868344231,-0.018238634,-0.168938037,-0.215413994,0.121274126,-0.120495274,-0.010990945,-0.092470293,-0.690741483,-0.883901116,0.488583476,-0.507140736,-0.051902008
ccro_nubs_candidate,0.440000,0.866617342,-0.460972396,0.983231560,-0.094787472,1.548168061,0.867861939,-0.022125437,-0.197030149,-0.251383983,0.141093646,-0.141222202,-0.013151728,-0.101859351,-0.712625729,-0.913041318,0.501454853,-0.528421237,-0.056108606
ccro_nubs_candidate,0.480000,0.865648347,-0.469428075,0.972439837,-0.088740237,1.542091689,0.867289895,-0.026386371,-0.225851214,-0.288335461,0.161317250,-0.162707448,-0.015477364,-0.111172623,-0.727243871,-0.933043648,0.508831431,-0.545087339,-0.060145020
ccro_nubs_candidate,0.520000,0.864501490,-0.479046419,0.960156408,-0.081879570,1.535143769,0.866621642,-0.031017898,-0.255117157,-0.325911086,0.181730390,-0.184770121,-0.017961089,-0.120384708,-0.734924380,-0.944316818,0.510975283,-0.557323331,-0.064013412
ccro_nubs_candidate,0.560000,0.863162035,-0.489839761,0.946363182,-0.074202005,1.527304698,0.865850989,-0.036015460,-0.284557042,-0.363769867,0.202128998,-0.207236703,-0.020596226,-0.129470204,-0.735995726,-0.947269538,0.508148480,-0.565313504,-0.067715945
ccro_nubs_candidate,0.600000,0.861615447,-0.501809859,0.931055380,-0.065712030,1.518561666,0.864972013,-0.041373487,-0.313913072,-0.401587159,0.222319488,-0.229941047,-0.023376182,-0.138403708,-0.730786379,-0.942310517,0.500613094,-0.569242145,-0.071254784
ccro_nubs_candidate,0.640000,0.859847437,-0.514948421,0.914240881,-0.056421667,1.508908364,0.863979050,-0.047085392,-0.342940589,-0.439054668,0.242118758,-0.252724378,-0.026294455,-0.147159819,-0.719624807,-0.929848465,0.488631197,-0.569293547,-0.074632089
ccro_nubs_candidate,0.680000,0.857843998,-0.529237633,0.895939570,-0.046350051,1.498344685,0.862866698,-0.053143569,-0.371408074,-0.475880445,0.261354191,-0.275435292,-0.029344624,-0.155713135,-0.702839483,-0.910292093,0.472464861,-0.565651997,-0.077850026
ccro_nubs_candidate,0.720000,0.855591449,-0.544650682,0.876182683,-0.035523016,1.486876430,0.861629806,-0.059539400,-0.399097144,-0.511788894,0.279863649,-0.297929756,-0.032520361,-0.164038252,-0.680758874,-0.884050111,0.452376158,-0.558501786,-0.080910756
ccro_nubs_candidate,0.760000,0.853076472,-0.561152283,0.855012153,-0.023972666,1.474515016,0.860263478,-0.066263248,-0.425802559,-0.546520762,0.297495480,-0.320071110,-0.035815418,-0.172109770,-0.653711451,-0.851531228,0.428627159,-0.548027204,-0.083816443
ccro_nubs_candidate,0.800000,0.850286157,-0.578699204,0.832479956,-0.011736966,1.461277176,0.858763064,-0.073304461,-0.451332216,-0.579833149,0.314108512,-0.341730064,-0.039223638,-0.179902286,-0.622025684,-0.813144156,0.401479937,-0.534412541,-0.086569250
ccro_nubs_candidate,0.840000,0.847208039,-0.597240792,0.808647456,0.001140684,1.447184671,0.857124159,-0.080651372,-0.475507149,-0.611499502,0.329572059,-0.362784702,-0.042738948,-0.187390398,-0.586030043,-0.769297603,0.371196563,-0.517842085,-0.089171339
ccro_nubs_candidate,0.880000,0.843830140,-0.616719496,0.783584753,0.014611865,1.432263988,0.855342600,-0.088291296,-0.498161534,-0.641309614,0.343765916,-0.383120478,-0.046355364,-0.194548704,-0.546052997,-0.720400280,0.338039108,-0.498500127,-0.091624875
ccro_nubs_candidate,0.920000,0.840141010,-0.637071399,0.757370029,0.028623560,1.416546050,0.853414461,-0.096210532,-0.519142683,-0.669069630,0.356580361,-0.402630216,-0.050066986,-0.201351802,-0.502423016,-0.666860897,0.302269646,-0.476570957,-0.093932020
ccro_nubs_candidate,0.960000,0.836129769,-0.658226735,0.730088891,0.043118574,1.400065919,0.851336049,-0.104394365,-0.538311049,-0.694602041,0.367916155,-0.421214115,-0.053868003,-0.207774289,-0.455468571,-0.609088164,0.264150247,-0.452238865,-0.096094936
ccro_nubs_candidate,1.000000,0.831786143,-0.680110421,0.701833723,0.058035949,1.382862501,0.849103905,-0.112827062,-0.555540222,-0.717745688,0.377684543,-0.438779744,-0.057752687,-0.213790764,-0.405518131,-0.547490791,0.223942983,-0.425688139,-0.098115788
ccro_nubs_candidate,1.040000,0.827100509,-0.702642580,0.672703024,0.073311390,1.364978254,0.846714794,-0.121491874,-0.570716932,-0.738355759,0.385807250,-0.455242042,-0.061715400,-0.219375825,-0.352900166,-0.482477489,0.181909927,-0.397103070,-0.099996738
ccro_nubs_candidate,1.080000,0.822063934,-0.725739068,0.642800763,0.088877678,1.346458888,0.844165706,-0.130371037,-0.583741048,-0.756303791,0.392216487,-0.470523322,-0.065750589,-0.224504069,-0.297943145,-0.414456967,0.138313150,-0.366667948,-0.101739950
ccro_nubs_candidate,1.120000,0.816668218,-0.749311997,0.612235717,0.104665094,1.327353076,0.841453853,-0.139445770,-0.594525576,-0.771477669,0.396854947,-0.484553268,-0.069852788,-0.229150095,-0.240975539,-0.343837935,0.093414724,-0.334567063,-0.103347585
ccro_nubs_candidate,1.160000,0.810905929,-0.773270263,0.581120822,0.120601835,1.307712154,0.838576662,-0.148696276,-0.602996663,-0.783781628,0.399675804,-0.497268934,-0.074016617,-0.233288499,-0.182325818,-0.271029103,0.047476721,-0.300984703,-0.104821808
ccro_nubs_candidate,1.200000,0.804770449,-0.797520069,0.549572519,0.136614435,1.287589829,0.835531773,-0.158101743,-0.609093593,-0.793136250,0.400642718,-0.508614748,-0.078236783,-0.236893881,-0.122322451,-0.196439182,0.000761212,-0.266105159,-0.106164781
ccro_nubs_candidate,1.240000,0.798256014,-0.821965455,0.517710095,0.152628184,1.267041884,0.832317037,-0.167640341,-0.612768790,-0.799478464,0.399729829,-0.518542508,-0.082508079,-0.239940838,-0.061293908,-0.120476881,-0.046469730,-0.230112721,-0.107378668
ccro_nubs_candidate,1.280000,0.791357751,-0.846508817,0.485655037,0.168567547,1.246125883,0.828930513,-0.177289226,-0.613987816,-0.802761551,0.396921761,-0.527011384,-0.086825384,-0.242403968,0.000431341,-0.043550911,-0.093954034,-0.193191678,-0.108465632
ccro_nubs_candidate,1.320000,0.784071723,-0.871051441,0.453530372,0.184356586,1.224900875,0.825370460,-0.187024535,-0.612729373,-0.802955138,0.392213622,-0.533987918,-0.091183666,-0.244257869,0.062524826,0.033930019,-0.141429628,-0.155526320,-0.109427835
ccro_nubs_candidate,1.360000,0.776394967,-0.895494020,0.421460014,0.199919373,1.203427099,0.821635339,-0.196821393,-0.608985300,-0.800045200,0.385611001,-0.539446023,-0.095577976,-0.245477138,0.124658078,0.111557198,-0.188634440,-0.117300937,-0.110267440
ccro_nubs_candidate,1.400000,0.768325535,-0.919737184,0.389568112,0.215180415,1.181765691,0.817723807,-0.206653906,-0.602760576,-0.794034061,0.377129972,-0.543366983,-0.100003455,-0.246036374,0.186502626,0.188921916,-0.235306398,-0.078699818,-0.110986611
ccro_nubs_candidate,1.440000,0.759862537,-0.943682026,0.357978396,0.230065074,1.159978390,0.813634711,-0.216495164,-0.594073319,-0.784940395,0.366797088,-0.545739456,-0.104455328,-0.245910175,0.247730000,0.265615463,-0.281183431,-0.039907254,-0.111587512
ccro_nubs_candidate,1.480000,0.751006178,-0.967230626,0.326813521,0.244499980,1.138127238,0.809367091,-0.226317242,-0.582954785,-0.772799223,0.354649390,-0.546559468,-0.108928908,-0.245073138,0.308011732,0.341229130,-0.326003466,-0.001107534,-0.112072303
ccro_nubs_candidate,1.520000,0.741757799,-0.990286578,0.296194414,0.258413457,1.116274290,0.804920170,-0.236091199,-0.569449368,-0.757661913,0.340734399,-0.545830420,-0.113419593,-0.243499862,0.367019350,0.415354205,-0.369504432,0.037515053,-0.112443150
ccro_nubs_candidate,1.560000,0.732119922,-1.012755512,0.266239621,0.271735937,1.094481318,0.800293356,-0.245787076,-0.553614604,-0.739596184,0.325110118,-0.543563083,-0.117922870,-0.241164943,0.424424385,0.487581980,-0.411424257,0.075776216,-0.112702215
ccro_nubs_candidate,1.600000,0.722096287,-1.034545625,0.237064652,0.284400384,1.072809515,0.795486232,-0.255373900,-0.535521165,-0.718686101,0.307845034,-0.539775599,-0.122434309,-0.238042981,0.479898367,0.557503744,-0.451500869,0.113491665,-0.112851660
ccro_nubs_candidate,1.640000,0.711691890,-1.055568201,0.208781326,0.296342711,1.051319202,0.790498560,-0.264819682,-0.515252862,-0.695032080,0.289018119,-0.534493483,-0.126949570,-0.234108573,0.533112827,0.624710786,-0.489472196,0.150477112,-0.112893650
ccro_nubs_candidate,1.680000,0.700913032,-1.075738142,0.181497122,0.307502197,1.030069530,0.785330272,-0.274091415,-0.492906645,-0.668750884,0.268718823,-0.527749621,-0.131464397,-0.229336317,0.583739294,0.688794397,-0.525076167,0.186548266,-0.112830347
