trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
reference_nubs,0.000000,0.869832516,-0.429001570,1.023959209,-0.117828064,1.570781512,0.869850967,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000
reference_nubs,0.040000,0.869830988,-0.429001314,1.023959570,-0.117827957,1.570781512,0.869849439,-0.000114318,0.000019101,0.000027048,0.000007951,-0.000000001,-0.000114318,-0.005687185,0.000950258,0.001345615,0.000395543,-0.000000033,-0.005687186
reference_nubs,0.080000,0.869820383,-0.428999543,1.023962079,-0.117827220,1.570781512,0.869838834,-0.000452689,0.000075639,0.000107108,0.000031484,-0.000000003,-0.000452689,-0.011202898,0.001871865,0.002650659,0.000779160,-0.000000065,-0.011202899
reference_nubs,0.120000,0.869791876,-0.428994779,1.023968824,-0.117825237,1.570781512,0.869810328,-0.001008287,0.000168472,0.000238565,0.000070126,-0.000000006,-0.001008287,-0.016548869,0.002765110,0.003915542,0.001150971,-0.000000097,-0.016548871
reference_nubs,0.160000,0.869736914,-0.428985596,1.023981829,-0.117821415,1.570781512,0.869755365,-0.001774358,0.000296473,0.000419822,0.000123406,-0.000000010,-0.001774358,-0.021726832,0.003630284,0.005140673,0.001511098,-0.000000127,-0.021726834
reference_nubs,0.200000,0.869647210,-0.428970608,1.024003053,-0.117815176,1.570781511,0.869665662,-0.002744216,0.000458524,0.000649295,0.000190860,-0.000000016,-0.002744217,-0.026738517,0.004467674,0.006326462,0.001859659,-0.000000156,-0.026738520
reference_nubs,0.240000,0.869514748,-0.428948475,1.024034394,-0.117805963,1.570781510,0.869533199,-0.003911245,0.000653520,0.000925419,0.000272026,-0.000000023,-0.003911246,-0.031585659,0.005277571,0.007473319,0.002196777,-0.000000185,-0.031585662
reference_nubs,0.280000,0.869331769,-0.428917901,1.024077688,-0.117793237,1.570781509,0.869350221,-0.005268898,0.000880367,0.001246647,0.000366451,-0.000000031,-0.005268899,-0.036269987,0.006060264,0.008581653,0.002522572,-0.000000212,-0.036269991
reference_nubs,0.320000,0.869090780,-0.428877635,1.024134707,-0.117776476,1.570781508,0.869109232,-0.006810697,0.001137983,0.001611444,0.000473683,-0.000000040,-0.006810697,-0.040793235,0.006816043,0.009651876,0.002837163,-0.000000238,-0.040793239
reference_nubs,0.360000,0.868784544,-0.428826467,1.024207164,-0.117755177,1.570781506,0.868802995,-0.008530232,0.001425296,0.002018294,0.000593276,-0.000000050,-0.008530233,-0.045157134,0.007545196,0.010684395,0.003140671,-0.000000264,-0.045157139
reference_nubs,0.400000,0.868406077,-0.428763229,1.024296711,-0.117728855,1.570781504,0.868424528,-0.010421166,0.001741247,0.002465698,0.000724790,-0.000000061,-0.010421167,-0.049363417,0.008248014,0.011679622,0.003433217,-0.000000288,-0.049363422
reference_nubs,0.440000,0.867948649,-0.428686799,1.024404941,-0.117697041,1.570781501,0.867967100,-0.012477227,0.002084790,0.002952172,0.000867789,-0.000000073,-0.012477228,-0.053413815,0.008924785,0.012637966,0.003714922,-0.000000312,-0.053413820
reference_nubs,0.480000,0.867405779,-0.428596092,1.024533386,-0.117659285,1.570781498,0.867424231,-0.014692216,0.002454887,0.003476249,0.001021841,-0.000000086,-0.014692217,-0.057310061,0.009575799,0.013559836,0.003985905,-0.000000335,-0.057310067
reference_nubs,0.520000,0.866771234,-0.428490068,1.024683523,-0.117615152,1.570781494,0.866789685,-0.017060000,0.002850514,0.004036478,0.001186520,-0.000000100,-0.017060001,-0.061053886,0.010201346,0.014445643,0.004246288,-0.000000357,-0.061053893
reference_nubs,0.560000,0.866039023,-0.428367724,1.024856767,-0.117564227,1.570781490,0.866057474,-0.019574517,0.003270659,0.004631425,0.001361404,-0.000000114,-0.019574519,-0.064647024,0.010801714,0.015295797,0.004496190,-0.000000378,-0.064647030
reference_nubs,0.600000,0.865203396,-0.428228101,1.025054481,-0.117506109,1.570781485,0.865221847,-0.022229776,0.003714319,0.005259672,0.001546077,-0.000000130,-0.022229778,-0.068091204,0.011377194,0.016110706,0.004735732,-0.000000398,-0.068091211
