trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
ccro_nubs_candidate,0.000000,0.000000000,-0.600000000,1.400000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
ccro_nubs_candidate,0.040000,-0.000029691,-0.599998031,1.399995466,0.000000973,0.999999132,-0.000000868,-0.002209919,0.000146916,-0.000337945,0.000072810,-0.000064974,-0.000064970,-0.108810027,0.007268378,-0.016687047,0.003622919,-0.003232370,-0.003232195
ccro_nubs_candidate,0.080000,-0.000232151,-0.599984493,1.399964398,0.000007729,0.999993104,-0.000006895,-0.008572064,0.000575359,-0.001318393,0.000288433,-0.000257290,-0.000257276,-0.207664679,0.014078396,-0.032131312,0.007140819,-0.006367274,-0.006366937
ccro_nubs_candidate,0.120000,-0.000765589,-0.599948490,1.399882081,0.000025896,0.999976902,-0.000023097,-0.018694628,0.001267244,-0.002892372,0.000642688,-0.000573069,-0.000573039,-0.296884399,0.020442586,-0.046369741,0.010554623,-0.009405696,-0.009405211
ccro_nubs_candidate,0.160000,-0.001772801,-0.599879836,1.399725729,0.000060937,0.999945664,-0.000054333,-0.032198623,0.002204988,-0.005012387,0.001131427,-0.001008472,-0.001008420,-0.376789631,0.026373481,-0.059439276,0.013865250,-0.012348621,-0.012348000
ccro_nubs_candidate,0.200000,-0.003381677,-0.599769040,1.399474424,0.000118149,0.999894680,-0.000105314,-0.048717878,0.003371512,-0.007632422,0.001750544,-0.001559699,-0.001559619,-0.447700820,0.031883612,-0.071376864,0.017073623,-0.015197034,-0.015196289
ccro_nubs_candidate,0.240000,-0.005705718,-0.599607286,1.399109063,0.000202665,0.999819394,-0.000180597,-0.067899040,0.004750234,-0.010707936,0.002495966,-0.002222988,-0.002222876,-0.509938409,0.036985512,-0.082219449,0.020180664,-0.017951919,-0.017951062
ccro_nubs_candidate,0.280000,-0.008844546,-0.599386407,1.398612291,0.000319456,0.999715396,-0.000284589,-0.089401575,0.006325077,-0.014195870,0.003363658,-0.002994619,-0.002994470,-0.563822842,0.041691712,-0.092003974,0.023187293,-0.020614262,-0.020613305
ccro_nubs_candidate,0.320000,-0.012884420,-0.599098873,1.397968449,0.000473334,0.999578429,-0.000421550,-0.112897765,0.008080462,-0.018054639,0.004349623,-0.003870908,-0.003870720,-0.609674564,0.046014746,-0.100767384,0.026094432,-0.023185047,-0.023184000
ccro_nubs_candidate,0.360000,-0.017898745,-0.598737764,1.397163511,0.000668950,0.999404377,-0.000595593,-0.138072710,0.010001315,-0.022244139,0.005449899,-0.004848215,-0.004847983,-0.647814018,0.049967145,-0.108546625,0.028903003,-0.025665259,-0.025664133
ccro_nubs_candidate,0.400000,-0.023948587,-0.598296756,1.396185024,0.000910798,0.999189273,-0.000810687,-0.164624329,0.012073059,-0.026725740,0.006660561,-0.005922934,-0.005922656,-0.678561649,0.053561442,-0.115378639,0.031613927,-0.028055882,-0.028054687
ccro_nubs_candidate,0.440000,-0.031083184,-0.597770095,1.395022053,0.001203215,0.998929291,-0.001070657,-0.192263357,0.014281623,-0.031462293,0.007977723,-0.007091504,-0.007091177,-0.702237901,0.056810168,-0.121300373,0.034228125,-0.030357902,-0.030356648
ccro_nubs_candidate,0.480000,-0.039340463,-0.597152583,1.393665118,0.001550385,0.998620748,-0.001379186,-0.220713348,0.016613432,-0.036418125,0.009397534,-0.008350398,-0.008350020,-0.719163217,0.059725857,-0.126348769,0.036746519,-0.032572302,-0.032571000
ccro_nubs_candidate,0.520000,-0.048747544,-0.596439552,1.392106136,0.001956336,0.998260101,-0.001739817,-0.249710674,0.019055418,-0.041559042,0.010916180,-0.009696133,-0.009695702,-0.729658042,0.062321039,-0.130560773,0.039170031,-0.034700069,-0.034698727
ccro_nubs_candidate,0.560000,-0.059321264,-0.595626848,1.390338363,0.002424946,0.997843946,-0.002155954,-0.279004524,0.021595009,-0.046852328,0.012529884,-0.011125262,-0.011124776,-0.734042819,0.064608248,-0.133973330,0.041499582,-0.036742186,-0.036740812
ccro_nubs_candidate,0.600000,-0.071068681,-0.594710811,1.388356335,0.002959944,0.997369014,-0.002630865,-0.308356905,0.024220138,-0.052266742,0.014234906,-0.012634379,-0.012633838,-0.732637993,0.066600015,-0.136623383,0.043736093,-0.038699639,-0.038698242
ccro_nubs_candidate,0.640000,-0.083987589,-0.593688251,1.386155806,0.003564907,0.996832174,-0.003167683,-0.337542642,0.026919238,-0.057772524,0.016027543,-0.014220117,-0.014219520,-0.725764008,0.068308872,-0.138547877,0.045880486,-0.040573412,-0.040572000
ccro_nubs_candidate,0.680000,-0.098067033,-0.592556433,1.383733693,0.004243267,0.996230427,-0.003769404,-0.366349376,0.029681243,-0.063341391,0.017904129,-0.015879149,-0.015878495,-0.713741308,0.069747353,-0.139783756,0.047933682,-0.042364490,-0.042363070
ccro_nubs_candidate,0.720000,-0.113287820,-0.591313054,1.381088012,0.004998308,0.995560908,-0.004438896,-0.394577569,0.032495588,-0.068946536,0.019861034,-0.017608187,-0.017607476,-0.696890336,0.070927989,-0.140367966,0.049896603,-0.044073857,-0.044072437
ccro_nubs_candidate,0.760000,-0.129623030,-0.589956223,1.378217824,0.005833172,0.994820882,-0.005178892,-0.422040499,0.035352211,-0.074562632,0.021894665,-0.019403982,-0.019403214,-0.675531538,0.071863312,-0.140337450,0.051770170,-0.045702499,-0.045701086
ccro_nubs_candidate,0.800000,-0.147038532,-0.588484441,1.375123174,0.006750857,0.994007742,-0.005992000,-0.448564260,0.038241550,-0.080165828,0.024001468,-0.021263324,-0.021262500,-0.649985356,0.072565854,-0.139729153,0.053555305,-0.047251400,-0.047250000
ccro_nubs_candidate,0.840000,-0.165493495,-0.586896584,1.371805029,0.007754218,0.993119011,-0.006880697,-0.473987768,0.041154543,-0.085733753,0.026177923,-0.023183043,-0.023182164,-0.620572235,0.073048149,-0.138580019,0.055252929,-0.048721545,-0.048720164
ccro_nubs_candidate,0.880000,-0.184940900,-0.585191877,1.368265223,0.008845973,0.992152336,-0.007847336,-0.498162753,0.044082632,-0.091245511,0.028420548,-0.025160010,-0.025159076,-0.587612620,0.073322727,-0.136926993,0.056863964,-0.050113918,-0.050112562
ccro_nubs_candidate,0.920000,-0.205328056,-0.583369879,1.364506397,0.010028699,0.991105488,-0.008894145,-0.520953764,0.047017759,-0.096681686,0.030725898,-0.027191133,-0.027190145,-0.551426953,0.073402121,-0.134807020,0.058389331,-0.051429505,-0.051428180
ccro_nubs_candidate,0.960000,-0.226597108,-0.581430463,1.360531936,0.011304836,0.989976364,-0.010023229,-0.542238168,0.049952366,-0.102024339,0.033090565,-0.029273360,-0.029272320,-0.512335679,0.073298863,-0.132257043,0.059829951,-0.052669290,-0.052668000
ccro_nubs_candidate,1.000000,-0.248685552,-0.579373791,1.356345917,0.012676690,0.988762978,-0.011236572,-0.561906149,0.052879399,-0.107257009,0.035511176,-0.031403679,-0.031402588,-0.470659243,0.073025486,-0.129314007,0.061186747,-0.053834258,-0.053833008
ccro_nubs_candidate,1.040000,-0.271526748,-0.577200300,1.351953042,0.014146431,0.987463468,-0.012536038,-0.579860711,0.055792304,-0.112364711,0.037984399,-0.033579116,-0.033577976,-0.426718088,0.072594522,-0.126014857,0.062460639,-0.054925394,-0.054924187
ccro_nubs_candidate,1.080000,-0.295050435,-0.574910676,1.347358587,0.015716099,0.986076086,-0.013923373,-0.596017672,0.058685027,-0.117333942,0.040506934,-0.035796739,-0.035795552,-0.380832657,0.072018502,-0.122396538,0.063652549,-0.055943682,-0.055942523
ccro_nubs_candidate,1.120000,-0.319183237,-0.572505841,1.342568334,0.017387600,0.984599205,-0.015400206,-0.610305672,0.061552017,-0.122152671,0.043075522,-0.038053653,-0.038052420,-0.333323396,0.071309959,-0.118495993,0.064763398,-0.056890108,-0.056889000
ccro_nubs_candidate,1.160000,-0.343849183,-0.569986926,1.337588521,0.019162712,0.983031308,-0.016968052,-0.622666166,0.064388224,-0.126810351,0.045686938,-0.040347003,-0.040345727,-0.284510749,0.070481426,-0.114350167,0.065794108,-0.057765655,-0.057764602
ccro_nubs_candidate,1.200000,-0.368970215,-0.567355254,1.332425775,0.021043084,0.981370996,-0.018628312,-0.633053426,0.067189099,-0.131297907,0.048337994,-0.042673973,-0.042672656,-0.234715158,0.069545434,-0.109996005,0.066745600,-0.058571309,-0.058570312
ccro_nubs_candidate,1.240000,-0.394466703,-0.564612323,1.327087059,0.023030238,0.979616979,-0.020382276,-0.641434545,0.069950593,-0.135607746,0.051025542,-0.045031789,-0.045030433,-0.184257069,0.068514516,-0.105470450,0.067618797,-0.059308055,-0.059307117
