trajectory,t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
reference,0.000000,0.000000000,-0.600000000,1.400000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
reference,0.040000,0.000001241,-0.599999132,1.399998883,0.000000993,0.999999132,-0.000000868,0.000092815,0.000064970,-0.000083533,0.000074252,-0.000064970,-0.000064970,0.004617422,0.003232195,-0.004155680,0.003693937,-0.003232195,-0.003232195
reference,0.080000,0.000009851,-0.599993105,1.399991134,0.000007880,0.999993105,-0.000006895,0.000367537,0.000257276,-0.000330784,0.000294030,-0.000257276,-0.000257276,0.009095625,0.006366937,-0.008186062,0.007276500,-0.006366937,-0.006366937
reference,0.120000,0.000032995,-0.599976903,1.399970304,0.000026396,0.999976903,-0.000023097,0.000818627,0.000573039,-0.000736765,0.000654902,-0.000573039,-0.000573039,0.013436015,0.009405211,-0.012092414,0.010748812,-0.009405211,-0.009405211
reference,0.160000,0.000077619,-0.599945667,1.399930143,0.000062095,0.999945667,-0.000054333,0.001440600,0.001008420,-0.001296540,0.001152480,-0.001008420,-0.001008420,0.017640000,0.012348000,-0.015876000,0.014112000,-0.012348000,-0.012348000
reference,0.200000,0.000150449,-0.599894686,1.399864596,0.000120359,0.999894686,-0.000105314,0.002228027,0.001559619,-0.002005225,0.001782422,-0.001559619,-0.001559619,0.021708984,0.015196289,-0.019538086,0.017367187,-0.015196289,-0.015196289
reference,0.240000,0.000257996,-0.599819403,1.399767804,0.000206397,0.999819403,-0.000180597,0.003175537,0.002222876,-0.002857984,0.002540430,-0.002222876,-0.002222876,0.025644375,0.017951062,-0.023079937,0.020515500,-0.017951062,-0.017951062
reference,0.280000,0.000406556,-0.599715411,1.399634100,0.000325245,0.999715411,-0.000284589,0.004277815,0.002994470,-0.003850033,0.003422252,-0.002994470,-0.002994470,0.029447578,0.020613304,-0.026502820,0.023558062,-0.020613304,-0.020613304
reference,0.320000,0.000602214,-0.599578450,1.399458007,0.000481772,0.999578450,-0.000421550,0.005529600,0.003870720,-0.004976640,0.004423680,-0.003870720,-0.003870720,0.033120000,0.023184000,-0.029808000,0.026496000,-0.023184000,-0.023184000
reference,0.360000,0.000850848,-0.599404407,1.399234237,0.000680678,0.999404407,-0.000595593,0.006925690,0.004847983,-0.006233121,0.005540552,-0.004847983,-0.004847983,0.036663046,0.025664132,-0.032996742,0.029330437,-0.025664132,-0.025664132
