tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.244762687,upperArm_Link,medium,0.124697445
0.039773,0.245385073,upperArm_Link,medium,0.124697445
0.079545,0.246345148,upperArm_Link,medium,0.124697445
0.119318,0.247725378,upperArm_Link,medium,0.124697445
0.159091,0.249443298,upperArm_Link,medium,0.124697445
0.198864,0.251322066,upperArm_Link,medium,0.124697445
0.238636,0.253183406,upperArm_Link,medium,0.124697445
0.278409,0.254825057,upperArm_Link,medium,0.124697445
0.318182,0.255100063,upperArm_Link,medium,0.124697445
0.357955,0.255435377,upperArm_Link,medium,0.124697445
0.397727,0.255848346,upperArm_Link,medium,0.124697445
0.437500,0.256357178,upperArm_Link,medium,0.124697445
0.477273,0.256968516,upperArm_Link,medium,0.124697445
0.517045,0.257673638,upperArm_Link,medium,0.124697445
0.556818,0.254974218,left_link,medium,0.124697445
0.596591,0.249716694,left_link,medium,0.124697445
0.636364,0.244736598,left_link,medium,0.124697445
0.676136,0.239859276,left_link,medium,0.124697445
0.715909,0.234790114,left_link,medium,0.124697445
0.755682,0.229249950,left_link,medium,0.124697445
0.795455,0.223114378,left_link,medium,0.124697445
0.835227,0.216552165,left_link,medium,0.124697445
0.875000,0.210081862,left_link,medium,0.124697445
0.914773,0.204363951,left_link,medium,0.124697445
0.954545,0.199860560,left_link,medium,0.124697445
0.994318,0.196487445,left_link,medium,0.124697445
1.034091,0.193558646,left_link,medium,0.124697445
1.073864,0.191193005,left_link,medium,0.124697445
1.113636,0.189626111,left_link,medium,0.124697445
1.153409,0.188746795,left_link,medium,0.124697445
1.193182,0.188237733,left_link,medium,0.124697445
1.232955,0.187720853,left_link,medium,0.124697445
1.272727,0.186584413,left_link,medium,0.124697445
1.312500,0.184999149,left_link,medium,0.124697445
1.352273,0.183126460,left_link,medium,0.124697445
1.392045,0.181227374,left_link,medium,0.124697445
1.431818,0.179603050,left_link,medium,0.124697445
1.471591,0.178497194,left_link,medium,0.124697445
1.511364,0.177996860,left_link,medium,0.124697445
1.551136,0.177941819,left_link,medium,0.124697445
1.590909,0.177931169,left_link,medium,0.124697445
1.630682,0.177470661,left_link,medium,0.124697445
1.670455,0.176147474,left_link,medium,0.124697445
1.710227,0.173801722,left_link,medium,0.124697445
1.750000,0.170699853,left_link,medium,0.124697445
