tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.224113199,left_link,medium,0.124696803
0.040000,0.224166686,left_link,medium,0.124696803
0.080000,0.224276392,left_link,medium,0.124696803
0.120000,0.224457331,left_link,medium,0.124696803
0.160000,0.224693823,left_link,medium,0.124696803
0.200000,0.224951242,left_link,medium,0.124696803
0.240000,0.225193181,left_link,medium,0.124696803
0.280000,0.225400863,left_link,medium,0.124696803
0.320000,0.225576951,left_link,medium,0.124696803
0.360000,0.225738609,left_link,medium,0.124696803
0.400000,0.225907516,left_link,medium,0.124696803
0.440000,0.226098982,left_link,medium,0.124696803
0.480000,0.226314245,left_link,medium,0.124696803
0.520000,0.226542424,left_link,medium,0.124696803
0.560000,0.226767138,left_link,medium,0.124696803
0.600000,0.226974718,left_link,medium,0.124696803
0.640000,0.227163597,left_link,medium,0.124696803
0.680000,0.227349765,left_link,medium,0.124696803
0.720000,0.227560257,left_link,medium,0.124696803
0.760000,0.227821360,left_link,medium,0.124696803
0.800000,0.228145658,left_link,medium,0.124696803
0.840000,0.228517085,left_link,medium,0.124696803
0.880000,0.228883268,left_link,medium,0.124696803
0.920000,0.229175689,left_link,medium,0.124696803
0.960000,0.229347140,left_link,medium,0.124696803
1.000000,0.229413288,left_link,medium,0.124696803
