t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.86358953,-0.08211982,1.48430419,-0.00431727,1.57080364,0.86360049,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.86358836,-0.08211607,1.48430842,-0.00431429,1.57081312,0.86360181,-0.00034357,0.00110641,0.00124841,0.00087845,0.00279674,0.00038887,-0.06645388,0.21400406,0.24146876,0.16991073,0.54094965,0.07521658
0.020000,0.86358066,-0.08209127,1.48433640,-0.00429460,1.57087580,0.86361053,-0.00128546,0.00413961,0.00467087,0.00328668,0.01046391,0.00145496,-0.11982152,0.38586600,0.43538701,0.30636229,0.97537440,0.13562136
0.030000,0.86356108,-0.08202821,1.48440755,-0.00424454,1.57103520,0.86363269,-0.00269954,0.00869344,0.00980913,0.00690225,0.02197488,0.00305551,-0.16105162,0.51864093,0.58520192,0.41178031,1.31099679,0.18228812
0.040000,0.86352549,-0.08191359,1.48453689,-0.00415353,1.57132494,0.86367298,-0.00446919,0.01439232,0.01623939,0.01142693,0.03638025,0.00505851,-0.19109287,0.61538395,0.69436068,0.48859043,1.55553937,0.21629065
0.050000,0.86347087,-0.08173770,1.48473535,-0.00401388,1.57176954,0.86373480,-0.00648727,0.02089120,0.02357232,0.01658678,0.05280781,0.00734269,-0.21089395,0.67915017,0.76631048,0.53921828,1.71672469,0.23870273
0.060000,0.86339524,-0.08149415,1.48501015,-0.00382051,1.57238518,0.86382040,-0.00865610,0.02787558,0.03145306,0.02213211,0.07046262,0.00979751,-0.22140356,0.71299468,0.80449851,0.56608948,1.80227531,0.25059815
0.070000,0.86329754,-0.08117952,1.48536516,-0.00357071,1.57318048,0.86393098,-0.01088753,0.03506154,0.03956124,0.02783747,0.08862695,0.01232317,-0.22357039,0.71997260,0.81237196,0.57162967,1.81991377,0.25305070
0.080000,0.86317754,-0.08079309,1.48580118,-0.00326390,1.57415727,0.86406680,-0.01310286,0.04219566,0.04761094,0.03350168,0.10666027,0.01483062,-0.21834312,0.70313902,0.79337800,0.55826448,1.77736261,0.24713416
0.090000,0.86303577,-0.08033652,1.48631634,-0.00290141,1.57531136,0.86422727,-0.01523290,0.04905513,0.05535073,0.03894783,0.12399931,0.01724154,-0.20667045,0.66554905,0.75096383,0.52841953,1.68234440,0.23392231
0.100000,0.86287337,-0.07981355,1.48690644,-0.00248619,1.57663332,0.86441108,-0.01721795,0.05544764,0.06256364,0.04402323,0.14015801,0.01948833,-0.18950106,0.61025778,0.68857664,0.48452046,1.54258168,0.21448894
0.110000,0.86269206,-0.07922967,1.48756525,-0.00202261,1.57810922,0.86461630,-0.01900777,0.06121146,0.06906718,0.04859947,0.15472753,0.02151416,-0.16778365,0.54032034,0.60966360,0.42899290,1.36579700,0.18990784
0.120000,0.86249400,-0.07859186,1.48828492,-0.00151621,1.57972146,0.86484047,-0.02056162,0.06621541,0.07471332,0.05257241,0.16737628,0.02327291,-0.14246690,0.45879180,0.51767192,0.36426248,1.15971291,0.16125279
0.130000,0.86228172,-0.07790823,1.48905627,-0.00097344,1.58144948,0.86508075,-0.02184827,0.07035885,0.07938851,0.05586213,0.17784987,0.02472921,-0.11449950,0.36872729,0.41604876,0.29275483,0.93205196,0.12959757
0.140000,0.86205800,-0.07718778,1.48986918,-0.00040143,1.58327060,0.86533397,-0.02284594,0.07357169,0.08301368,0.05841300,0.18597114,0.02585844,-0.08483015,0.27318190,0.30824133,0.21689559,0.69053669,0.09601597
