t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.76429236,-0.12182621,1.44595861,0.01746348,1.59222138,0.88431025,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.76428815,-0.12182610,1.44595979,0.01746933,1.59223099,0.88431172,-0.00124377,0.00003280,0.00034821,0.00172494,0.00283642,0.00043600,-0.24080859,0.00655629,0.06734397,0.33353369,0.54849727,0.08432750
0.020000,0.76426024,-0.12182534,1.44596760,0.01750797,1.59229455,0.88432149,-0.00466270,0.00013092,0.00130252,0.00644966,0.01060743,0.00163110,-0.43557525,0.01305109,0.12138104,0.60076281,0.98823952,0.15201874
0.030000,0.76418913,-0.12182327,1.44598744,0.01760618,1.59245609,0.88434634,-0.00981268,0.00029339,0.00273471,0.01353533,0.02226512,0.00342495,-0.58756298,0.01941407,0.16308166,0.80653109,1.32715414,0.20428152
0.040000,0.76405959,-0.12181926,1.44602349,0.01778458,1.59274957,0.88439149,-0.01628224,0.00051853,0.00452627,0.02239156,0.03684084,0.00566932,-0.70003481,0.02557491,0.19341627,0.95568230,1.57316850,0.24232364
0.050000,0.76386035,-0.12181270,1.44607880,0.01805811,1.59319966,0.88446077,-0.02369253,0.00080398,0.00656839,0.03247640,0.05344524,0.00822805,-0.77625372,0.03146326,0.21335531,1.05306017,1.73420998,0.26735290
0.060000,0.76358376,-0.12180299,1.44615536,0.01843655,1.59382253,0.88455669,-0.03169735,0.00114665,0.00876196,0.04329633,0.07126823,0.01097703,-0.81948272,0.03700881,0.22386924,1.10350847,1.81820597,0.28057711
0.070000,0.76322547,-0.12178958,1.44625424,0.01892499,1.59462664,0.88468057,-0.03998310,0.00154277,0.01101759,0.05440628,0.08957897,0.01380427,-0.83298483,0.04214123,0.22592850,1.11187093,1.83308385,0.28320407
0.080000,0.76278410,-0.12177197,1.44637565,0.01952431,1.59561355,0.88483270,-0.04826883,0.00198786,0.01325558,0.06540961,0.10772593,0.01660982,-0.82002303,0.04679018,0.22050353,1.08299131,1.78677101,0.27644159
0.090000,0.76226092,-0.12174968,1.44651906,0.02023166,1.59677870,0.88501240,-0.05630622,0.00247673,0.01540595,0.07595811,0.12513685,0.01930583,-0.78386035,0.05088534,0.20856479,1.02171336,1.68719481,0.26149746
0.100000,0.76165953,-0.12172231,1.44668328,0.02104096,1.59811218,0.88521820,-0.06387958,0.00300349,0.01740840,0.08575203,0.14131871,0.02181652,-0.72775978,0.05435638,0.19108271,0.93288083,1.54228266,0.23957948
