tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.172177068,wrist1_Link,medium,0.126107608
0.040000,0.172189139,wrist1_Link,medium,0.126107608
0.080000,0.172273571,wrist1_Link,medium,0.126107608
0.120000,0.172496377,wrist1_Link,medium,0.126107608
0.160000,0.172904149,wrist1_Link,medium,0.126107608
0.200000,0.173510299,wrist1_Link,medium,0.126107608
0.240000,0.174281801,wrist1_Link,medium,0.126107608
0.280000,0.175135392,wrist1_Link,medium,0.126107608
0.320000,0.175957303,wrist1_Link,medium,0.126107608
0.360000,0.176632012,wrist1_Link,medium,0.126107608
0.400000,0.177071061,wrist1_Link,medium,0.126107608
0.440000,0.177241163,wrist1_Link,medium,0.126107608
0.480000,0.177179037,wrist1_Link,medium,0.126107608
0.520000,0.176972621,wrist1_Link,medium,0.126107608
0.560000,0.176729115,wrist1_Link,medium,0.126107608
0.600000,0.176542446,wrist1_Link,medium,0.126107608
0.640000,0.176461148,wrist1_Link,medium,0.126107608
0.680000,0.176470246,wrist1_Link,medium,0.126107608
0.720000,0.176508922,wrist1_Link,medium,0.126107608
0.760000,0.176502277,wrist1_Link,medium,0.126107608
0.800000,0.176393607,wrist1_Link,medium,0.126107608
0.840000,0.176175936,wrist1_Link,medium,0.126107608
0.880000,0.175905644,wrist1_Link,medium,0.126107608
0.920000,0.175243945,left_link,medium,0.126107608
0.960000,0.174596721,left_link,medium,0.126107608
1.000000,0.174476458,left_link,medium,0.126107608
