t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.69935358,-0.09354572,1.50582826,0.15730704,1.80049562,0.89469445,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.69935370,-0.09354537,1.50582788,0.15730757,1.80048615,0.89469445,0.00003882,0.00010318,-0.00011307,0.00015449,-0.00279674,0.00000000,0.00821191,0.02037453,-0.02229479,0.02983295,-0.54094965,-0.00000000
0.020000,0.69935467,-0.09354300,1.50582529,0.15731102,1.80042346,0.89469445,0.00017256,0.00040223,-0.00043953,0.00057614,-0.01046391,-0.00000000,0.01891946,0.03917154,-0.04268055,0.05351090,-0.97537440,0.00000000
0.030000,0.69935755,-0.09353673,1.50581844,0.15731978,1.80026407,0.89469445,0.00042423,0.00088133,-0.00096036,0.00120572,-0.02197488,-0.00000000,0.03173449,0.05638292,-0.06117074,0.07149416,-1.31099679,-0.00000000
0.040000,0.69936361,-0.09352483,1.50580550,0.15733565,1.79997433,0.89469445,0.00081298,0.00152458,-0.00165667,0.00198858,-0.03638025,-0.00000000,0.04626884,0.07200055,-0.07777882,0.08424305,-1.55553937,0.00000000
0.050000,0.69937431,-0.09350574,1.50578479,0.15735990,1.79952973,0.89469445,0.00135405,0.00231600,-0.00250971,0.00287467,-0.05280781,0.00000000,0.06213434,0.08601633,-0.09251825,0.09221788,-1.71672469,0.00000000
0.060000,0.69939124,-0.09347807,1.50575484,0.15739333,1.79891409,0.89469445,0.00205881,0.00323954,-0.00350085,0.00381856,-0.07046262,0.00000000,0.07894282,0.09842216,-0.10540249,0.09587897,-1.80227531,0.00000000
0.070000,0.69941606,-0.09344057,1.50571437,0.15743633,1.79811879,0.89469445,0.00293475,0.00427905,-0.00461162,0.00477940,-0.08862695,0.00000000,0.09630613,0.10920993,-0.11644499,0.09568665,-1.81991377,0.00000000
0.080000,0.69945052,-0.09339216,1.50566227,0.15748886,1.79714199,0.89469445,0.00398549,0.00541832,-0.00582366,0.00572098,-0.10666027,0.00000000,0.11383609,0.11837152,-0.12565920,0.09210122,-1.77736261,0.00000000
0.090000,0.69949635,-0.09333192,1.50559762,0.15755057,1.79598790,0.89469445,0.00521074,0.00664103,-0.00711876,0.00661165,-0.12399931,0.00000000,0.13114454,0.12589884,-0.13305859,0.08558300,-1.68234440,0.00000000
0.100000,0.69955530,-0.09325911,1.50551968,0.15762083,1.79466595,0.89469445,0.00660634,0.00793082,-0.00847883,0.00742440,-0.14015801,0.00000000,0.14784332,0.13178377,-0.13865662,0.07659232,-1.54258168,0.00000000
0.110000,0.69962902,-0.09317314,1.50542789,0.15769873,1.79319005,0.89469445,0.00816428,0.00927121,-0.00988593,0.00813679,-0.15472753,-0.00000000,0.16354426,0.13601820,-0.14246674,0.06558948,-1.36579700,0.00000000
0.120000,0.69971909,-0.09307357,1.50532186,0.15778317,1.79157781,0.89469445,0.00987261,0.01064565,-0.01132225,0.00873101,-0.16737628,0.00000000,0.17785919,0.13859403,-0.14450240,0.05303481,-1.15971291,0.00000000
0.130000,0.69982692,-0.09296017,1.50520140,0.15787291,1.78984978,0.89469445,0.01171555,0.01203753,-0.01277011,0.00919385,-0.17784987,0.00000000,0.19039995,0.13950316,-0.14477707,0.03938862,-0.93205196,0.00000000
0.140000,0.69995378,-0.09283282,1.50506648,0.15796658,1.78802866,0.89469445,0.01367340,0.01343013,-0.01421196,0.00951668,-0.18597114,0.00000000,0.20077838,0.13873747,-0.14330420,0.02511122,-0.69053669,0.00000000
0.150000,0.70010070,-0.09269162,1.50491724,0.15806276,1.78613854,0.89469445,0.01572261,0.01480667,-0.01563041,0.00969550,-0.19164016,0.00000000,0.20860631,0.13628885,-0.14009725,0.01066295,-0.44288966,0.00000000
0.160000,0.70026845,-0.09253680,1.50475401,0.15816001,1.78420412,0.89469445,0.01783573,0.01615027,-0.01700817,0.00973091,-0.19483424,0.00000000,0.21349557,0.13214920,-0.13516968,-0.00349589,-0.19683342,-0.00000000
0.170000,0.70045752,-0.09236878,1.50457727,0.15825692,1.78224993,0.89469445,0.01998143,0.01744399,-0.01832811,0.00962809,-0.19560788,0.00000000,0.21505801,0.12631041,-0.12853494,-0.01690498,0.03990948,0.00000000
0.180000,0.70066807,-0.09218814,1.50438770,0.15835215,1.78029960,0.89469445,0.02212451,0.01867079,-0.01957323,0.00939684,-0.19409283,0.00000000,0.21290545,0.11876438,-0.12020649,-0.02910401,0.25961650,0.00000000
0.190000,0.70089987,-0.09199564,1.50418611,0.15844448,1.77837502,0.89469445,0.02422587,0.01981356,-0.02072664,0.00905157,-0.19049808,0.00000000,0.20664973,0.10950299,-0.11019779,-0.03963264,0.45456508,0.00000000
0.200000,0.70115230,-0.09179221,1.50397353,0.15853286,1.77649562,0.89469445,0.02624253,0.02085511,-0.02177163,0.00861129,-0.18510980,-0.00000000,0.19590268,0.09851814,-0.09852230,-0.04803058,0.61703267,-0.00000000
0.210000,0.70142428,-0.09157893,1.50375110,0.15861646,1.77467761,0.89469445,0.02812805,0.02177825,-0.02269167,0.00809932,-0.17828691,-0.00000000,0.18043293,0.08584253,-0.08523004,-0.05394973,0.74110445,0.00000000
0.220000,0.70171427,-0.09135709,1.50352016,0.15869469,1.77293339,0.89469445,0.02983677,0.02256697,-0.02347149,0.00754022,-0.17041131,0.00000000,0.16063624,0.07167212,-0.07051734,-0.05749098,0.82809641,-0.00000000
0.230000,0.70202029,-0.09112809,1.50328218,0.15876719,1.77127170,0.89469445,0.03132819,0.02320750,-0.02409806,0.00695671,-0.16183817,-0.00000000,0.13706518,0.05624368,-0.05461710,-0.05886742,0.88113230,0.00000000
0.240000,0.70234000,-0.09089347,1.50303875,0.15883381,1.76969787,0.89469445,0.03256733,0.02368844,-0.02456065,0.00636938,-0.15289144,-0.00000000,0.11027228,0.03979397,-0.03776222,-0.05829216,0.90333583,0.00000000
0.250000,0.70267070,-0.09065488,1.50279154,0.15889462,1.76821414,0.89469445,0.03352474,0.02400077,-0.02485090,0.00579667,-0.14386382,-0.00000000,0.08081010,0.02255978,-0.02018558,-0.05597831,0.89783074,-0.00000000
0.260000,0.70300947,-0.09041404,1.50254232,0.15894985,1.76681999,0.89469445,0.03417648,0.02413781,-0.02496273,0.00525490,-0.13501678,-0.00000000,0.04923121,0.00477786,-0.00212010,-0.05213898,0.86774076,0.00000000
0.270000,0.70335315,-0.09017272,1.50229289,0.15899987,1.76551243,0.89469445,0.03450415,0.02409529,-0.02489244,0.00475826,-0.12658054,-0.00000000,0.01608814,-0.01331502,0.01620135,-0.04698727,0.81618961,-0.00000000
0.280000,0.70369843,-0.08993274,1.50204509,0.15904520,1.76428634,0.89469445,0.03449487,0.02387127,-0.02463863,0.00431882,-0.11875411,0.00000000,-0.01806654,-0.03148208,0.03454585,-0.04073629,0.74630102,0.00000000
0.290000,0.70404190,-0.08969590,1.50180073,0.15908647,1.76313475,0.89469445,0.03414129,0.02346619,-0.02420223,0.00394649,-0.11170523,-0.00000000,-0.05268028,-0.04948656,0.05268051,-0.03359916,0.66119871,-0.00000000
0.300000,0.70438010,-0.08946401,1.50156164,0.15912438,1.76204919,0.89469445,0.03344157,0.02288287,-0.02358650,0.00364908,-0.10557043,-0.00000000,-0.08720053,-0.06709169,0.07037243,-0.02578897,0.56400643,-0.00000000
0.310000,0.70470959,-0.08923882,1.50132958,0.15915972,1.76101994,0.89469445,0.03239943,0.02212648,-0.02279703,0.00343224,-0.10045499,-0.00000000,-0.12107473,-0.08406070,0.08738872,-0.01751884,0.45784788,0.00000000
0.320000,0.70502698,-0.08902203,1.50110625,0.15919331,1.76003644,0.89469445,0.03102408,0.02120456,-0.02184175,0.00329952,-0.09643295,-0.00000000,-0.15375033,-0.10015682,0.10349648,-0.00900186,0.34584681,-0.00000000
0.330000,0.70532901,-0.08881525,1.50089326,0.15922600,1.75908749,0.89469445,0.02933026,0.02012704,-0.02073091,0.00325232,-0.09354712,-0.00000000,-0.18467478,-0.11514328,0.11846282,-0.00045116,0.23112694,0.00000000
0.340000,0.70561259,-0.08861997,1.50069211,0.15925864,1.75816167,0.89469445,0.02733826,0.01890618,-0.01947707,0.00328990,-0.09180906,-0.00000000,-0.21329552,-0.12878331,0.13205483,0.00792017,0.11681200,-0.00000000
0.350000,0.70587486,-0.08843756,1.50050415,0.15929207,1.75724755,0.89469445,0.02507387,0.01755665,-0.01809517,0.00340941,-0.09119912,-0.00000000,-0.23906000,-0.14084015,0.14403962,0.01589902,0.00602571,0.00000000
0.360000,0.70611326,-0.08826921,1.50033058,0.15932708,1.75633409,0.89469445,0.02256842,0.01609545,-0.01660242,0.00360586,-0.09166637,-0.00000000,-0.26141567,-0.15107701,0.15418429,0.02327227,-0.09810819,0.00000000
0.370000,0.70632555,-0.08811596,1.50017241,0.15936442,1.75541090,0.89469445,0.01985876,0.01454196,-0.01501839,0.00387213,-0.09312869,-0.00000000,-0.27980997,-0.15925715,0.16225595,0.02982683,-0.19246599,0.00000000
0.380000,0.70650990,-0.08797861,1.50003044,0.15940473,1.75446857,0.89469445,0.01698727,0.01291795,-0.01336498,0.00419896,-0.09547269,-0.00000000,-0.29369035,-0.16514378,0.16802169,0.03534958,-0.27392394,0.00000000
0.390000,0.70666492,-0.08785775,1.49990526,0.15944856,1.75349899,0.89469445,0.01400184,0.01124752,-0.01166642,0.00457497,-0.09855376,-0.00000000,-0.30250425,-0.16850013,0.17124863,0.03962742,-0.33935833,0.00000000
0.400000,0.70678973,-0.08775372,1.49979717,0.15949635,1.75249562,0.89469445,0.01095591,0.00955717,-0.00994925,0.00498665,-0.10219604,-0.00000000,-0.30569913,-0.16908945,0.17170386,0.04244724,-0.38564542,0.00000000
0.410000,0.70688403,-0.08766658,1.49970624,0.15954836,1.75145388,0.89469445,0.00790795,0.00787553,-0.00824214,0.00541850,-0.10619466,-0.00000000,-0.30291405,-0.16676248,0.16924136,0.04365907,-0.41055329,0.00000000
0.420000,0.70694808,-0.08759609,1.49963220,0.15960473,1.75037124,0.89469445,0.00491621,0.00623097,-0.00657348,0.00585481,-0.11034029,-0.00000000,-0.29455462,-0.16172006,0.16406259,0.04336552,-0.41541725,0.00000000
0.430000,0.70698272,-0.08754175,1.49957455,0.15966543,1.74924722,0.89469445,0.00203345,0.00464922,-0.00496898,0.00628135,-0.11444362,-0.00000000,-0.28121805,-0.15425057,0.15645590,0.04173233,-0.40246438,0.00000000
0.440000,0.70698927,-0.08750282,1.49953253,0.15973028,1.74808307,0.89469445,-0.00069355,0.00315309,-0.00345149,0.00668555,-0.11833761,-0.00000000,-0.26350157,-0.14464238,0.14670962,0.03892523,-0.37392180,0.00000000
0.450000,0.70696950,-0.08747834,1.49950517,0.15979903,1.74688165,0.89469445,-0.00322397,0.00176254,-0.00204096,0.00705649,-0.12187751,-0.00000000,-0.24200240,-0.13318386,0.13511209,0.03510997,-0.33201660,0.00000000
0.460000,0.70692556,-0.08746716,1.49949130,0.15987127,1.74564711,0.89469445,-0.00552298,0.00049462,-0.00075446,0.00738494,-0.12494082,-0.00000000,-0.21731778,-0.12016337,0.12195164,0.03045229,-0.27897590,0.00000000
0.470000,0.70685991,-0.08746799,1.49948962,0.15994656,1.74438476,0.89469445,-0.00756170,-0.00063649,0.00039382,0.00766328,-0.12742733,0.00000000,-0.19004491,-0.10586928,0.10751663,0.02511793,-0.21702678,0.00000000
0.480000,0.70677527,-0.08747939,1.49949868,0.16002435,1.74310075,0.89469445,-0.00931724,-0.00161948,0.00139259,0.00788559,-0.12925909,0.00000000,-0.16078103,-0.09058997,0.09209538,0.01927264,-0.14839636,0.00000000
0.490000,0.70667457,-0.08749985,1.49951694,0.16010407,1.74180194,0.89469445,-0.01077267,-0.00244596,0.00223341,0.00804759,-0.13038041,0.00000000,-0.13012337,-0.07461381,0.07597623,0.01308215,-0.07531173,0.00000000
0.500000,0.70656086,-0.08752777,1.49954280,0.16018509,1.74049562,0.89469445,-0.01191705,-0.00311040,0.00291075,0.00814664,-0.13075790,0.00000000,-0.09866913,-0.05822915,0.05944752,0.00671221,0.00000000,0.00000000
0.510000,0.70643728,-0.08756151,1.49957460,0.16026679,1.73918931,0.89469445,-0.01274539,-0.00361014,0.00342195,0.00818178,-0.13038041,0.00000000,-0.06701556,-0.04172438,0.04279760,0.00032856,0.07531173,0.00000000
0.520000,0.70630700,-0.08759943,1.49961069,0.16034852,1.73789050,0.89469445,-0.01325869,-0.00394545,0.00376725,0.00815372,-0.12925909,0.00000000,-0.03575987,-0.02538786,0.02631479,-0.00590307,0.14839636,0.00000000
0.530000,0.70617313,-0.08763988,1.49964941,0.16042966,1.73660649,0.89469445,-0.01346391,-0.00411942,0.00394977,0.00806478,-0.12742733,0.00000000,-0.00549928,-0.00950796,0.01028743,-0.01181692,0.21702678,0.00000000
0.540000,0.70603870,-0.08768130,1.49968916,0.16050962,1.73534414,0.89469445,-0.01337398,-0.00413809,0.00397548,0.00791899,-0.12494082,0.00000000,0.02316897,0.00562695,-0.00499612,-0.01724726,0.27897590,0.00000000
0.550000,0.70590657,-0.08772216,1.49972842,0.16058787,1.73410960,0.89469445,-0.01300783,-0.00401033,0.00385328,0.00772200,-0.12187751,0.00000000,0.04964767,0.01972850,-0.01924755,-0.02202834,0.33201660,0.00000000
0.560000,0.70577939,-0.08776106,1.49976577,0.16066392,1.73290818,0.89469445,-0.01239032,-0.00374792,0.00359493,0.00748114,-0.11833761,0.00000000,0.07333958,0.03250833,-0.03217850,-0.02599444,0.37392180,0.00000000
0.570000,0.70565950,-0.08779672,1.49979991,0.16073737,1.73174403,0.89469445,-0.01155231,-0.00336553,0.00321508,0.00720538,-0.11444362,0.00000000,0.09364750,0.04367805,-0.04350065,-0.02897979,0.40246438,0.00000000
0.580000,0.70554895,-0.08782802,1.49982972,0.16080794,1.73062001,0.89469445,-0.01053064,-0.00288069,0.00273124,0.00690536,-0.11034029,0.00000000,0.10997419,0.05294931,-0.05292565,-0.03081866,0.41541725,0.00000000
0.590000,0.70544936,-0.08785406,1.49985426,0.16087544,1.72953737,0.89469445,-0.00936809,-0.00231383,0.00216385,0.00659338,-0.10619466,0.00000000,0.12172242,0.06003373,-0.06016516,-0.03134532,0.41055329,0.00000000
0.600000,0.70536190,-0.08787410,1.49987280,0.16093982,1.72849562,0.89469445,-0.00811344,-0.00168827,0.00153619,0.00628338,-0.10219604,0.00000000,0.12829498,0.06464294,-0.06493085,-0.03039401,0.38564542,-0.00000000
0.610000,0.70528722,-0.08788771,1.49988487,0.16100117,1.72749226,0.89469445,-0.00682093,-0.00102995,0.00087421,0.00599082,-0.09855376,0.00000000,0.12929585,0.06658154,-0.06702692,-0.02786278,0.33935833,0.00000000
0.620000,0.70522543,-0.08789468,1.49989026,0.16105974,1.72652268,0.89469445,-0.00554474,-0.00036495,0.00020397,0.00573088,-0.09547269,0.00000000,0.12513387,0.06602589,-0.06662774,-0.02390478,0.27392394,0.00000000
0.630000,0.70517611,-0.08789507,1.49988900,0.16111594,1.72558035,0.89469445,-0.00433343,0.00028315,-0.00045092,0.00551676,-0.09312869,0.00000000,0.11641907,0.06324536,-0.06400025,-0.01873695,0.19246599,-0.00000000
0.640000,0.70513840,-0.08788914,1.49988136,0.16117027,1.72465716,0.89469445,-0.00322950,0.00089344,-0.00106950,0.00535946,-0.09166637,0.00000000,0.10376150,0.05850927,-0.05941137,-0.01257622,0.09810819,-0.00000000
0.650000,0.70511104,-0.08787739,1.49986779,0.16122335,1.72374370,0.89469445,-0.00226931,0.00144771,-0.00163350,0.00526782,-0.09119912,0.00000000,0.08777120,0.05208698,-0.05312801,-0.00563953,-0.00602571,-0.00000000
0.660000,0.70509243,-0.08786043,1.49984892,0.16127587,1.72282958,0.89469445,-0.00148315,0.00193046,-0.00212730,0.00524853,-0.09180906,0.00000000,0.06905822,0.04424781,-0.04541710,0.00185619,-0.11681200,-0.00000000
0.670000,0.70508071,-0.08783906,1.49982552,0.16132857,1.72190375,0.89469445,-0.00089519,0.00232884,-0.00253797,0.00530608,-0.09354712,0.00000000,0.04823260,0.03526112,-0.03654557,0.00969399,-0.23112694,-0.00000000
0.680000,0.70507381,-0.08781417,1.49979848,0.16138225,1.72095481,0.89469445,-0.00052350,0.00263275,-0.00285524,0.00544283,-0.09643295,0.00000000,0.02590438,0.02539623,-0.02678032,0.01765696,-0.34584681,-0.00000000
0.690000,0.70506948,-0.08778674,1.49976876,0.16143769,1.71997130,0.89469445,-0.00038008,0.00283474,-0.00307149,0.00565892,-0.10045499,-0.00000000,0.00268360,0.01492251,-0.01638830,0.02552814,-0.45784788,-0.00000000
0.700000,0.70506542,-0.08775783,1.49973740,0.16149569,1.71894206,0.89469445,-0.00047077,0.00293007,-0.00318180,0.00595236,-0.10557043,0.00000000,-0.02081969,0.00410928,-0.00563641,0.03309060,-0.56400643,-0.00000000
0.710000,0.70505929,-0.08772850,1.49970548,0.16155699,1.71785649,0.89469445,-0.00079538,0.00291669,-0.00318391,0.00631898,-0.11170523,-0.00000000,-0.04399545,-0.00677411,0.00520842,0.04012741,-0.66119871,-0.00000000
0.720000,0.70504876,-0.08769986,1.49967408,0.16162229,1.71670491,0.89469445,-0.00134756,0.00279525,-0.00307821,0.00675243,-0.11875411,-0.00000000,-0.06623363,-0.01745833,0.01587926,0.04642164,-0.74630102,-0.00000000
0.730000,0.70503162,-0.08767295,1.49964427,0.16169223,1.71547882,0.89469445,-0.00211489,0.00256909,-0.00286779,0.00724421,-0.12658054,0.00000000,-0.08692420,-0.02767403,0.02610920,0.05175635,-0.81618961,-0.00000000
0.740000,0.70500580,-0.08764880,1.49961706,0.16176733,1.71417126,0.89469445,-0.00307885,0.00224423,-0.00255839,0.00778364,-0.13501678,-0.00000000,-0.10545711,-0.03715186,0.03563131,0.05591459,-0.86774076,-0.00000000
0.750000,0.70496947,-0.08762836,1.49959340,0.16184802,1.71277711,0.89469445,-0.00421481,0.00182941,-0.00215842,0.00835786,-0.14386382,-0.00000000,-0.12122231,-0.04562249,0.04417867,0.05867945,-0.89783074,-0.00000000
0.760000,0.70492103,-0.08761248,1.49957415,0.16193456,1.71129338,0.89469445,-0.00549204,0.00133603,-0.00167895,0.00895186,-0.15289144,-0.00000000,-0.13360977,-0.05281659,0.05148436,0.05983397,-0.90333583,-0.00000000
0.770000,0.70485928,-0.08760186,1.49956004,0.16202706,1.70971955,0.89469445,-0.00687371,0.00077823,-0.00113376,0.00954845,-0.16183817,-0.00000000,-0.14200944,-0.05846479,0.05728145,0.05916123,-0.88113230,-0.00000000
