tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.172096397,left_link,medium,0.122836605
0.040000,0.172083459,left_link,medium,0.122836605
0.080000,0.172013615,left_link,medium,0.122836605
0.120000,0.171878581,left_link,medium,0.122836605
0.160000,0.171703977,left_link,medium,0.122836605
0.200000,0.171526581,left_link,medium,0.122836605
0.240000,0.171374361,left_link,medium,0.122836605
0.280000,0.171255924,left_link,medium,0.122836605
0.320000,0.171164571,left_link,medium,0.122836605
0.360000,0.171086155,left_link,medium,0.122836605
0.400000,0.171005983,left_link,medium,0.122836605
0.440000,0.170915209,left_link,medium,0.122836605
0.480000,0.170814464,left_link,medium,0.122836605
0.520000,0.170711049,left_link,medium,0.122836605
0.560000,0.170613968,left_link,medium,0.122836605
0.600000,0.170529430,left_link,medium,0.122836605
0.640000,0.170456968,left_link,medium,0.122836605
0.680000,0.170388006,left_link,medium,0.122836605
0.720000,0.170309950,left_link,medium,0.122836605
0.760000,0.170212229,left_link,medium,0.122836605
0.800000,0.170092053,left_link,medium,0.122836605
0.840000,0.169959128,left_link,medium,0.122836605
0.880000,0.169835183,left_link,medium,0.122836605
0.920000,0.169544354,wrist1_Link,medium,0.122836605
0.960000,0.169029749,wrist1_Link,medium,0.122836605
1.000000,0.168935110,wrist1_Link,medium,0.122836605
