t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.88404614,-0.10112386,1.46297467,-0.00659878,1.57079637,0.88404977,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.88403564,-0.10113128,1.46297896,-0.00659562,1.57080588,0.88405110,-0.00309114,-0.00218255,0.00126602,0.00093302,0.00280714,0.00039206,-0.59467466,-0.41939550,0.24491821,0.18043221,0.54291372,0.07583153
0.020000,0.88396680,-0.10117982,1.46300734,-0.00657471,1.57086879,0.88405989,-0.01144029,-0.00805837,0.00473840,0.00348954,0.01050097,0.00146681,-1.05338838,-0.73992914,0.44184859,0.32513297,0.97863531,0.13671724
0.030000,0.88379367,-0.10130158,1.46307953,-0.00652157,1.57102874,0.88408223,-0.02374146,-0.01667713,0.00995458,0.00732526,0.02204851,0.00308020,-1.38686779,-0.96926078,0.59425331,0.43670647,1.31495504,0.18374152
0.040000,0.88348280,-0.10151958,1.46321081,-0.00642501,1.57131942,0.88412284,-0.03879595,-0.02716511,0.01648659,0.01212193,0.03649470,0.00509905,-1.60583948,-1.11505030,0.70559459,0.51775690,1.55966319,0.21798876
0.050000,0.88301222,-0.10184845,1.46341234,-0.00627690,1.57176536,0.88418516,-0.05551232,-0.03872520,0.02394113,0.01758733,0.05296237,0.00740100,-1.72103005,-1.18495756,0.77933460,0.57088845,1.72055003,0.24054336
0.060000,0.88237031,-0.10229525,1.46369151,-0.00607192,1.57238273,0.88427143,-0.07290637,-0.05063686,0.03195949,0.02345531,0.07065226,0.00987456,-1.74316612,-1.18664243,0.81893555,0.59870530,1.80540584,0.25248970
0.070000,0.88155477,-0.10286020,1.46405232,-0.00580726,1.57318007,0.88438288,-0.09010121,-0.06225617,0.04021759,0.02948574,0.08884301,0.01241905,-1.68297430,-1.12776478,0.82785963,0.60381164,1.82202089,0.25491219
0.080000,0.88057153,-0.10353750,1.46449569,-0.00548238,1.57415911,0.88451975,-0.10632719,-0.07301581,0.04842596,0.03546452,0.10689118,0.01494467,-1.55118117,-1.01598448,0.80956903,0.58881165,1.77818545,0.24889521
0.090000,0.87943368,-0.10431601,1.46501982,-0.00509877,1.57531552,0.88468145,-0.12092192,-0.08242505,0.05632979,0.04120363,0.12423119,0.01737244,-1.35851336,-0.85896140,0.76752594,0.55630953,1.68168980,0.23552316
0.100000,0.87816039,-0.10518011,1.46562054,-0.00465965,1.57663974,0.88486665,-0.13333029,-0.09006976,0.06370885,0.04654105,0.14037541,0.01963423,-1.11569746,-0.66435540,0.70519256,0.50890946,1.54032421,0.21588043
0.110000,0.87677586,-0.10611039,1.46629163,-0.00416974,1.57811767,0.88507339,-0.14310446,-0.09561241,0.07037755,0.05134084,0.15491408,0.02167276,-0.83346009,-0.43982637,0.62603109,0.44921563,1.36187895,0.19105141
0.120000,0.87530823,-0.10708447,1.46702521,-0.00363500,1.57973155,0.88529920,-0.14990385,-0.09879208,0.07618492,0.05549307,0.16751535,0.02344159,-0.52252784,-0.19303416,0.53350372,0.37983223,1.15414431,0.16212050
0.130000,0.87378849,-0.10807773,1.46781206,-0.00306232,1.58146067,0.88554120,-0.15349513,-0.09942442,0.08101461,0.05891387,0.17792530,0.02490511,-0.19362733,0.06836136,0.43107263,0.30336343,0.92491054,0.13017209
0.140000,0.87224945,-0.10906410,1.46864197,-0.00245935,1.58328216,0.88579620,-0.15375225,-0.09740171,0.08478490,0.06154540,0.18596787,0.02603858,0.14251485,0.33670031,0.32220003,0.22241344,0.68196793,0.09629057
0.150000,0.87072463,-0.11001680,1.46950407,-0.00183416,1.58517180,0.88606082,-0.15065645,-0.09269280,0.08744868,0.06335588,0.19154493,0.02682809,0.47517208,0.60432283,0.21034811,0.13958643,0.43310674,0.06156034
0.160000,0.86924722,-0.11090915,1.47038721,-0.00119499,1.58710476,0.88633161,-0.14429618,-0.08534317,0.08899347,0.06433955,0.19463624,0.02727058,0.79361775,0.86356904,0.09897905,0.05748659,0.18611726,0.02706579
0.170000,0.86784895,-0.11171526,1.47128028,-0.00055006,1.58905642,0.88660510,-0.13486722,-0.07547487,0.08944141,0.06451671,0.19529948,0.02737381,1.08712528,1.10677909,-0.00844493,-0.02128188,-0.05121024,-0.00610869
0.180000,0.86655910,-0.11241090,1.47217257,0.00009280,1.59100310,0.88687801,-0.12267256,-0.06328657,0.08884926,0.06393370,0.19367021,0.02715642,1.34496804,1.32629309,-0.10846166,-0.09411481,-0.27108550,-0.03687870
0.190000,0.86540336,-0.11297417,1.47305410,0.00072632,1.59292288,0.88714726,-0.10812250,-0.04905353,0.08730841,0.06266288,0.18996191,0.02664787,1.55641944,1.51445119,-0.19760893,-0.15840801,-0.46571823,-0.06415986
0.200000,0.86440279,-0.11338632,1.47391599,0.00134409,1.59479637,0.88741013,-0.09173457,-0.03312760,0.08494486,0.06080269,0.18446596,0.02588846,1.71075286,1.66359350,-0.27242456,-0.21155728,-0.62731816,-0.08686776
0.210000,0.86357274,-0.11363249,1.47475078,0.00194082,1.59660746,0.88766436,-0.07412663,-0.01593261,0.08191723,0.05847602,0.17754704,0.02492873,1.80002350,1.76791406,-0.33024811,-0.25157523,-0.74992865,-0.10417232
0.220000,0.86292218,-0.11370223,1.47555268,0.00251249,1.59834386,0.88790822,-0.05594036,0.00208664,0.07839471,0.05581335,0.16959276,0.02382241,1.82741371,1.82902243,-0.37162617,-0.27894157,-0.83492756,-0.11626065
0.230000,0.86245389,-0.11358940,1.47631755,0.00305637,1.59999706,0.88814049,-0.03776475,0.02051534,0.07453503,0.05293571,0.16096316,0.02261944,1.79888766,1.85038208,-0.39790711,-0.29475283,-0.88552637,-0.12357416
0.240000,0.86216508,-0.11329183,1.47704274,0.00357086,1.60156197,0.88836044,-0.02012912,0.03897333,0.07048240,0.04995316,0.15198619,0.02136537,1.72040949,1.83545647,-0.41043928,-0.30010550,-0.90493659,-0.12655426
0.250000,0.86204794,-0.11281099,1.47772699,0.00405542,1.60303662,0.88856776,-0.00350318,0.05711506,0.06636758,0.04696481,0.14295768,0.02010132,1.59794337,1.78770905,-0.41057105,-0.29609609,-0.89636969,-0.12564237
0.260000,0.86209028,-0.11215162,1.47837028,0.00451043,1.60442184,0.88876255,0.01170300,0.07462965,0.06230782,0.04405879,0.13414135,0.01886402,1.43745344,1.71060329,-0.39965076,-0.28382111,-0.86303716,-0.12127990
0.270000,0.86227609,-0.11132141,1.47897368,0.00493713,1.60572093,0.88894524,0.02513902,0.09124081,0.05840691,0.04131228,0.12576879,0.01768576,1.24490386,1.60760265,-0.37902679,-0.26437708,-0.80815050,-0.11390826
0.280000,0.86258618,-0.11033063,1.47953925,0.00533743,1.60693936,0.88911656,0.03651410,0.10670693,0.05475513,0.03879149,0.11803948,0.01659442,1.02625879,1.48217059,-0.35004748,-0.23886049,-0.73492120,-0.10396887
0.290000,0.86299873,-0.10919178,1.48006987,0.00571389,1.60808443,0.88927750,0.04559709,0.12082100,0.05142931,0.03655166,0.11112080,0.01561347,0.78748239,1.33777057,-0.31406119,-0.20836785,-0.64656074,-0.09190313
0.300000,0.86348990,-0.10791929,1.48056914,0.00606955,1.60916493,0.88942926,0.05221652,0.13341066,0.04849277,0.03463706,0.10514800,0.01476197,0.53453879,1.17786606,-0.27241628,-0.17399568,-0.54628061,-0.07815247
0.310000,0.86403446,-0.10652911,1.48104119,0.00640783,1.61019089,0.88957322,0.05626052,0.14433818,0.04599536,0.03308102,0.10022421,0.01405456,0.27339217,1.00592052,-0.22646111,-0.13684048,-0.43729231,-0.06315828
0.320000,0.86460635,-0.10503842,1.48149063,0.00673244,1.61117315,0.88971087,0.05767690,0.15350048,0.04397342,0.03190588,0.09642047,0.01350148,0.01000668,0.82539739,-0.17754404,-0.09799877,-0.32280732,-0.04736200
0.330000,0.86517926,-0.10346522,1.48192232,0.00704726,1.61212316,0.88984378,0.05647308,0.16082908,0.04244985,0.03112301,0.09377569,0.01310853,-0.24965353,0.63976016,-0.12701343,-0.05856703,-0.20603713,-0.03120502
0.340000,0.86572729,-0.10182806,1.48234132,0.00735621,1.61305256,0.88997358,0.05271613,0.16629018,0.04143404,0.03073285,0.09229664,0.01287711,-0.49962430,0.45247228,-0.07621763,-0.01964180,-0.09019324,-0.01512876
0.350000,0.86622549,-0.10014564,1.48275269,0.00766319,1.61397290,0.89010185,0.04653277,0.16988457,0.04092189,0.03072483,0.09195803,0.01280421,-0.73394149,0.26699720,-0.02650500,0.01768044,0.02151288,0.00042536
