frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.108182,1787103503.123761,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,109.3355,0.00000000,0.00000367,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.209963,1787103503.233133,2528,50000,0,2528,18,1703,0.007120,0.225234,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.363229,,0,1.000000,SAFE,1,current,50000,247.3165,0.00000000,0.00000734,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00003604,0.00000000,0.00000000,0.00000000,0.00000000
2,0.437911,1787103503.480479,2426,50000,0,2426,24,1684,0.009893,0.225359,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.588494,0.989733,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.363221,,0,1.000000,SAFE,1,current,50000,170.4142,0.00511323,-0.00501786,1.56574905,-0.00195139,1.57079637,0.00511323,0.02243162,-0.02204542,-0.02215869,-0.00856070,0.00000000,0.02243162
3,0.603779,1787103503.650908,2447,50000,0,2447,30,1640,0.012260,0.223717,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.580739,0.974203,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.371759,,0,1.000000,SAFE,1,current,50000,153.2468,0.02064366,-0.01647311,1.55305409,-0.00382575,1.57079637,0.02071702,0.09363117,-0.06906240,-0.07653642,-0.01130031,0.00000000,0.09407345
4,0.757086,1787103503.804175,2416,50000,0,2416,15,1691,0.006209,0.223893,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.568366,0.950005,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.383622,,0,1.000000,SAFE,1,current,50000,171.3227,0.04484164,-0.02784767,1.53956676,-0.00541768,1.57079637,0.04497369,0.15783952,-0.07419437,-0.08797573,-0.01038386,0.00000000,0.15822233
5,0.931755,1787103503.975527,2406,50000,0,2406,47,1676,0.019534,0.223740,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.547107,0.909572,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.400962,,0,1.000000,SAFE,1,current,50000,175.3147,0.08527432,-0.04148906,1.52388954,-0.00732505,1.57079637,0.08549806,0.23148127,-0.07809842,-0.08975368,-0.01091992,0.00000000,0.23200627
6,1.103337,1787103504.150846,2445,50000,0,2445,15,1600,0.006135,0.227116,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.518081,0.856033,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.434228,,0,1.000000,SAFE,1,current,50000,147.1489,0.13881285,-0.05492505,1.50771368,-0.00925444,1.57079637,0.13915397,0.31203007,-0.07830680,-0.09427521,-0.01124471,0.00000000,0.31271412
7,1.254142,1787103504.298012,2504,50000,0,2504,42,1726,0.016773,0.222432,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.486735,0.799781,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.454792,,0,1.000000,SAFE,1,current,50000,170.5862,0.19506574,-0.06647567,1.49467742,-0.01093806,1.57079637,0.19556460,0.37301621,-0.07659287,-0.08644416,-0.01116421,0.00000000,0.37406222
8,1.424484,1787103504.468614,2484,50000,0,2484,27,1641,0.010870,0.222572,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.445513,0.727726,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462991,,0,1.000000,SAFE,1,current,50000,164.9523,0.26712048,-0.07955219,1.47943318,-0.01275740,1.57079637,0.26775506,0.42300142,-0.07676641,-0.08949220,-0.01068055,0.00000000,0.42379817
9,1.589967,1787103504.633586,2417,50000,0,2417,14,1724,0.005792,0.224355,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.403348,0.655851,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.465812,,0,1.000000,SAFE,1,current,50000,171.3459,0.33899549,-0.09224724,1.46462524,-0.01458408,1.57080007,0.33975476,0.43433420,-0.07671506,-0.08948305,-0.01103845,0.00002233,0.43508771
