tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.119717451,wrist1_Link,medium,0.149929712
0.040000,0.119694422,wrist1_Link,medium,0.149929712
0.080000,0.119569503,wrist1_Link,medium,0.149929712
0.120000,0.119325106,wrist1_Link,medium,0.149929712
0.160000,0.119003294,wrist1_Link,medium,0.149929712
0.200000,0.118669405,wrist1_Link,medium,0.149929712
0.240000,0.118377128,wrist1_Link,medium,0.149929712
0.280000,0.118145912,wrist1_Link,medium,0.149929712
0.320000,0.117965239,wrist1_Link,medium,0.149929712
0.360000,0.117808501,wrist1_Link,medium,0.149929712
0.400000,0.117646649,wrist1_Link,medium,0.149929712
0.440000,0.117461408,wrist1_Link,medium,0.149929712
0.480000,0.117253306,wrist1_Link,medium,0.149929712
0.520000,0.117036891,wrist1_Link,medium,0.149929712
0.560000,0.116831103,wrist1_Link,medium,0.149929712
0.600000,0.116649801,wrist1_Link,medium,0.149929712
0.640000,0.116492819,wrist1_Link,medium,0.149929712
0.680000,0.116342051,wrist1_Link,medium,0.149929712
0.720000,0.116169774,wrist1_Link,medium,0.149929712
0.760000,0.115951635,wrist1_Link,medium,0.149929712
0.800000,0.115679577,wrist1_Link,medium,0.149929712
0.840000,0.115373732,wrist1_Link,medium,0.149929712
0.880000,0.115083846,wrist1_Link,medium,0.149929712
0.920000,0.114866846,wrist1_Link,medium,0.149929712
0.960000,0.114756968,wrist1_Link,medium,0.149929712
1.000000,0.114736787,wrist1_Link,medium,0.149929712
