tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.121516802,wrist1_Link,medium,0.149929712
0.040000,0.121319734,wrist1_Link,medium,0.149929712
0.080000,0.120252323,wrist1_Link,medium,0.149929712
0.120000,0.118171868,wrist1_Link,medium,0.149929712
0.160000,0.115449378,wrist1_Link,medium,0.149929712
0.200000,0.112646759,wrist1_Link,medium,0.149929712
0.240000,0.110213432,wrist1_Link,medium,0.149929712
0.280000,0.108302699,wrist1_Link,medium,0.149929712
0.320000,0.106781122,wrist1_Link,medium,0.149929712
0.360000,0.105448025,wrist1_Link,medium,0.149929712
0.400000,0.104077049,wrist1_Link,medium,0.149929712
0.440000,0.102515300,wrist1_Link,medium,0.149929712
0.480000,0.100770627,wrist1_Link,medium,0.149929712
0.520000,0.098967893,wrist1_Link,medium,0.149929712
0.560000,0.097265327,wrist1_Link,medium,0.149929712
0.600000,0.095775256,wrist1_Link,medium,0.149929712
0.640000,0.094492925,wrist1_Link,medium,0.149929712
0.680000,0.093268529,wrist1_Link,medium,0.149929712
0.720000,0.091878415,wrist1_Link,medium,0.149929712
0.760000,0.090132600,wrist1_Link,medium,0.149929712
0.800000,0.087979065,wrist1_Link,medium,0.149929712
0.840000,0.085591840,wrist1_Link,medium,0.149929712
0.880000,0.083364647,wrist1_Link,medium,0.149929712
0.920000,0.081721611,wrist1_Link,medium,0.149929712
0.960000,0.080897968,wrist1_Link,medium,0.149929712
1.000000,0.080747321,wrist1_Link,medium,0.149929712
