frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
35,6.001195,0,1,1,49,0.515078,-0.484523,0.349852,0.092380,0.102819,0.051046,0.176045,
36,6.176403,0,1,1,99,0.504137,-0.472504,0.372018,0.091632,0.142011,0.065894,0.176447,0.155902
37,6.356846,0,1,0,104,0.511497,-0.463934,0.371113,0.101698,0.154531,0.083894,0.178228,0.063768
38,6.545766,0,1,1,98,0.516247,-0.456083,0.384474,0.095957,0.149956,0.075175,0.174210,0.085655
39,6.713959,0,1,0,135,0.519795,-0.438888,0.376260,0.104283,0.148074,0.095958,0.179719,0.113529
40,6.911583,0,1,0,148,0.528370,-0.432908,0.384374,0.100123,0.150782,0.113028,0.178626,0.067669
41,7.081817,0,1,0,202,0.520451,-0.421343,0.382751,0.117554,0.167313,0.139417,0.178247,0.081791
42,7.258936,0,1,0,218,0.530030,-0.415800,0.381375,0.115218,0.193853,0.186708,0.180452,0.063310
43,7.427471,0,1,0,237,0.530819,-0.400152,0.381496,0.115567,0.157773,0.190587,0.182508,0.092221
44,7.606949,0,1,0,209,0.534806,-0.369160,0.380130,0.114845,0.142299,0.192693,0.178775,0.175187
45,7.778892,0,1,0,191,0.542866,-0.350731,0.374562,0.110443,0.170367,0.197441,0.184023,0.120050
46,7.988135,0,1,0,176,0.545170,-0.322058,0.375215,0.109070,0.120160,0.183478,0.176209,0.137996
