t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.81984460,-0.11910821,1.43995774,-0.02013381,1.56381249,0.91180211,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.81984306,-0.11910838,1.43995748,-0.02013381,1.56381259,0.91180026,-0.00046050,-0.00005267,-0.00007600,-0.00000077,0.00002724,-0.00055365,-0.09116433,-0.01042981,-0.01504876,-0.00014883,0.00538808,-0.10961206
0.020000,0.81983245,-0.11910960,1.43995573,-0.02013383,1.56381321,0.91178750,-0.00180475,-0.00020655,-0.00029797,-0.00000286,0.00010657,-0.00217011,-0.17676915,-0.02024465,-0.02919462,-0.00026346,0.01041863,-0.21258514
0.030000,0.81980420,-0.11911283,1.43995107,-0.02013387,1.56381488,0.91175353,-0.00397776,-0.00045556,-0.00065696,-0.00000593,0.00023445,-0.00478370,-0.25693436,-0.02945903,-0.04245844,-0.00034360,0.01509900,-0.30906154
0.040000,0.81975031,-0.11911901,1.43994216,-0.02013395,1.56381805,0.91168871,-0.00692571,-0.00079377,-0.00114426,-0.00000962,0.00040741,-0.00833016,-0.33177987,-0.03808749,-0.05486106,-0.00038897,0.01943654,-0.39918356
0.050000,0.81966328,-0.11912899,1.43992778,-0.02013406,1.56382317,0.91158403,-0.01059602,-0.00121540,-0.00175138,-0.00001359,0.00062206,-0.01274666,-0.40142561,-0.04614453,-0.06642333,-0.00039929,0.02343861,-0.48309347
0.060000,0.81953615,-0.11914357,1.43990677,-0.02013422,1.56383062,0.91143109,-0.01493729,-0.00171481,-0.00247000,-0.00001749,0.00087509,-0.01797180,-0.46599147,-0.05364470,-0.07716611,-0.00037428,0.02711255,-0.56093359
0.070000,0.81936247,-0.11916352,1.43987804,-0.02013441,1.56384078,0.91122210,-0.01989932,-0.00228649,-0.00329204,-0.00002096,0.00116324,-0.02394558,-0.52559738,-0.06060250,-0.08711023,-0.00031367,0.03046571,-0.63284621
0.080000,0.81913626,-0.11918953,1.43984061,-0.02013463,1.56385399,0.91094987,-0.02543310,-0.00292510,-0.00420961,-0.00002364,0.00148335,-0.03060944,-0.58036324,-0.06703246,-0.09627654,-0.00021716,0.03350545,-0.69897362
0.090000,0.81885206,-0.11922223,1.43979355,-0.02013488,1.56387055,0.91060780,-0.03149085,-0.00362543,-0.00521504,-0.00002518,0.00183233,-0.03790624,-0.63040896,-0.07294910,-0.10468591,-0.00008449,0.03623912,-0.75945811
0.100000,0.81850485,-0.11926222,1.43973604,-0.02013513,1.56389073,0.91018983,-0.03802595,-0.00438242,-0.00630087,-0.00002521,0.00220714,-0.04578026,-0.67585446,-0.07836696,-0.11235916,0.00008464,0.03867406,-0.81444198
0.110000,0.81809010,-0.11931005,1.43966729,-0.02013538,1.56391477,0.90969045,-0.04499300,-0.00519115,-0.00745984,-0.00002336,0.00260484,-0.05417722,-0.71681965,-0.08330054,-0.11931716,0.00029049,0.04081763,-0.86406753
0.120000,0.81760370,-0.11936620,1.43958662,-0.02013559,1.56394289,0.90910471,-0.05234781,-0.00604686,-0.00868490,-0.00001928,0.00302255,-0.06304423,-0.75342444,-0.08776437,-0.12558075,0.00053336,0.04267718,-0.90847705
0.130000,0.81704199,-0.11943113,1.43949340,-0.02013575,1.56397528,0.90842817,-0.06004736,-0.00694492,-0.00996921,-0.00001257,0.00345746,-0.07232985,-0.78578873,-0.09177297,-0.13117078,0.00081352,0.04426006,-0.94781283
0.140000,0.81640174,-0.11950523,1.43938706,-0.02013583,1.56401209,0.90765689,-0.06804985,-0.00788085,-0.01130614,-0.00000288,0.00390685,-0.08198405,-0.81403245,-0.09534088,-0.13610810,0.00113125,0.04557362,-0.98221717
0.150000,0.81568012,-0.11958886,1.43926712,-0.02013580,1.56405345,0.90678742,-0.07631467,-0.00885032,-0.01268927,0.00001018,0.00436806,-0.09195823,-0.83827551,-0.09848260,-0.14041355,0.00148684,0.04662522,-1.01183237
0.160000,0.81487471,-0.11968233,1.43913314,-0.02013562,1.56409948,0.90581682,-0.08480242,-0.00984913,-0.01411238,0.00002698,0.00483851,-0.10220520,-0.85863781,-0.10121267,-0.14410799,0.00188055,0.04742219,-1.03680071
0.170000,0.81398346,-0.11978593,1.43898476,-0.02013525,1.56415024,0.90474256,-0.09347489,-0.01087325,-0.01556946,0.00004792,0.00531568,-0.11267923,-0.87523927,-0.10354560,-0.14721226,0.00231269,0.04797190,-1.05726450
0.180000,0.81300472,-0.11989987,1.43882166,-0.02013465,1.56420581,0.90356262,-0.10229507,-0.01191877,-0.01705473,0.00007337,0.00579714,-0.12333595,-0.88819980,-0.10549592,-0.14974721,0.00278351,0.04828169,-1.07336603
0.190000,0.81193718,-0.12002436,1.43864359,-0.02013376,1.56426619,0.90227538,-0.11122715,-0.01298194,-0.01856258,0.00010372,0.00628054,-0.13413248,-0.89763931,-0.10707815,-0.15173369,0.00329331,0.04835892,-1.08524759
0.200000,0.81077992,-0.12015955,1.43845035,-0.02013255,1.56433142,0.90087964,-0.12023652,-0.01405915,-0.02008764,0.00013936,0.00676357,-0.14502731,-0.90367771,-0.10830681,-0.15319255,0.00384237,0.04821093,-1.09305148
0.210000,0.80953231,-0.12030558,1.43824180,-0.02013096,1.56440146,0.89937464,-0.12928977,-0.01514695,-0.02162474,0.00018070,0.00724403,-0.15598039,-0.90643491,-0.10919643,-0.15414464,0.00443096,0.04784508,-1.09691999
0.220000,0.80819408,-0.12046252,1.43801783,-0.02012892,1.56447628,0.89775997,-0.13835468,-0.01624200,-0.02316891,0.00022812,0.00771977,-0.16695307,-0.90603084,-0.10976153,-0.15461080,0.00505936,0.04726872,-1.09699542
0.230000,0.80676528,-0.12063043,1.43777841,-0.02012637,1.56455583,0.89603564,-0.14740024,-0.01734114,-0.02471541,0.00028202,0.00818873,-0.17790813,-0.90258539,-0.11001663,-0.15461188,0.00572787,0.04648919,-1.09342006
0.240000,0.80524624,-0.12080934,1.43752353,-0.02012326,1.56464003,0.89420199,-0.15639665,-0.01844135,-0.02625967,0.00034281,0.00864890,-0.18880978,-0.89621848,-0.10997626,-0.15416874,0.00643675,0.04551385,-1.08633621
0.250000,0.80363761,-0.12099925,1.43725324,-0.02011949,1.56472877,0.89225973,-0.16531528,-0.01953973,-0.02779737,0.00041089,0.00909838,-0.19962363,-0.88705001,-0.10965493,-0.15330222,0.00718629,0.04435006,-1.07588616
0.260000,0.80194029,-0.12120012,1.43696762,-0.02011501,1.56482195,0.89020992,-0.17412871,-0.02063356,-0.02932437,0.00048667,0.00953530,-0.21031675,-0.87519992,-0.10906717,-0.15203317,0.00797676,0.04300515,-1.06221221
0.270000,0.80015547,-0.12141190,1.43666680,-0.02010973,1.56491943,0.88805391,-0.18281073,-0.02172024,-0.03083676,0.00057056,0.00995790,-0.22085761,-0.86078809,-0.10822750,-0.15038243,0.00880846,0.04148649,-1.04545665
0.280000,0.79828459,-0.12163450,1.43635094,-0.02010357,1.56502106,0.88579337,-0.19133633,-0.02279732,-0.03233082,0.00066298,0.01036448,-0.23121609,-0.84393445,-0.10715045,-0.14837086,0.00968165,0.03980142,-1.02576177
0.290000,0.79632934,-0.12186781,1.43602026,-0.02009644,1.56512666,0.88343029,-0.19968168,-0.02386250,-0.03380304,0.00076433,0.01075340,-0.24136352,-0.82475891,-0.10585054,-0.14601931,0.01059662,0.03795729,-1.00326988
0.300000,0.79429164,-0.12211170,1.43567497,-0.02008825,1.56523606,0.88096690,-0.20782417,-0.02491363,-0.03525014,0.00087505,0.01112312,-0.25127264,-0.80338138,-0.10434229,-0.14334862,0.01155366,0.03596145,-0.97812326
0.310000,0.79217361,-0.12236603,1.43531535,-0.02007891,1.56534905,0.87840572,-0.21574237,-0.02594870,-0.03666902,0.00099555,0.01147215,-0.26091761,-0.77992177,-0.10264022,-0.14037964,0.01255303,0.03382126,-0.95046421
0.320000,0.78997760,-0.12263061,1.43494169,-0.02006831,1.56546543,0.87574951,-0.22341607,-0.02696584,-0.03805681,0.00112625,0.01179908,-0.27027402,-0.75449999,-0.10075885,-0.13713321,0.01359502,0.03154407,-0.92043503
0.330000,0.78770617,-0.12290528,1.43455432,-0.02005635,1.56558496,0.87300127,-0.23082623,-0.02796333,-0.03941083,0.00126759,0.01210260,-0.27931888,-0.72723596,-0.09871272,-0.13363020,0.01467992,0.02913722,-0.88817801
0.340000,0.78536202,-0.12318981,1.43415360,-0.02004292,1.56570740,0.87016424,-0.23795504,-0.02893959,-0.04072863,0.00142000,0.01238142,-0.28803063,-0.69824958,-0.09651633,-0.12989145,0.01580800,0.02660807,-0.85383544
0.350000,0.78294806,-0.12348399,1.43373988,-0.02002791,1.56583250,0.86724184,-0.24478588,-0.02989320,-0.04200794,0.00158390,0.01263437,-0.29638911,-0.66766076,-0.09418423,-0.12593780,0.01697953,0.02396397,-0.81754962
0.360000,0.78046734,-0.12378759,1.43331357,-0.02001120,1.56596000,0.86423770,-0.25130332,-0.03082288,-0.04324674,0.00175973,0.01286034,-0.30437562,-0.63558943,-0.09173091,-0.12179010,0.01819482,0.02121227,-0.77946285
0.370000,0.77792308,-0.12410037,1.43287509,-0.01999268,1.56608961,0.86115562,-0.25749313,-0.03172747,-0.04444317,0.00194794,0.01305829,-0.31197284,-0.60215549,-0.08917092,-0.11746920,0.01945412,0.01836032,-0.73971742
0.380000,0.77531862,-0.12442206,1.43242485,-0.01997220,1.56622107,0.85799959,-0.26334228,-0.03260599,-0.04559561,0.00214896,0.01322724,-0.31916491,-0.56747885,-0.08651877,-0.11299596,0.02075773,0.01541547,-0.69845562
0.390000,0.77265741,-0.12475240,1.43196333,-0.01994965,1.56635406,0.85477372,-0.26883896,-0.03345758,-0.04670265,0.00236324,0.01336631,-0.32593737,-0.53167942,-0.08378898,-0.10839122,0.02210592,0.01238507,-0.65581974
0.400000,0.76994305,-0.12509112,1.43149096,-0.01992489,1.56648829,0.85148229,-0.27397253,-0.03428156,-0.04776307,0.00259123,0.01347468,-0.33227720,-0.49487712,-0.08099609,-0.10367582,0.02349898,0.00927647,-0.61195209
0.410000,0.76717920,-0.12543793,1.43100822,-0.01989778,1.56662345,0.84812966,-0.27873356,-0.03507734,-0.04877587,0.00283337,0.01355160,-0.33817279,-0.45719185,-0.07815460,-0.09887062,0.02493718,0.00609702,-0.56699496
0.420000,0.76436965,-0.12579257,1.43051560,-0.01986818,1.56675921,0.84472035,-0.28311382,-0.03584453,-0.04974025,0.00309012,0.01359641,-0.34361394,-0.41874353,-0.07527905,-0.09399646,0.02642081,0.00285408,-0.52109065
