t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.09405586,-0.42574691,0.86008109,0.09936405,1.62722328,0.25206718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.09405258,-0.42574728,0.86006994,0.09937365,1.62721740,0.25206535,-0.00096507,-0.00011345,-0.00328492,0.00282705,-0.00173374,-0.00053907,-0.18614538,-0.02362742,-0.63366431,0.54474978,-0.33444294,-0.10388976
0.020000,0.09403103,-0.42575005,0.85999656,0.09943672,1.62717866,0.25205332,-0.00359056,-0.00049000,-0.01222373,0.01049701,-0.00645170,-0.00200221,-0.33258615,-0.05248911,-1.13246303,0.97010425,-0.59773886,-0.18510279
0.030000,0.09397652,-0.42575812,0.85981096,0.09959589,1.62708070,0.25202295,-0.00749447,-0.00117811,-0.02551835,0.02186156,-0.01346928,-0.00417132,-0.44233050,-0.08581400,-1.50651000,1.28518638,-0.79526161,-0.24537366
0.040000,0.09387805,-0.42577479,0.85947567,0.09988274,1.62690372,0.25196821,-0.01232487,-0.00221858,-0.04197181,0.03586357,-0.02215560,-0.00684565,-0.51838660,-0.12283103,-1.76591905,1.49911908,-0.93238501,-0.28643696
0.050000,0.09372801,-0.42580377,0.85896466,0.10031873,1.62663396,0.25188497,-0.01775993,-0.00364447,-0.06048831,0.05153718,-0.03193356,-0.00984181,-0.56376265,-0.16276911,-1.92080401,1.62102532,-1.01448292,-0.31002729
0.060000,0.09352181,-0.42584905,0.85826235,0.10091613,1.62626316,0.25177085,-0.02350789,-0.00548113,-0.08007319,0.06800774,-0.04227976,-0.01299374,-0.58146682,-0.20485719,-1.98127871,1.66002802,-1.04692918,-0.31787924
0.070000,0.09325768,-0.42591483,0.85736262,0.10167892,1.62578804,0.25162507,-0.02930706,-0.00774621,-0.09983290,0.08449181,-0.05272455,-0.01615272,-0.57450729,-0.24832418,-1.95745699,1.62525013,-1.03509762,-0.31172739
0.080000,0.09293628,-0.42600544,0.85626777,0.10260369,1.62520973,0.25144822,-0.03492585,-0.01044964,-0.11897505,0.10029721,-0.06285203,-0.01918739,-0.54589226,-0.29239901,-1.85945269,1.52581459,-0.98436208,-0.29330633
0.090000,0.09256044,-0.42612529,0.85498750,0.10368058,1.62453327,0.25124212,-0.04016275,-0.01359365,-0.13680839,0.11482298,-0.07230002,-0.02198373,-0.49862991,-0.33631061,-1.69737963,1.37084434,-0.90009641,-0.26435066
0.100000,0.09213487,-0.42627876,0.85353794,0.10489418,1.62376703,0.25100966,-0.04484632,-0.01717274,-0.15274279,0.12755939,-0.08076010,-0.02444507,-0.43572842,-0.37928790,-1.48135165,1.16946233,-0.78767444,-0.22659495
0.110000,0.09166583,-0.42647015,0.85194061,0.10622440,1.62292222,0.25075460,-0.04883521,-0.02117372,-0.16628929,0.13808794,-0.08797757,-0.02649208,-0.36019597,-0.42055983,-1.22148258,0.93079149,-0.65247002,-0.18177380
0.120000,0.09116086,-0.42670357,0.85022142,0.10764747,1.62201230,0.25048141,-0.05201816,-0.02557568,-0.17706002,0.14608134,-0.09375147,-0.02806278,-0.27504075,-0.45935531,-0.92788626,0.66395476,-0.49985698,-0.13162181
0.130000,0.09062843,-0.42698291,0.84840963,0.10913678,1.62105250,0.25019508,-0.05431398,-0.03035000,-0.18476830,0.15130355,-0.09793459,-0.02911253,-0.18327094,-0.49490327,-0.61067652,0.37807510,-0.33520917,-0.07787355
0.140000,0.09007771,-0.42731170,0.84653689,0.11066381,1.62005923,0.24990099,-0.05567156,-0.03546035,-0.18922855,0.15360977,-0.10043345,-0.02961404,-0.08789473,-0.52643264,-0.27996719,0.08227543,-0.16390043,-0.02226361
0.150000,0.08951820,-0.42769309,0.84463618,0.11219907,1.61904958,0.24960467,-0.05606988,-0.04086269,-0.19035636,0.15294641,-0.10120831,-0.02955737,0.00807970,-0.55317234,0.05412790,-0.21432130,0.00869540,0.03347341
0.160000,0.08895948,-0.42812975,0.84274083,0.11371296,1.61804077,0.24931168,-0.05551800,-0.04650526,-0.18816842,0.14935110,-0.10027317,-0.02894993,0.10164417,-0.57435131,0.38149491,-0.50259215,0.17720448,0.08760292
0.170000,0.08841088,-0.42862380,0.84088348,0.11517674,1.61704960,0.24902742,-0.05405506,-0.05232861,-0.18278260,0.14295273,-0.09769576,-0.02781646,0.18979049,-0.58919848,0.69202001,-0.77341418,0.33625298,0.13839034
0.180000,0.08788119,-0.42917670,0.83909511,0.11656339,1.61609193,0.24875696,-0.05175028,-0.05826556,-0.17441788,0.13397139,-0.09359756,-0.02619905,0.26951048,-0.59694276,0.97558936,-1.01766445,0.48046704,0.18410108
