tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.161411783,left_link,medium,0.132121669
0.040000,0.161158272,left_link,medium,0.132121669
0.080000,0.159779109,left_link,medium,0.132121669
0.120000,0.157062128,left_link,medium,0.132121669
0.160000,0.153444457,left_link,medium,0.132121669
0.200000,0.149633851,left_link,medium,0.132121669
0.240000,0.146230179,left_link,medium,0.132121669
0.280000,0.143459080,left_link,medium,0.132121669
0.320000,0.141207790,left_link,medium,0.132121669
0.360000,0.139183786,left_link,medium,0.132121669
0.400000,0.137080367,left_link,medium,0.132121669
0.440000,0.134740552,left_link,medium,0.132121669
0.480000,0.132254466,left_link,medium,0.132121669
0.520000,0.129886511,left_link,medium,0.132121669
0.560000,0.127934729,left_link,medium,0.132121669
0.600000,0.126586255,left_link,medium,0.132121669
0.640000,0.125774305,left_link,medium,0.132121669
0.680000,0.125114440,left_link,medium,0.132121669
0.720000,0.124044991,left_link,medium,0.132121669
0.760000,0.122049199,left_link,medium,0.132121669
0.800000,0.118882166,left_link,medium,0.132121669
0.840000,0.114794100,left_link,medium,0.132121669
0.880000,0.110592315,left_link,medium,0.132121669
0.920000,0.107285494,left_link,medium,0.132121669
0.960000,0.105557883,left_link,medium,0.132121669
1.000000,0.105234848,left_link,medium,0.132121669
