tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.128117741,gripper_base_link,medium,0.132121669
0.040000,0.128213408,gripper_base_link,medium,0.132121669
0.080000,0.128733840,gripper_base_link,medium,0.132121669
0.120000,0.129759392,gripper_base_link,medium,0.132121669
0.160000,0.131124715,gripper_base_link,medium,0.132121669
0.200000,0.132559371,gripper_base_link,medium,0.132121669
0.240000,0.133830505,gripper_base_link,medium,0.132121669
0.280000,0.134846280,gripper_base_link,medium,0.132121669
0.320000,0.135646333,gripper_base_link,medium,0.132121669
0.360000,0.136344929,gripper_base_link,medium,0.132121669
0.400000,0.137070765,gripper_base_link,medium,0.132121669
0.440000,0.137907070,gripper_base_link,medium,0.132121669
0.480000,0.138853753,gripper_base_link,medium,0.132121669
0.520000,0.139846377,gripper_base_link,medium,0.132121669
0.560000,0.140798013,gripper_base_link,medium,0.132121669
0.600000,0.141549881,gripper_base_link,medium,0.132121669
0.640000,0.142166149,gripper_base_link,medium,0.132121669
0.680000,0.142760863,gripper_base_link,medium,0.132121669
0.720000,0.143443870,gripper_base_link,medium,0.132121669
0.760000,0.144314043,gripper_base_link,medium,0.132121669
0.800000,0.145407797,gripper_base_link,medium,0.132121669
0.840000,0.146648869,gripper_base_link,medium,0.132121669
0.880000,0.147836670,gripper_base_link,medium,0.132121669
0.920000,0.148733306,gripper_base_link,medium,0.132121669
0.960000,0.149189806,gripper_base_link,medium,0.132121669
1.000000,0.149273831,gripper_base_link,medium,0.132121669
