t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.42500626,0.41021997,1.71162511,-0.38720484,1.80795489,0.28755212,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000
0.010000,0.42499668,0.41021285,1.71162015,-0.38720090,1.80795218,0.28754431,-0.00282676,-0.00210192,-0.00146543,0.00116083,-0.00080071,-0.00230299,-0.54664500,-0.40715478,-0.28339322,0.22475428,-0.15496866,-0.44550688
0.020000,0.42493334,0.41016566,1.71158731,-0.38717485,1.80793422,0.28749269,-0.01057193,-0.00788742,-0.00548081,0.00435189,-0.00299948,-0.00861883,-0.98499880,-0.73760830,-0.51067154,0.40654950,-0.27996951,-0.80362196
0.030000,0.42477233,0.41004530,1.71150384,-0.38710848,1.80788850,0.28736137,-0.02219206,-0.01661621,-0.01150543,0.00915873,-0.00630733,-0.01810517,-1.32295221,-0.99670127,-0.68592126,0.54841683,-0.37713991,-1.08065970
0.040000,0.42447980,0.40982582,1.71135218,-0.38698758,1.80780527,0.28712262,-0.03672261,-0.02760138,-0.01903943,0.01519724,-0.01045663,-0.02998282,-1.56839607,-1.18977437,-0.81322867,0.65338744,-0.44861717,-1.28293456
0.050000,0.42403114,0.40948787,1.71111955,-0.38680162,1.80767738,0.28675614,-0.05327792,-0.04020944,-0.02762382,0.02211359,-0.01520115,-0.04353570,-1.72922118,-1.32216830,-0.89668008,0.72449251,-0.49653866,-1.41676101
0.060000,0.42341019,0.40901816,1.71079760,-0.38654346,1.80750002,0.28624850,-0.07105127,-0.05386029,-0.03684047,0.02958431,-0.02031601,-0.05811092,-1.81331836,-1.39922375,-0.94036179,0.76476322,-0.52304171,-1.48845352
0.070000,0.42260849,0.40840895,1.71038190,-0.38620906,1.80727051,0.28559249,-0.08931483,-0.06802725,-0.04631211,0.03731618,-0.02559772,-0.07311871,-1.82857842,-1.42628143,-0.94836010,0.77723075,-0.53026365,-1.50432653
0.080000,0.42162443,0.40765748,1.70987163,-0.38579715,1.80698812,0.28478645,-0.10741969,-0.08223706,-0.05570235,0.04504635,-0.03086414,-0.08803244,-1.78289219,-1.40868201,-0.92476131,0.76492627,-0.52034183,-1.47069453
0.090000,0.42046253,0.40676547,1.70926911,-0.38530892,1.80665382,0.28383370,-0.12479582,-0.09606984,-0.06471563,0.05254224,-0.03595453,-0.10238863,-1.68415048,-1.35176620,-0.87365172,0.73088095,-0.49541359,-1.39387197
0.100000,0.41913259,0.40573856,1.70857943,-0.38474776,1.80627008,0.28274188,-0.14095215,-0.10915913,-0.07309730,0.05960160,-0.04072952,-0.11578696,-1.54024410,-1.26087470,-0.79911763,0.67812598,-0.45761627,-1.28017331
0.110000,0.41764894,0.40458581,1.70780999,-0.38411892,1.80584067,0.28152229,-0.15547646,-0.12119188,-0.08063353,0.06605250,-0.04507109,-0.12789022,-1.35906387,-1.14134819,-0.70524535,0.60969252,-0.40908722,-1.13591302
0.120000,0.41602962,0.40331912,1.70697016,-0.38342921,1.80537043,0.28018931,-0.16803548,-0.13190845,-0.08715137,0.07175329,-0.04888261,-0.13842439,-1.14850061,-0.99852737,-0.59612117,0.52861177,-0.35196376,-0.96740556
0.130000,0.41429564,0.40195272,1.70607080,-0.38268673,1.80486504,0.27875974,-0.17837483,-0.14110259,-0.09251873,0.07659268,-0.05208884,-0.14717856,-0.91644513,-0.83775293,-0.47583140,0.43791488,-0.28838324,-0.78096539
0.140000,0.41247012,0.40050266,1.70512392,-0.38190051,1.80433085,0.27725217,-0.18631905,-0.14862146,-0.09664440,0.08048964,-0.05463588,-0.15400497,-0.67078825,-0.66436557,-0.34846233,0.34063304,-0.22048301,-0.58290699
0.150000,0.41057757,0.39898622,1.70414223,-0.38108025,1.80377463,0.27568636,-0.19177156,-0.15436566,-0.09947800,0.08339349,-0.05649122,-0.15881902,-0.41942079,-0.48370599,-0.21810026,0.23979743,-0.15040040,-0.37954480
