tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.234682762,upperArm_Link,medium,0.119501167
0.040000,0.233259433,upperArm_Link,medium,0.119501167
0.080000,0.232048096,upperArm_Link,medium,0.119501167
0.120000,0.231084304,upperArm_Link,medium,0.119501167
0.160000,0.230308649,upperArm_Link,medium,0.119501167
0.200000,0.229611533,upperArm_Link,medium,0.119501167
0.240000,0.228896887,upperArm_Link,medium,0.119501167
0.280000,0.228140864,upperArm_Link,medium,0.119501167
0.320000,0.227394735,upperArm_Link,medium,0.119501167
0.360000,0.226756189,upperArm_Link,medium,0.119501167
0.400000,0.226333129,upperArm_Link,medium,0.119501167
0.440000,0.226201837,upperArm_Link,medium,0.119501167
0.480000,0.226370923,upperArm_Link,medium,0.119501167
0.520000,0.226778763,upperArm_Link,medium,0.119501167
0.560000,0.227310783,upperArm_Link,medium,0.119501167
0.600000,0.227828492,upperArm_Link,medium,0.119501167
0.640000,0.226098418,left_link,medium,0.119501167
0.680000,0.221268934,left_link,medium,0.119501167
0.720000,0.217931192,left_link,medium,0.119501167
0.760000,0.216143697,left_link,medium,0.119501167
0.800000,0.215672156,left_link,medium,0.119501167
0.840000,0.215912432,left_link,medium,0.119501167
0.880000,0.215925531,left_link,medium,0.119501167
0.920000,0.214754922,left_link,medium,0.119501167
0.960000,0.211853458,left_link,medium,0.119501167
1.000000,0.207517408,left_link,medium,0.119501167
