tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.234682762,upperArm_Link,medium,0.119501167
0.040000,0.233255439,upperArm_Link,medium,0.119501167
0.080000,0.232024021,upperArm_Link,medium,0.119501167
0.120000,0.231027882,upperArm_Link,medium,0.119501167
0.160000,0.230228723,upperArm_Link,medium,0.119501167
0.200000,0.229545331,upperArm_Link,medium,0.119501167
0.240000,0.228898088,upperArm_Link,medium,0.119501167
0.280000,0.228248874,upperArm_Link,medium,0.119501167
0.320000,0.227605131,upperArm_Link,medium,0.119501167
0.360000,0.227004657,upperArm_Link,medium,0.119501167
0.400000,0.226495425,upperArm_Link,medium,0.119501167
0.440000,0.226112032,upperArm_Link,medium,0.119501167
0.480000,0.225857872,upperArm_Link,medium,0.119501167
0.520000,0.225709114,upperArm_Link,medium,0.119501167
0.560000,0.225629693,upperArm_Link,medium,0.119501167
0.600000,0.225589493,upperArm_Link,medium,0.119501167
0.640000,0.225584877,upperArm_Link,medium,0.119501167
0.680000,0.225651149,upperArm_Link,medium,0.119501167
0.720000,0.225848879,upperArm_Link,medium,0.119501167
0.760000,0.223891631,left_link,medium,0.119501167
0.800000,0.219440471,left_link,medium,0.119501167
0.840000,0.215047447,left_link,medium,0.119501167
0.880000,0.210667368,left_link,medium,0.119501167
0.920000,0.206233197,left_link,medium,0.119501167
0.960000,0.201692446,left_link,medium,0.119501167
1.000000,0.197053502,left_link,medium,0.119501167
