tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.215071801,left_link,medium,0.130650832
0.040000,0.215008425,left_link,medium,0.130650832
0.080000,0.214608433,left_link,medium,0.130650832
0.120000,0.213649244,left_link,medium,0.130650832
0.160000,0.212020460,left_link,medium,0.130650832
0.200000,0.209611621,left_link,medium,0.130650832
0.240000,0.205684068,left_link,medium,0.130650832
0.280000,0.201036599,left_link,medium,0.130650832
0.320000,0.195862122,left_link,medium,0.130650832
0.360000,0.190383583,left_link,medium,0.130650832
0.400000,0.184829668,left_link,medium,0.130650832
0.440000,0.179410562,left_link,medium,0.130650832
0.480000,0.174295122,left_link,medium,0.130650832
0.520000,0.169595364,left_link,medium,0.130650832
0.560000,0.165368165,left_link,medium,0.130650832
0.600000,0.161624755,left_link,medium,0.130650832
0.640000,0.158340407,left_link,medium,0.130650832
0.680000,0.155463502,left_link,medium,0.130650832
0.720000,0.152923757,left_link,medium,0.130650832
0.760000,0.150639662,left_link,medium,0.130650832
0.800000,0.148525311,left_link,medium,0.130650832
0.840000,0.146496846,left_link,medium,0.130650832
0.880000,0.144478656,left_link,medium,0.130650832
0.920000,0.142409273,left_link,medium,0.130650832
0.960000,0.140245698,left_link,medium,0.130650832
1.000000,0.137963260,left_link,medium,0.130650832
1.040000,0.135553084,left_link,medium,0.130650832
1.080000,0.133019366,left_link,medium,0.130650832
1.120000,0.130376634,left_link,medium,0.130650832
1.160000,0.127647119,left_link,medium,0.130650832
1.200000,0.124858361,left_link,medium,0.130650832
1.240000,0.122041222,left_link,medium,0.130650832
1.280000,0.119228431,left_link,medium,0.130650832
1.320000,0.116453807,left_link,medium,0.130650832
1.360000,0.113752226,left_link,medium,0.130650832
1.400000,0.111160184,left_link,medium,0.130650832
1.440000,0.108716104,left_link,medium,0.130650832
1.480000,0.106460029,left_link,medium,0.130650832
1.520000,0.104432875,left_link,medium,0.130650832
1.560000,0.102675266,left_link,medium,0.130650832
1.600000,0.101225981,left_link,medium,0.130650832
1.640000,0.100120004,left_link,medium,0.130650832
1.680000,0.099386206,left_link,medium,0.130650832
1.720000,0.099044645,left_link,medium,0.130650832
1.760000,0.099103470,left_link,medium,0.130650832
1.800000,0.099555453,left_link,medium,0.130650832
1.840000,0.100374815,left_link,medium,0.130650832
1.880000,0.101517291,left_link,medium,0.130650832
1.920000,0.102923030,left_link,medium,0.130650832
1.960000,0.104520180,left_link,medium,0.130650832
2.000000,0.105986458,left_link,medium,0.130650832
2.040000,0.107035556,left_link,medium,0.130650832
2.080000,0.108035748,left_link,medium,0.130650832
2.120000,0.108908847,left_link,medium,0.130650832
2.160000,0.109586724,left_link,medium,0.130650832
2.200000,0.110016724,left_link,medium,0.130650832
2.240000,0.110167168,left_link,medium,0.130650832
2.280000,0.110032232,left_link,medium,0.130650832
2.320000,0.109632597,left_link,medium,0.130650832
2.360000,0.109012125,left_link,medium,0.130650832
2.400000,0.108233732,left_link,medium,0.130650832
2.440000,0.107374920,left_link,medium,0.130650832
2.480000,0.106523022,left_link,medium,0.130650832
2.520000,0.105770183,left_link,medium,0.130650832
2.560000,0.105208137,left_link,medium,0.130650832
2.600000,0.104922853,left_link,medium,0.130650832
2.640000,0.104989147,left_link,medium,0.130650832
2.680000,0.105465384,left_link,medium,0.130650832
2.720000,0.106388798,left_link,medium,0.130650832
2.760000,0.107774053,left_link,medium,0.130650832
2.800000,0.109615207,left_link,medium,0.130650832
2.840000,0.111888444,left_link,medium,0.130650832
2.880000,0.114555041,left_link,medium,0.130650832
2.920000,0.117564453,left_link,medium,0.130650832
2.960000,0.120857436,left_link,medium,0.130650832
3.000000,0.124369120,left_link,medium,0.130650832
3.040000,0.128031970,left_link,medium,0.130650832
3.080000,0.131778621,left_link,medium,0.130650832
3.120000,0.135544571,left_link,medium,0.130650832
3.160000,0.139270628,left_link,medium,0.130650832
3.200000,0.142904222,left_link,medium,0.130650832
3.240000,0.146399408,left_link,medium,0.130650832
3.280000,0.149716596,left_link,medium,0.130650832
3.320000,0.152822245,left_link,medium,0.130650832
3.360000,0.155688544,left_link,medium,0.130650832
3.400000,0.158293085,left_link,medium,0.130650832
3.440000,0.160618532,left_link,medium,0.130650832
3.480000,0.162652299,left_link,medium,0.130650832
3.520000,0.164386220,left_link,medium,0.130650832
3.560000,0.165816242,left_link,medium,0.130650832
3.600000,0.166942112,left_link,medium,0.130650832
3.640000,0.167767080,left_link,medium,0.130650832
3.680000,0.168297600,left_link,medium,0.130650832
3.720000,0.168543045,left_link,medium,0.130650832
3.760000,0.168515426,left_link,medium,0.130650832
3.800000,0.168229111,left_link,medium,0.130650832
3.840000,0.167700548,left_link,medium,0.130650832
3.880000,0.166948003,left_link,medium,0.130650832
3.920000,0.165991282,left_link,medium,0.130650832
3.960000,0.164851473,left_link,medium,0.130650832
4.000000,0.163550674,left_link,medium,0.130650832
4.040000,0.161907721,right_link,medium,0.130650832
4.080000,0.160052703,right_link,medium,0.130650832
4.120000,0.158130062,right_link,medium,0.130650832
4.160000,0.156160441,right_link,medium,0.130650832
4.200000,0.154164126,right_link,medium,0.130650832
4.240000,0.152160785,right_link,medium,0.130650832
4.280000,0.150169198,right_link,medium,0.130650832
4.320000,0.148207002,right_link,medium,0.130650832
4.360000,0.146290435,right_link,medium,0.130650832
4.400000,0.144434081,right_link,medium,0.130650832
4.440000,0.142650630,right_link,medium,0.130650832
4.480000,0.140950633,right_link,medium,0.130650832
4.520000,0.139342266,right_link,medium,0.130650832
4.560000,0.137831103,right_link,medium,0.130650832
4.600000,0.136419994,right_link,medium,0.130650832
4.640000,0.135109202,right_link,medium,0.130650832
4.680000,0.133896643,right_link,medium,0.130650832
4.720000,0.132778125,right_link,medium,0.130650832
4.760000,0.131747595,right_link,medium,0.130650832
4.800000,0.130797387,right_link,medium,0.130650832
4.840000,0.129918468,right_link,medium,0.130650832
4.880000,0.129100688,right_link,medium,0.130650832
4.920000,0.128333023,right_link,medium,0.130650832
4.960000,0.127603828,right_link,medium,0.130650832
