tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.215071801,left_link,medium,0.130650832
0.040000,0.215007796,left_link,medium,0.130650832
0.080000,0.214604160,left_link,medium,0.130650832
0.120000,0.213637171,left_link,medium,0.130650832
0.160000,0.211996920,left_link,medium,0.130650832
0.200000,0.209583824,left_link,medium,0.130650832
0.240000,0.205646681,left_link,medium,0.130650832
0.280000,0.200992561,left_link,medium,0.130650832
0.320000,0.195817013,left_link,medium,0.130650832
0.360000,0.190345526,left_link,medium,0.130650832
0.400000,0.184808835,left_link,medium,0.130650832
0.440000,0.179418191,left_link,medium,0.130650832
0.480000,0.174341965,left_link,medium,0.130650832
0.520000,0.169689721,left_link,medium,0.130650832
0.560000,0.165514033,left_link,medium,0.130650832
0.600000,0.161820431,left_link,medium,0.130650832
0.640000,0.158577657,left_link,medium,0.130650832
0.680000,0.155727361,left_link,medium,0.130650832
0.720000,0.153192968,left_link,medium,0.130650832
0.760000,0.150887737,left_link,medium,0.130650832
0.800000,0.148722181,left_link,medium,0.130650832
0.840000,0.146611084,left_link,medium,0.130650832
0.880000,0.144480274,left_link,medium,0.130650832
0.920000,0.142273163,left_link,medium,0.130650832
0.960000,0.139955547,left_link,medium,0.130650832
1.000000,0.137515066,left_link,medium,0.130650832
1.040000,0.134957765,left_link,medium,0.130650832
1.080000,0.132304361,left_link,medium,0.130650832
1.120000,0.129586400,left_link,medium,0.130650832
1.160000,0.126842361,left_link,medium,0.130650832
1.200000,0.124113804,left_link,medium,0.130650832
1.240000,0.121441741,left_link,medium,0.130650832
1.280000,0.118863373,left_link,medium,0.130650832
1.320000,0.116409387,left_link,medium,0.130650832
1.360000,0.114101955,left_link,medium,0.130650832
1.400000,0.111953847,left_link,medium,0.130650832
1.440000,0.109969559,left_link,medium,0.130650832
1.480000,0.108147434,left_link,medium,0.130650832
1.520000,0.106481697,left_link,medium,0.130650832
1.560000,0.104964264,left_link,medium,0.130650832
1.600000,0.103586290,left_link,medium,0.130650832
1.640000,0.102339455,left_link,medium,0.130650832
1.680000,0.101216967,left_link,medium,0.130650832
1.720000,0.100214280,left_link,medium,0.130650832
