frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
40,6.759990,1,1,0.550824,-0.476142,0.364554,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.096723,0.108991,0.163991,0.096723,0.017801,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
41,6.929938,1,2,0.572804,-0.468155,0.374309,0.012580,0.090858,0.090858,0.109662,0.078814,0.028637,0.034979,0.139782,0.090858,0.121252,0.044057,0.053813,0.650,0.101146,0.111854,0.166854,0.101146,0.015659,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
42,7.109459,1,3,0.544898,-0.446257,0.369099,0.016970,0.075214,0.075214,0.128334,0.055012,0.042057,0.029358,0.084830,0.075214,-0.016320,0.082299,0.012517,0.250,0.102806,0.123136,0.178136,0.102806,0.022580,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
43,7.296285,1,4,0.550060,-0.435492,0.372120,0.026646,0.068585,0.068585,0.065332,0.008465,0.066029,0.016503,0.075628,0.068585,-0.001396,0.074339,0.013837,0.650,0.099811,0.119493,0.174493,0.099811,0.024240,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
44,7.465831,1,5,0.576589,-0.448822,0.380576,0.027141,0.064717,0.064717,0.081493,0.010243,0.061734,0.016499,0.056895,0.064717,0.035904,0.038071,0.022328,0.250,0.103283,0.117830,0.172830,0.103283,0.009664,0,0,0,0,"speed_ok,valid_streak_not_ready"
45,7.651579,1,6,0.553334,-0.430146,0.372009,0.028661,0.058528,0.058528,0.136693,0.006559,0.056617,0.013303,0.059406,0.058528,-0.027045,0.052797,-0.003195,0.250,0.109978,0.123593,0.178593,0.109978,0.021460,0,0,0,0,"speed_ok,valid_streak_not_ready"
46,7.823452,1,7,0.571650,-0.423652,0.370606,0.033248,0.052282,0.052282,0.063683,0.012821,0.049614,0.010368,0.049192,0.052282,0.037539,0.031721,0.002115,0.250,0.108328,0.126173,0.181173,0.108328,0.022912,0,0,0,0,"speed_ok,valid_streak_not_ready"
47,7.993851,1,8,0.565511,-0.415179,0.373098,0.036396,0.048911,0.048911,0.081824,0.013243,0.046619,0.006600,0.036550,0.048911,0.022111,0.029070,0.001400,0.250,0.115806,0.128824,0.183824,0.115806,0.018436,0,0,0,0,"speed_ok,valid_streak_not_ready"
48,8.157776,1,9,0.563772,-0.404581,0.372080,0.040350,0.055363,0.055363,0.038172,-0.000579,0.055230,-0.003785,0.067508,0.055363,-0.018474,0.063766,-0.012246,0.650,0.115434,0.127667,0.182667,0.115434,0.017893,0,0,0,0,"speed_ok,valid_streak_not_ready"
49,8.349444,1,10,0.573087,-0.397099,0.369952,0.041722,0.053936,0.053936,0.042046,0.004175,0.053676,-0.003236,0.055081,0.053936,0.028220,0.047211,-0.002938,0.250,0.114365,0.127297,0.182297,0.114365,0.019521,0,0,0,0,"speed_ok,valid_streak_not_ready"
50,8.521917,1,11,0.556548,-0.374136,0.360993,0.050523,0.063326,0.063326,0.188133,-0.006800,0.062238,-0.009511,0.075390,0.063326,-0.021624,0.070899,-0.013765,0.650,0.118892,0.129182,0.184182,0.118892,0.032211,0,0,0,0,"speed_ok,valid_streak_not_ready"
51,8.698593,1,12,0.592114,-0.365576,0.367609,0.058291,0.072243,0.072243,0.116108,0.014459,0.069825,-0.011596,0.081401,0.072243,0.038291,0.071396,-0.007901,0.650,0.119890,0.148926,0.203926,0.119890,0.010958,0,0,0,0,"speed_ok,valid_streak_not_ready"
52,8.866607,1,13,0.566743,-0.341116,0.369247,0.065260,0.084510,0.084510,0.225401,0.014097,0.083021,-0.007121,0.089810,0.084510,0.004195,0.089622,-0.004001,0.650,0.113737,0.133578,0.188578,0.113737,0.023774,1,1,1,0,valid_streak_not_ready
53,9.046695,1,14,0.578158,-0.317494,0.353507,0.075702,0.102144,0.102144,0.024273,0.012251,0.100715,-0.011824,0.116219,0.102144,0.007237,0.113595,-0.023467,0.650,0.120698,0.168804,0.223804,0.120698,0.030004,2,1,1,1,
54,9.246158,1,15,0.575313,-0.290978,0.365623,0.083855,0.113298,0.113298,0.185596,0.012303,0.112474,-0.005891,0.117838,0.113298,0.025900,0.114779,0.006390,0.650,0.114227,0.149089,0.204089,0.114227,0.017858,3,1,1,1,
55,9.427334,1,16,0.571084,-0.276331,0.369968,0.089410,0.119613,0.119613,0.089312,-0.007279,0.119381,-0.001546,0.124098,0.119613,-0.028453,0.120750,0.003192,0.650,0.112940,0.139711,0.194711,0.112940,0.019985,4,1,1,1,
