tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.203982069,upperArm_Link,medium,0.128406517
0.040000,0.203613460,upperArm_Link,medium,0.128406517
0.080000,0.203485247,upperArm_Link,medium,0.128406517
0.120000,0.203645928,upperArm_Link,medium,0.128406517
0.160000,0.204043719,upperArm_Link,medium,0.128406517
0.200000,0.204572374,upperArm_Link,medium,0.128406517
0.240000,0.205128805,upperArm_Link,medium,0.128406517
0.280000,0.205663921,upperArm_Link,medium,0.128406517
0.320000,0.206187048,upperArm_Link,medium,0.128406517
0.360000,0.206745868,upperArm_Link,medium,0.128406517
0.400000,0.207400366,upperArm_Link,medium,0.128406517
0.440000,0.208193012,upperArm_Link,medium,0.128406517
0.480000,0.205338092,left_link,medium,0.128406517
0.520000,0.201535187,left_link,medium,0.128406517
0.560000,0.197769164,left_link,medium,0.128406517
0.600000,0.194024488,left_link,medium,0.128406517
0.640000,0.190297391,left_link,medium,0.128406517
0.680000,0.186606020,left_link,medium,0.128406517
0.720000,0.182986439,left_link,medium,0.128406517
0.760000,0.179479510,left_link,medium,0.128406517
0.800000,0.176112493,left_link,medium,0.128406517
0.840000,0.172873284,left_link,medium,0.128406517
0.880000,0.169690623,left_link,medium,0.128406517
0.920000,0.166456411,left_link,medium,0.128406517
0.960000,0.163083644,left_link,medium,0.128406517
1.000000,0.159582321,left_link,medium,0.128406517
