tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.117817649,left_link,medium,0.121020013
0.040000,0.115634554,left_link,medium,0.121020013
0.080000,0.113237790,left_link,medium,0.121020013
0.120000,0.110711882,left_link,medium,0.121020013
0.160000,0.108308031,left_link,medium,0.121020013
0.200000,0.106266433,left_link,medium,0.121020013
0.240000,0.104645382,left_link,medium,0.121020013
0.280000,0.103228087,left_link,medium,0.121020013
0.320000,0.101619677,left_link,medium,0.121020013
0.360000,0.099372641,left_link,medium,0.121020013
0.400000,0.095852336,gripper_base_link,medium,0.121020013
0.440000,0.091538123,gripper_base_link,medium,0.121020013
0.480000,0.086937343,gripper_base_link,medium,0.121020013
0.520000,0.082847770,gripper_base_link,medium,0.121020013
0.560000,0.080096285,gripper_base_link,medium,0.121020013
0.600000,0.079274724,gripper_base_link,medium,0.121020013
0.640000,0.080482650,gripper_base_link,medium,0.121020013
0.680000,0.083196597,gripper_base_link,medium,0.121020013
0.720000,0.086225626,gripper_base_link,medium,0.121020013
0.760000,0.088296962,gripper_base_link,medium,0.121020013
0.800000,0.088978251,gripper_base_link,medium,0.121020013
0.840000,0.087950468,gripper_base_link,medium,0.121020013
0.880000,0.085563792,gripper_base_link,medium,0.121020013
0.920000,0.082582833,gripper_base_link,medium,0.121020013
0.960000,0.079762632,gripper_base_link,medium,0.121020013
1.000000,0.077411926,gripper_base_link,medium,0.121020013
