t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.78724272,-0.11773111,1.46679072,0.08802858,1.67791974,0.90724635,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.78723709,-0.11773049,1.46679275,0.08803366,1.67792851,0.90724812,-0.00165851,0.00018105,0.00059749,0.00150143,0.00258906,0.00052316,-0.31953483,0.03456499,0.11481213,0.29075471,0.50166517,0.10114604
0.020000,0.78720009,-0.11772650,1.46680604,0.08806736,1.67798666,0.90725984,-0.00615660,0.00065980,0.00220623,0.00563095,0.00972110,0.00195565,-0.56884078,0.05967998,0.20262093,0.52626706,0.90966995,0.18211150
0.030000,0.78710675,-0.11771661,1.46683938,0.08815326,1.67813505,0.90728962,-0.01281974,0.00134596,0.00456733,0.01185557,0.02049175,0.00410306,-0.75347066,0.07618889,0.26565607,0.71042130,1.23046133,0.24437620
0.040000,0.78693855,-0.11769916,1.46689910,0.08830981,1.67840581,0.90734369,-0.02102894,0.00215770,0.00744421,0.01968113,0.03406111,0.00678577,-0.87897727,0.08493561,0.30614718,0.84710167,1.47048630,0.28941996
0.050000,0.78668290,-0.11767328,1.46698927,0.08855070,1.67882301,0.90742657,-0.03022072,0.00302162,0.01062256,0.02865231,0.04965374,0.00983899,-0.95091341,0.08676405,0.32632394,0.94019243,1.63619185,0.31872260
0.060000,0.78633256,-0.11763877,1.46711192,0.08888528,1.67940326,0.90754120,-0.03988715,0.00387274,0.01391040,0.03835263,0.06655870,0.01311269,-0.97483187,0.08251812,0.32841597,0.99357783,1.73402496,0.33376394
0.070000,0.78588509,-0.11759606,1.46726727,0.08931892,1.68015639,0.90768910,-0.04957581,0.00465454,0.01713803,0.04840446,0.08412949,0.01647166,-0.95628546,0.07304172,0.31465295,1.01114210,1.77043263,0.33602382
0.080000,0.78534230,-0.11754607,1.46745398,0.08985341,1.68108612,0.90787051,-0.05888981,0.00531895,0.02015804,0.05846902,0.10178409,0.01979549,-0.90082697,0.05917875,0.28726452,0.99676950,1.75186183,0.32698204
0.090000,0.78470968,-0.11749020,1.46766932,0.09048734,1.68219062,0.90808454,-0.06748781,0.00582631,0.02284534,0.06824634,0.11900496,0.02297856,-0.81400921,0.04177311,0.24848034,0.95434427,1.68475957,0.30811843
0.100000,0.78399589,-0.11743018,1.46790943,0.09121650,1.68346325,0.90832931,-0.07508398,0.00614542,0.02509710,0.07747534,0.13533900,0.02593005,-0.70138498,0.02166872,0.20053005,0.88775067,1.57557282,0.28091282
0.110000,0.78321212,-0.11736800,1.46816954,0.09203427,1.68489315,0.90860212,-0.08144800,0.00625350,0.02683281,0.08593374,0.15039762,0.02857394,-0.56850707,-0.00029053,0.14564332,0.80087294,1.43074858,0.24684502
0.120000,0.78237162,-0.11730586,1.46844417,0.09293199,1.68646587,0.90889956,-0.08640512,0.00613624,0.02799427,0.09343813,0.16385667,0.03084901,-0.42092829,-0.02326072,0.08604979,0.69759533,1.25673384,0.20739486
0.130000,0.78148911,-0.11724604,1.46872739,0.09389937,1.68816407,0.90921771,-0.08983607,0.00578773,0.02854555,0.09984393,0.17545649,0.03270883,-0.26420144,-0.04639797,0.02397911,0.58180209,1.05997558,0.16404216
0.140000,0.78058021,-0.11719087,1.46901300,0.09492485,1.68996814,0.90955225,-0.09167716,0.00521053,0.02847303,0.10504540,0.18500186,0.03412178,-0.10387931,-0.06885835,-0.03833906,0.45737746,0.84692079,0.11826675
0.150000,0.77966090,-0.11714256,1.46929480,0.09599604,1.69185682,0.90989860,-0.09192018,0.00441563,0.02778538,0.10897566,0.19236207,0.03507103,0.05448530,-0.08979797,-0.09867506,0.32820570,0.62401646,0.07154844
0.160000,0.77874698,-0.11710322,1.46956676,0.09710003,1.69380787,0.91025211,-0.09061249,0.00342245,0.02651357,0.11160664,0.19747085,0.03555454,0.20533957,-0.10837293,-0.15479926,0.19817104,0.39770958,0.02536705
0.170000,0.77785348,-0.11707468,1.46982330,0.09822387,1.69579872,0.91060818,-0.08785694,0.00225887,0.02471087,0.11294915,0.20032641,0.03558509,0.34313073,-0.12373931,-0.20448198,0.07115775,0.17444713,-0.01879758
0.180000,0.77699414,-0.11705849,1.47005946,0.09935488,1.69780709,0.91096239,-0.08381193,0.00096118,0.02245283,0.11305281,0.20099143,0.03519024,0.46230596,-0.13505322,-0.24549359,-0.04894994,-0.03932389,-0.05946564
0.190000,0.77618083,-0.11705576,1.47027116,0.10048109,1.69981166,0.91131070,-0.07869138,-0.00042587,0.01983733,0.11200612,0.19959306,0.03441236,0.55731246,-0.14147075,-0.27560443,-0.15826778,-0.23715649,-0.09515731
0.200000,0.77542301,-0.11706713,1.47045541,0.10159159,1.70179271,0.91164955,-0.07276475,-0.00184910,0.01698451,0.10993637,0.19632292,0.03330862,0.62259743,-0.14214799,-0.29258484,-0.25291151,-0.41260370,-0.12439276
0.210000,0.77472716,-0.11709266,1.47061053,0.10267695,1.70373272,0.91197603,-0.06635324,-0.00324755,0.01403523,0.10700760,0.19143374,0.03195008,0.65411829,-0.13650500,-0.29484720,-0.32985637,-0.56055936,-0.14604643
0.220000,0.77409645,-0.11713179,1.47073628,0.10372947,1.70561691,0.91228796,-0.05978827,-0.00455972,0.01113336,0.10339686,0.18520251,0.03041199,0.65387326,-0.12501766,-0.28337196,-0.38951546,-0.68128071,-0.16040980
0.230000,0.77353090,-0.11718338,1.47083379,0.10474317,1.70743318,0.91258390,-0.05336996,-0.00573089,0.00840817,0.09927067,0.17789358,0.02876403,0.62537078,-0.10842578,-0.25978161,-0.43316140,-0.77636581,-0.16812860
0.240000,0.77302768,-0.11724578,1.47090541,0.10571368,1.70917202,0.91286308,-0.04736335,-0.00671369,0.00597270,0.09478277,0.16975532,0.02706941,0.57211928,-0.08746921,-0.22569863,-0.46206676,-0.84741275,-0.16984857
0.250000,0.77258149,-0.11731689,1.47095453,0.10663809,1.71082630,0.91312532,-0.04199838,-0.00746819,0.00392377,0.09007422,0.16102013,0.02538490,0.49762721,-0.06288777,-0.18274551,-0.47750414,-0.89601960,-0.16621544
0.260000,0.77218492,-0.11739427,1.47098544,0.10751486,1.71239115,0.91337098,-0.03746991,-0.00796183,0.00234195,0.08527334,0.15190441,0.02376080,0.40540299,-0.03542129,-0.13254472,-0.48074613,-0.92378444,-0.15787495
0.270000,0.77182877,-0.11747517,1.47100314,0.10834364,1.71386379,0.91360089,-0.03393773,-0.00816946,0.00129162,0.08049571,0.14260859,0.02224094,0.29895506,-0.00580960,-0.07671875,-0.47306533,-0.93230533,-0.14547283
