tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.117817649,left_link,medium,0.121020013
0.040000,0.115683940,left_link,medium,0.121020013
0.080000,0.113509861,left_link,medium,0.121020013
0.120000,0.111288066,left_link,medium,0.121020013
0.160000,0.109036816,left_link,medium,0.121020013
0.200000,0.106784346,left_link,medium,0.121020013
0.240000,0.104554231,left_link,medium,0.121020013
0.280000,0.102355473,left_link,medium,0.121020013
0.320000,0.100183868,left_link,medium,0.121020013
0.360000,0.097960781,gripper_base_link,medium,0.121020013
0.400000,0.095301764,gripper_base_link,medium,0.121020013
0.440000,0.092585217,gripper_base_link,medium,0.121020013
0.480000,0.089812010,gripper_base_link,medium,0.121020013
0.520000,0.087017954,gripper_base_link,medium,0.121020013
0.560000,0.084250279,gripper_base_link,medium,0.121020013
0.600000,0.081544048,gripper_base_link,medium,0.121020013
0.640000,0.078899394,gripper_base_link,medium,0.121020013
0.680000,0.076271121,gripper_base_link,medium,0.121020013
0.720000,0.073589180,gripper_base_link,medium,0.121020013
0.760000,0.070791178,gripper_base_link,medium,0.121020013
0.800000,0.067855130,gripper_base_link,medium,0.121020013
0.840000,0.064830615,gripper_base_link,medium,0.121020013
0.880000,0.061844627,gripper_base_link,medium,0.121020013
0.920000,0.058945763,gripper_base_link,medium,0.121020013
0.960000,0.056382847,gripper_base_link,medium,0.121020013
1.000000,0.054148354,gripper_base_link,medium,0.121020013
