frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.204809,0,1,0,171,0.644155,-0.583088,0.370655,0.132414,0.136134,0.191318,0.259671,
2,0.336897,0,1,0,183,0.646726,-0.586335,0.365312,0.139974,0.146650,0.208660,0.253505,0.043263
3,0.477993,0,1,0,179,0.645091,-0.582035,0.372097,0.134294,0.130963,0.188160,0.241043,0.058620
4,0.618859,0,1,0,182,0.648789,-0.585081,0.361413,0.132925,0.136368,0.200600,0.243321,0.085305
5,0.754187,0,1,0,173,0.646484,-0.584456,0.355244,0.141073,0.152315,0.194578,0.264346,0.046971
6,0.887227,0,1,0,182,0.641671,-0.585154,0.374923,0.134784,0.174860,0.194788,0.249795,0.151467
7,1.025604,0,1,0,182,0.644689,-0.588001,0.366123,0.138831,0.150045,0.207720,0.249571,0.071652
8,1.156860,0,1,0,192,0.639005,-0.586397,0.378169,0.135450,0.178680,0.207176,0.254003,0.102644
9,1.289255,0,1,0,187,0.649741,-0.587190,0.363868,0.138866,0.128665,0.201974,0.245866,0.131617
10,1.425200,0,1,0,188,0.646850,-0.579432,0.369233,0.138551,0.130807,0.206629,0.261027,0.073015
11,1.561111,0,1,0,195,0.647643,-0.579364,0.369566,0.139804,0.137067,0.229987,0.253816,0.006329
12,1.707193,0,1,0,209,0.640616,-0.580754,0.377325,0.136626,0.133851,0.215133,0.243922,0.077879
13,1.842513,0,1,0,190,0.647128,-0.575161,0.369999,0.137715,0.148702,0.224550,0.249302,0.079611
14,1.977316,0,1,0,234,0.645330,-0.574795,0.367399,0.147695,0.121849,0.231544,0.258234,0.023177
15,2.113191,0,1,0,263,0.643590,-0.558794,0.375635,0.144168,0.143765,0.262138,0.252532,0.133800
16,2.256271,0,1,0,229,0.644318,-0.555996,0.368723,0.151101,0.119222,0.256242,0.263811,0.055070
17,2.393140,0,1,0,288,0.644357,-0.525884,0.396869,0.144699,0.125525,0.269579,0.256542,0.280862
