frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.101596,1786452928.211092,0,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,,,,0,1.000000,,,,,110.9704,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.203595,1786452928.322111,2597,50000,1,0,0,0.478830,upperArm_Link,0,0.629611,-0.585294,0.365935,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.116915,1,0.027204,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,162.0304,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.354901,1786452928.484154,2537,50000,1,0,0,0.485102,upperArm_Link,0,0.635308,-0.586723,0.361732,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.048308,0.045462,0.012266,-0.010789,0.120847,2,0.024068,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,141.0476,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.492598,1786452928.625217,2583,50000,2,1,0,0.344775,upperArm_Link,1,0.510825,-0.466464,0.178447,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.029759,0.010398,0.013740,0.024263,0.116382,3,0.025735,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,124.5396,0.86983252,-0.42900524,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,-0.00002662,0.00000000,0.00000000,0.00000000,0.00000000
4,0.616666,1786452928.749771,2466,50000,1,1,0,0.488386,upperArm_Link,0,0.629013,-0.583038,0.375777,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.035760,0.034359,0.005119,0.008485,0.117805,4,0.019030,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,123.0255,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00002955,0.00000000,0.00000000,0.00000000,0.00000000
5,0.741777,1786452928.872810,2598,50000,1,1,0,0.485695,upperArm_Link,0,0.630515,-0.588627,0.377498,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.053429,0.033026,-0.039976,0.012877,0.123925,5,0.031099,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.019835,,,,0,1.000000,,,,,141.3344,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.883692,1786452929.014168,2679,50000,1,1,0,0.480271,upperArm_Link,0,0.628757,-0.587076,0.366833,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.018433,-0.008202,-0.014281,0.008281,0.121935,6,0.024981,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,137.5697,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,1.020570,1786452929.151752,2611,50000,1,1,0,0.480680,upperArm_Link,0,0.633644,-0.588815,0.365730,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.015873,0.003880,-0.008385,-0.012907,0.121819,7,0.025005,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,136.1791,0.86983252,-0.42900157,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,1.159906,1786452929.287944,2624,50000,1,1,0,0.496095,upperArm_Link,0,0.631017,-0.589021,0.373928,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.019771,-0.008208,-0.015548,0.009043,0.115924,8,0.020666,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,137.3599,0.86983252,-0.42900524,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,-0.00002631,0.00000000,0.00000000,0.00000000,0.00000000
9,1.296476,1786452929.425317,2649,50000,1,1,0,0.487117,upperArm_Link,0,0.628399,-0.591637,0.370993,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.033312,-0.019606,0.026175,-0.006334,0.120382,9,0.021033,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,142.0361,0.86983252,-0.42900524,1.02395570,-0.11782072,1.57078171,0.86982149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
