frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
1,0.203595,1,1,0.605141,-0.594274,0.358146,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.116915,0.143124,0.198124,0.116915,0.027204,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
2,0.354901,1,2,0.612508,-0.592286,0.356398,0.000000,0.048308,0.048308,0.044576,0.045462,0.012266,-0.010789,0.120847,0.145528,0.200528,0.120847,0.024068,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.492598,1,3,0.608293,-0.590109,0.365500,0.000000,0.029759,0.029759,0.029865,0.010398,0.013740,0.024263,0.116382,0.150084,0.205084,0.116382,0.025735,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.492598,2,1,0.512474,-0.478383,0.180942,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.079115,0.104905,0.159905,0.079115,0.012289,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
4,0.616666,1,4,0.619835,-0.592085,0.361775,0.000000,0.035760,0.035760,0.101491,0.034359,0.005119,0.008485,0.117805,0.145847,0.200847,0.117805,0.019030,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
5,0.741777,1,5,0.623329,-0.616289,0.365237,0.019835,0.053429,0.053429,0.049068,0.033026,-0.039976,0.012877,0.123925,0.145032,0.200032,0.123925,0.031099,0,0,0,0,"speed_ok,valid_streak_not_ready"
6,0.883692,1,6,0.608161,-0.599855,0.360787,0.000000,0.018433,0.018433,0.077248,-0.008202,-0.014281,0.008281,0.121935,0.144717,0.199717,0.121935,0.024981,0,0,0,0,"speed_ok,valid_streak_not_ready"
7,1.020570,1,7,0.610336,-0.594524,0.358704,0.000000,0.015873,0.015873,0.038549,0.003880,-0.008385,-0.012907,0.121819,0.146207,0.201207,0.121819,0.025005,0,0,0,0,"speed_ok,valid_streak_not_ready"
8,1.159906,1,8,0.615418,-0.600452,0.366642,0.000000,0.019771,0.019771,0.063223,-0.008208,-0.015548,0.009043,0.115924,0.140366,0.195366,0.115924,0.020666,0,0,0,0,"speed_ok,valid_streak_not_ready"
9,1.296476,1,9,0.612496,-0.601827,0.361737,0.000000,0.033312,0.033312,0.034384,-0.019606,0.026175,-0.006334,0.120382,0.140044,0.195044,0.120382,0.021033,0,0,0,0,"speed_ok,valid_streak_not_ready"
10,1.436365,1,10,0.608047,-0.600185,0.369607,0.000000,0.015956,0.015956,0.059757,-0.000206,-0.000597,0.015944,0.115487,0.140546,0.195546,0.115487,0.029228,0,0,0,0,"speed_ok,valid_streak_not_ready"
11,1.570469,1,11,0.609781,-0.596597,0.366060,0.000000,0.013904,0.013904,0.097505,-0.001006,-0.003762,0.013347,0.131450,0.156460,0.211460,0.131450,0.014643,0,0,0,0,"speed_ok,valid_streak_not_ready"
12,1.703992,1,12,0.612082,-0.606092,0.361289,0.000000,0.015365,0.015365,0.048678,-0.006058,-0.010242,-0.009721,0.135436,0.160432,0.215432,0.135436,0.026450,0,0,0,0,"speed_ok,valid_streak_not_ready"
13,1.839230,1,13,0.628348,-0.604417,0.367485,0.012056,0.031253,0.031253,0.073841,0.029041,-0.004746,0.010529,0.125330,0.150906,0.205906,0.125330,0.025909,0,0,0,0,"speed_ok,valid_streak_not_ready"
14,1.975462,1,14,0.617471,-0.609604,0.360050,0.000000,0.030343,0.030343,0.043096,0.017440,-0.017430,-0.017685,0.128972,0.158176,0.213176,0.128972,0.033795,0,0,0,0,"speed_ok,valid_streak_not_ready"
15,2.110843,1,15,0.607354,-0.597421,0.364983,0.000000,0.005156,0.005156,0.075036,-0.004500,-0.001528,-0.001998,0.130708,0.153420,0.208420,0.130708,0.032985,0,0,0,0,"speed_ok,valid_streak_not_ready"
16,2.249156,1,16,0.613745,-0.590101,0.365265,0.000000,0.030575,0.030575,0.074707,0.003070,0.029522,0.007341,0.123749,0.149601,0.204601,0.123749,0.033187,0,0,0,0,"speed_ok,valid_streak_not_ready"
17,2.384185,1,17,0.620309,-0.568867,0.364760,0.020010,0.066946,0.066946,0.077342,-0.014725,0.065116,-0.004991,0.133639,0.155167,0.210167,0.133639,0.018680,0,0,0,0,"speed_ok,valid_streak_not_ready"
18,2.523995,1,18,0.595740,-0.571827,0.347391,0.029154,0.082643,0.082643,0.088659,-0.039572,0.068793,-0.023053,0.136297,0.165965,0.220965,0.136297,0.044433,1,1,1,0,valid_streak_not_ready
19,2.667803,1,19,0.597954,-0.556659,0.358848,0.038718,0.075827,0.075827,0.103183,-0.016859,0.073105,-0.011002,0.135153,0.160774,0.215774,0.135153,0.037356,2,1,1,1,
20,2.804579,1,20,0.596584,-0.527159,0.340645,0.061668,0.125387,0.125387,0.100280,-0.030858,0.113181,-0.044271,0.138613,0.183856,0.238856,0.138613,0.041378,3,1,1,1,
21,2.936611,1,21,0.617194,-0.514848,0.350565,0.072705,0.101316,0.101316,0.206361,-0.005642,0.097837,-0.025710,0.130411,0.160573,0.215573,0.130411,0.030142,4,1,1,1,
22,3.073411,1,22,0.612335,-0.511877,0.345284,0.074608,0.113136,0.113136,0.087947,0.030165,0.108973,-0.003830,0.131638,0.166628,0.221628,0.131638,0.038510,5,1,1,1,
23,3.211040,1,23,0.595395,-0.481071,0.348055,0.089173,0.140632,0.140632,0.088645,-0.004710,0.139141,-0.019867,0.136484,0.185372,0.240372,0.136484,0.037314,6,1,1,1,
24,3.350960,1,24,0.605270,-0.481837,0.352597,0.086830,0.087439,0.087439,0.127104,0.015932,0.083133,0.021922,0.131362,0.167436,0.222436,0.131362,0.037844,7,1,1,1,
25,3.488881,1,25,0.609687,-0.455886,0.353331,0.094205,0.107566,0.107566,0.163874,-0.013571,0.106590,0.005000,0.130077,0.159961,0.214961,0.130077,0.033266,8,1,1,1,
26,3.641670,1,26,0.608085,-0.443049,0.358244,0.096234,0.124601,0.124601,0.083071,-0.007547,0.122224,0.023013,0.129937,0.155489,0.210489,0.129937,0.030550,9,1,1,1,
27,3.791317,1,27,0.601194,-0.432688,0.346273,0.096106,0.085695,0.085695,0.106370,0.010192,0.085029,-0.003132,0.133325,0.156525,0.211525,0.133325,0.038186,10,1,1,1,
28,3.930202,1,28,0.603190,-0.413436,0.351377,0.099296,0.119346,0.119346,0.143180,-0.003626,0.119272,-0.002126,0.133919,0.156594,0.211594,0.133919,0.035531,11,1,1,1,
29,4.062814,1,29,0.613930,-0.412312,0.352799,0.093437,0.076702,0.076702,0.067347,0.007434,0.076335,-0.000932,0.130078,0.160202,0.215202,0.130078,0.028150,12,1,1,1,
30,4.199056,1,30,0.602078,-0.405433,0.349536,0.086370,0.069423,0.069423,0.049883,-0.010672,0.066830,-0.015471,0.132945,0.155867,0.210867,0.132945,0.039124,13,1,1,1,
31,4.342356,1,31,0.607665,-0.400284,0.355495,0.078427,0.061145,0.061145,0.031678,0.011532,0.057754,0.016436,0.125736,0.151537,0.206537,0.125736,0.033567,14,1,1,1,
32,4.477789,1,32,0.602258,-0.399251,0.354115,0.068509,0.026087,0.026087,0.044896,-0.001679,0.025561,0.004933,0.133601,0.162528,0.217528,0.133601,0.033717,15,1,1,1,
33,4.616160,1,33,0.619937,-0.381878,0.362132,0.069539,0.058410,0.058410,0.165387,0.010830,0.054875,0.016828,0.123791,0.153416,0.208416,0.123791,0.025166,16,1,1,1,
34,4.758241,1,34,0.602929,-0.367991,0.361686,0.071722,0.070827,0.070827,0.093033,0.001531,0.067353,0.021856,0.126291,0.152389,0.207389,0.126291,0.030958,17,1,1,1,
35,4.890772,1,35,0.607377,-0.357743,0.353610,0.073931,0.077579,0.077579,0.065357,-0.000524,0.077501,-0.003435,0.126716,0.151843,0.206843,0.126716,0.034744,18,1,1,1,
36,5.024738,1,36,0.603813,-0.339010,0.353778,0.080481,0.109877,0.109877,0.158742,0.002834,0.109839,-0.000614,0.128230,0.150782,0.205782,0.128230,0.036364,19,1,1,1,
37,5.165824,1,37,0.608328,-0.324216,0.345943,0.086195,0.111339,0.111339,0.090278,-0.021188,0.105236,-0.029545,0.131370,0.150993,0.205993,0.131370,0.031456,20,1,1,1,
38,5.309634,1,38,0.603254,-0.308725,0.345571,0.091056,0.112360,0.112360,0.152476,0.000595,0.108422,-0.029481,0.134049,0.156922,0.211922,0.134049,0.039978,21,1,1,1,
39,5.449380,1,39,0.599894,-0.287648,0.350737,0.097854,0.126788,0.126788,0.156562,-0.013448,0.125967,-0.005164,0.129455,0.158079,0.213079,0.129455,0.035957,22,1,1,1,
40,5.592821,1,40,0.611189,-0.277089,0.359309,0.098047,0.110510,0.110510,0.071834,0.013021,0.109305,0.009763,0.128285,0.154898,0.209898,0.128285,0.026345,23,1,1,1,
41,5.740122,1,41,0.607379,-0.268142,0.354651,0.095192,0.098797,0.098797,0.075786,-0.001651,0.097614,0.015158,0.127045,0.151615,0.206615,0.127045,0.033904,24,1,1,1,
42,5.885315,1,42,0.604513,-0.257708,0.356718,0.091450,0.089813,0.089813,0.051465,0.002165,0.087717,0.019166,0.130210,0.156540,0.211540,0.130210,0.030514,25,1,1,1,
43,6.024473,1,43,0.615858,-0.245723,0.356118,0.090174,0.078103,0.078103,0.105145,0.027596,0.072470,0.009301,0.130198,0.150279,0.205279,0.130198,0.027628,26,1,1,1,
44,6.163379,1,44,0.629696,-0.232906,0.353560,0.091246,0.084497,0.084497,0.148211,0.032413,0.077380,-0.010068,0.127128,0.153053,0.208053,0.127128,0.025071,27,1,1,1,
45,6.300901,1,45,0.610238,-0.211738,0.357224,0.095704,0.100331,0.100331,0.163561,0.005073,0.100099,0.004567,0.124598,0.154352,0.209352,0.124598,0.033476,28,1,1,1,
46,6.438589,1,46,0.608836,-0.200281,0.351647,0.097126,0.104382,0.104382,0.068054,0.007804,0.103687,-0.009155,0.127727,0.153135,0.208135,0.127727,0.036626,29,1,1,1,
47,6.575947,1,47,0.611820,-0.186885,0.354420,0.098067,0.107046,0.107046,0.085276,-0.007326,0.106751,-0.003079,0.130434,0.155051,0.210051,0.130434,0.031133,30,1,1,1,
48,6.712402,1,48,0.604268,-0.179779,0.358861,0.094275,0.107440,0.107440,0.082290,-0.046199,0.096520,0.009630,0.125282,0.152538,0.207538,0.125282,0.035262,31,1,1,1,
49,6.865831,1,49,0.612827,-0.166553,0.358363,0.091898,0.081741,0.081741,0.073994,0.004675,0.081581,0.002055,0.127061,0.151686,0.206686,0.127061,0.027842,32,1,1,1,
50,6.992774,1,50,0.614256,-0.157630,0.362320,0.088933,0.079891,0.079891,0.097983,0.009776,0.076919,0.019248,0.125661,0.149180,0.204180,0.125661,0.032010,33,1,1,1,
51,7.136183,1,51,0.619449,-0.154493,0.355914,0.080867,0.059486,0.059486,0.074681,0.013623,0.057844,0.002667,0.129926,0.156566,0.211566,0.129926,0.029408,34,1,1,1,
52,7.276297,1,52,0.614581,-0.135226,0.358213,0.082159,0.081420,0.081420,0.083764,0.018360,0.079314,-0.001153,0.126846,0.149185,0.204185,0.126846,0.026482,35,1,1,1,
53,7.407394,1,53,0.612552,-0.119312,0.353607,0.087343,0.086000,0.086000,0.141201,-0.000497,0.085566,-0.008614,0.123008,0.152831,0.207831,0.123008,0.033571,36,1,1,1,
54,7.549908,1,54,0.603351,-0.108067,0.365897,0.088627,0.092024,0.092024,0.055153,-0.019726,0.089651,0.006470,0.123796,0.154123,0.209123,0.123796,0.035270,37,1,1,1,
55,7.694848,1,55,0.621800,-0.085684,0.368865,0.093616,0.125315,0.125315,0.183575,0.004205,0.123083,0.023165,0.122711,0.148378,0.203378,0.122711,0.021947,38,1,1,1,
56,7.839497,1,56,0.615384,-0.074027,0.367557,0.096942,0.111135,0.111135,0.102060,0.001442,0.109852,0.016772,0.126122,0.153454,0.208454,0.126122,0.022933,39,1,1,1,
57,7.972967,1,57,0.616636,-0.070656,0.363938,0.091637,0.088383,0.088383,0.090134,0.007233,0.086166,0.018296,0.126049,0.149792,0.204792,0.126049,0.025121,40,1,1,1,
