t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.79306436,-0.02779632,1.54246080,-0.00042549,1.57081103,0.79305702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.79306269,-0.02779526,1.54246188,-0.00042547,1.57081103,0.79305536,-0.00049167,0.00031217,0.00032011,0.00000696,-0.00000058,-0.00049087,-0.09517057,0.06042365,0.06195865,0.00134769,-0.00011292,-0.09501459
0.020000,0.79305166,-0.02778826,1.54246906,-0.00042531,1.57081102,0.79304435,-0.00184230,0.00116963,0.00119932,0.00002608,-0.00000219,-0.00183926,-0.17200800,0.10919373,0.11196148,0.00243399,-0.00020421,-0.17171818
0.030000,0.79302357,-0.02777042,1.54248735,-0.00042491,1.57081098,0.79301631,-0.00387506,0.00245996,0.00252232,0.00005483,-0.00000460,-0.00386853,-0.23181319,0.14713812,0.15085829,0.00327757,-0.00027539,-0.23141066
0.040000,0.79297243,-0.02773796,1.54252063,-0.00042419,1.57081092,0.79296526,-0.00642613,0.00407906,0.00418230,0.00009089,-0.00000763,-0.00641510,-0.27588705,0.17508475,0.17949891,0.00389709,-0.00032799,-0.27539192
0.050000,0.79289383,-0.02768807,1.54257179,-0.00042308,1.57081083,0.79288679,-0.00934470,0.00593109,0.00608094,0.00013209,-0.00001110,-0.00932833,-0.30553048,0.19386152,0.19873316,0.00431124,-0.00036353,-0.30496185
0.060000,0.79278478,-0.02761886,1.54264275,-0.00042154,1.57081070,0.79277793,-0.01249297,0.00792849,0.00812844,0.00017649,-0.00001485,-0.01247063,-0.32204437,0.20429633,0.20941084,0.00453870,-0.00038355,-0.32142033
0.070000,0.79264362,-0.02752928,1.54273458,-0.00041954,1.57081053,0.79263703,-0.01574616,0.00999197,0.01024347,0.00022231,-0.00001873,-0.01571737,-0.32672963,0.20721711,0.21238179,0.00459813,-0.00038957,-0.32606726
0.080000,0.79246988,-0.02741903,1.54284760,-0.00041709,1.57081033,0.79246361,-0.01899247,0.01205054,0.01235322,0.00026795,-0.00002260,-0.01895694,-0.32088717,0.20345174,0.20849580,0.00450820,-0.00038311,-0.32020253
0.090000,0.79226412,-0.02728849,1.54298141,-0.00041419,1.57081008,0.79225824,-0.02213314,0.01404148,0.01439336,0.00031203,-0.00002635,-0.02209071,-0.30581789,0.19382816,0.19860271,0.00428761,-0.00036570,-0.30512603
0.100000,0.79202785,-0.02713861,1.54313505,-0.00041086,1.57080980,0.79202243,-0.02508241,0.01591034,0.01630808,0.00035333,-0.00002988,-0.02503308,-0.28282268,0.17917425,0.18355233,0.00395501,-0.00033888,-0.28213763
