tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.115241869,upperArm_Link,medium,0.239495031
0.040000,0.112989428,upperArm_Link,medium,0.239828131
0.080000,0.110799339,upperArm_Link,medium,0.240161231
0.120000,0.108684588,upperArm_Link,medium,0.240494332
0.160000,0.106627972,upperArm_Link,medium,0.240827432
0.200000,0.104597477,upperArm_Link,medium,0.241160533
0.240000,0.102562898,upperArm_Link,medium,0.241493633
0.280000,0.100508993,upperArm_Link,medium,0.241826733
0.320000,0.098436125,upperArm_Link,medium,0.242159834
0.360000,0.096355248,upperArm_Link,medium,0.242492934
0.400000,0.094282103,upperArm_Link,medium,0.242826035
0.440000,0.092231001,upperArm_Link,medium,0.243159135
0.480000,0.090210043,upperArm_Link,medium,0.243492235
0.520000,0.088220820,upperArm_Link,medium,0.243825336
0.560000,0.086260013,upperArm_Link,medium,0.244158436
0.600000,0.084321197,upperArm_Link,medium,0.244491537
0.640000,0.082396787,upperArm_Link,medium,0.244824637
0.680000,0.080479893,upperArm_Link,medium,0.245157738
0.720000,0.078565604,upperArm_Link,medium,0.245490838
0.760000,0.076652085,upperArm_Link,medium,0.245823938
0.800000,0.074741715,upperArm_Link,medium,0.246157039
0.840000,0.072842219,upperArm_Link,medium,0.246490139
0.880000,0.070966251,upperArm_Link,medium,0.246823240
0.920000,0.069126832,upperArm_Link,medium,0.247156340
0.960000,0.067330845,upperArm_Link,medium,0.247489440
1.000000,0.065572006,upperArm_Link,medium,0.247822541
