frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.201445,0,1,0,204,0.580763,-0.629682,0.355176,0.119754,0.154748,0.211069,0.199240,
2,0.362604,0,1,0,208,0.580255,-0.630044,0.361286,0.122937,0.173036,0.215296,0.206883,0.032248
3,0.518448,0,1,0,200,0.583275,-0.630477,0.360849,0.120364,0.164145,0.204337,0.207777,0.020094
4,0.678028,0,1,0,220,0.583293,-0.629900,0.356767,0.123312,0.154533,0.201988,0.206766,0.025747
5,0.853376,0,1,0,220,0.581983,-0.623296,0.354245,0.121289,0.182358,0.215376,0.205442,0.041457
6,1.010858,0,1,0,212,0.581741,-0.625289,0.358110,0.121757,0.182748,0.213450,0.204369,0.027259
7,1.182730,0,1,0,228,0.578307,-0.627935,0.363131,0.121942,0.195467,0.209127,0.203677,0.040234
8,1.357484,0,1,0,210,0.580420,-0.623628,0.361416,0.121940,0.189985,0.222045,0.217456,0.029031
9,1.525790,0,1,0,235,0.579883,-0.632146,0.360700,0.125229,0.184300,0.212543,0.207866,0.050395
10,1.688763,0,1,0,216,0.577652,-0.628799,0.359056,0.125799,0.176891,0.222799,0.207433,0.027302
11,1.839111,0,1,0,235,0.580441,-0.625287,0.349474,0.133681,0.241311,0.232819,0.214863,0.068329
12,2.016308,0,1,0,234,0.578319,-0.631238,0.361941,0.130848,0.200301,0.255487,0.205081,0.081852
13,2.166271,0,1,0,230,0.574246,-0.635433,0.363023,0.132831,0.187438,0.230615,0.213614,0.037426
14,2.321864,0,1,0,227,0.579085,-0.625164,0.355045,0.125957,0.191859,0.212785,0.215983,0.089929
15,2.481453,0,1,0,246,0.577174,-0.626575,0.358003,0.131535,0.198800,0.234476,0.222129,0.023647
16,2.648838,0,1,0,212,0.580995,-0.625280,0.351323,0.125182,0.194304,0.213342,0.208078,0.047857
17,2.816594,0,1,0,254,0.571479,-0.625417,0.337154,0.146428,0.285809,0.231035,0.238253,0.100375
18,2.969899,0,1,0,209,0.582138,-0.628727,0.353450,0.127176,0.174636,0.206557,0.212447,0.127805
19,3.128618,0,1,0,205,0.585632,-0.625441,0.357448,0.122349,0.175211,0.204343,0.206741,0.039197
20,3.279613,0,1,0,205,0.578836,-0.628656,0.357995,0.122254,0.170537,0.204835,0.207082,0.049927
21,3.456601,0,1,0,209,0.578993,-0.626312,0.360756,0.122681,0.191552,0.211375,0.199895,0.020645
22,3.621371,0,1,0,215,0.575789,-0.629239,0.359453,0.125017,0.189338,0.214795,0.200615,0.028697
23,3.772488,0,1,0,209,0.574810,-0.624486,0.360314,0.124193,0.193851,0.213769,0.212482,0.031779
24,3.931608,0,1,0,221,0.581380,-0.629354,0.358480,0.121705,0.184809,0.206134,0.211103,0.051347
25,4.089535,0,1,0,216,0.580245,-0.630962,0.355112,0.125646,0.171303,0.204666,0.216215,0.024769
26,4.250579,0,1,0,222,0.575931,-0.627651,0.359632,0.118673,0.180582,0.205895,0.204383,0.044996
27,4.416868,0,1,0,234,0.575852,-0.633543,0.367157,0.127751,0.184873,0.221779,0.206540,0.059778
28,4.565553,0,1,0,237,0.579768,-0.627869,0.362257,0.126546,0.162717,0.213361,0.218610,0.053545
29,4.721479,0,1,0,214,0.579770,-0.627183,0.363664,0.121403,0.163053,0.207553,0.225116,0.009959
30,4.881213,0,1,0,246,0.578890,-0.625211,0.363908,0.122447,0.161189,0.192401,0.204760,0.014099
31,5.031328,0,1,0,257,0.582795,-0.618210,0.362644,0.135544,0.172082,0.223789,0.215504,0.052062
32,5.188068,0,1,0,235,0.577763,-0.609480,0.368368,0.127335,0.183113,0.215866,0.214934,0.074692
33,5.342218,0,1,0,238,0.583501,-0.611402,0.367478,0.121158,0.150719,0.214624,0.207886,0.039447
34,5.505502,0,1,0,244,0.579901,-0.604096,0.374211,0.124003,0.142537,0.214057,0.221470,0.064101
35,5.663727,0,1,0,234,0.584015,-0.603909,0.365555,0.123489,0.153494,0.228899,0.204981,0.061376
36,5.826456,0,1,0,223,0.586195,-0.597818,0.370492,0.117628,0.150115,0.193220,0.232275,0.049655
37,5.986562,0,1,0,251,0.588397,-0.596253,0.361208,0.123263,0.138880,0.228117,0.214378,0.060623
38,6.135132,0,1,0,250,0.581784,-0.586388,0.370423,0.124356,0.167766,0.215991,0.210984,0.099631
39,6.487583,0,1,0,260,0.586222,-0.586401,0.370708,0.123440,0.172441,0.222268,0.206249,0.028939
40,6.622525,0,1,0,263,0.581724,-0.555015,0.366841,0.133088,0.157511,0.236542,0.220542,0.096704
41,6.781855,0,1,0,264,0.581640,-0.543759,0.361911,0.134827,0.179242,0.246954,0.210024,0.078023
