frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
1,0.201445,1,1,0.576322,-0.636996,0.362057,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.119754,0.152162,0.207162,0.119754,0.010980,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
2,0.362604,1,2,0.576313,-0.625573,0.361075,0.000000,0.060205,0.060205,0.032248,-0.000045,0.059983,-0.005159,0.122937,0.158769,0.213769,0.122937,0.005964,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.518448,1,3,0.580382,-0.643875,0.366654,0.000000,0.026808,0.026808,0.020094,0.011809,-0.020010,0.013372,0.120364,0.149618,0.204618,0.120364,0.014886,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
4,0.678028,1,4,0.584301,-0.638892,0.361980,0.000000,0.016276,0.016276,0.025747,0.015834,-0.003762,-0.000154,0.123312,0.147584,0.202584,0.123312,0.010443,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
5,0.853376,1,5,0.594066,-0.634254,0.362729,0.000000,0.026526,0.026526,0.041457,0.026196,0.004048,0.000992,0.121289,0.162097,0.217097,0.121289,0.018386,0,0,0,0,"speed_ok,valid_streak_not_ready"
6,1.010858,1,6,0.587673,-0.650884,0.363360,0.000000,0.043046,0.043046,0.027259,0.017566,-0.039140,0.003534,0.121757,0.152453,0.207453,0.121757,0.026793,0,0,0,0,"speed_ok,valid_streak_not_ready"
7,1.182730,1,7,0.581688,-0.637378,0.361457,0.000000,0.012796,0.012796,0.040234,0.001985,0.009871,-0.007897,0.121942,0.168487,0.223487,0.121942,0.010169,0,0,0,0,"speed_ok,valid_streak_not_ready"
8,1.357484,1,8,0.591018,-0.635157,0.366154,0.000000,0.012985,0.012985,0.029031,0.009972,0.005545,0.006198,0.121940,0.157790,0.212790,0.121940,0.016361,0,0,0,0,"speed_ok,valid_streak_not_ready"
9,1.525790,1,9,0.582662,-0.647202,0.360588,0.000000,0.025947,0.025947,0.050395,-0.017018,-0.019323,-0.003196,0.125229,0.154368,0.209368,0.125229,0.015311,0,0,0,0,"speed_ok,valid_streak_not_ready"
10,1.688763,1,10,0.581049,-0.636594,0.358698,0.000000,0.024536,0.024536,0.027302,-0.009894,0.021346,-0.006964,0.125799,0.159602,0.214602,0.125799,0.008510,0,0,0,0,"speed_ok,valid_streak_not_ready"
11,1.839111,1,11,0.586866,-0.644930,0.360528,0.000000,0.013958,0.013958,0.068329,0.007853,-0.011453,-0.001409,0.133681,0.185447,0.240447,0.133681,0.023438,0,0,0,0,"speed_ok,valid_streak_not_ready"
12,2.016308,1,12,0.562665,-0.652633,0.349458,0.014494,0.056906,0.056906,0.081852,-0.043307,-0.026694,-0.025501,0.130848,0.181955,0.236955,0.130848,0.029302,0,0,0,0,"speed_ok,valid_streak_not_ready"
13,2.166271,1,13,0.563242,-0.666246,0.352455,0.024458,0.044108,0.044108,0.037426,-0.030173,-0.029588,-0.012636,0.132831,0.167966,0.222966,0.132831,0.034383,0,0,0,0,"speed_ok,valid_streak_not_ready"
14,2.321864,1,14,0.585770,-0.635544,0.360734,0.000000,0.008214,0.008214,0.089929,0.007390,0.001643,0.003187,0.125957,0.166751,0.221751,0.125957,0.013594,0,0,0,0,"speed_ok,valid_streak_not_ready"
15,2.481453,1,15,0.582438,-0.635111,0.351123,0.000000,0.022192,0.022192,0.023647,-0.006873,0.015239,-0.014595,0.131535,0.169575,0.224575,0.131535,0.012161,0,0,0,0,"speed_ok,valid_streak_not_ready"
16,2.648838,1,16,0.586786,-0.632232,0.361082,0.000000,0.052874,0.052874,0.047857,0.037887,0.032045,0.018258,0.125182,0.167867,0.222867,0.125182,0.013308,0,0,0,0,"speed_ok,valid_streak_not_ready"
