axis,offset_m,predicted_clearance_m,predicted_tau_s,predicted_nearest_link,current_clearance_m,reference_clearance_m,candidate_clearance_m,clearance_improvement_m,fast_ms,accepted_steps,max_delta_q_rad,local_repair_ready,formal_scene_feasible,rejection_reasons
x,-0.2,-0.09846134507331497,0.5,upperArm_Link,-0.07043053090774234,-0.11904269538876439,-0.11904269538876439,0.0,22.319388983305544,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.19,-0.08905192178178131,0.5,upperArm_Link,-0.06144113486935665,-0.1094040600706041,-0.1094040600706041,0.0,22.36746301059611,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.18,-0.07957262547704705,0.5,upperArm_Link,-0.05234916632952996,-0.0997175002689045,-0.0997175002689045,0.0,22.45011000195518,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.16999999999999998,-0.07003490029595236,0.5,upperArm_Link,-0.04316887533219524,-0.09014369699865363,-0.09014369699865363,0.0,24.728702992433682,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.15999999999999998,-0.06044787120830675,0.5,upperArm_Link,-0.03391209363550429,-0.08187262552320956,-0.08187262552320956,0.0,23.540684982435778,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.14999999999999997,-0.05081889150026059,0.5,upperArm_Link,-0.02458870519363035,-0.07342033044077315,-0.07342033044077315,0.0,31.05672402307391,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.13999999999999996,-0.041153945261430736,0.5,upperArm_Link,-0.015207016144481833,-0.06481191931598762,-0.06481191931598762,0.0,22.539150988450274,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.12999999999999995,-0.03145794685355785,0.5,upperArm_Link,-0.00577404703810952,-0.056068416532178283,-0.056068416532178283,0.0,28.242642991244793,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.11999999999999994,-0.02173496630871269,0.5,upperArm_Link,0.003704235200461925,-0.047207484606673206,-0.047207484606673206,0.0,28.094920999137685,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.10999999999999993,-0.012428586973650235,0.5,upperArm_Link,0.013222732160429296,-0.03824401764181798,-0.03824401764181798,0.0,23.549723002361134,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
